Sex,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Men,<5yr,1,1,1,2,-,1,3,1,2,1,-,-
Men,5-9,2,4,-,2,3,-,1,2,2,1,3,3
Men,10-14,3,6,3,1,5,3,3,5,4,4,5,2
Men,15-19,5,3,9,5,8,4,4,13,15,2,3,7
Men,20-24,9,7,9,9,12,5,8,11,10,8,10,6
Men,25-29,12,14,7,13,17,14,15,15,17,16,14,14
Men,30-34,22,12,28,16,24,19,18,19,22,27,11,12
Men,35-39,28,25,28,31,35,31,27,30,21,26,21,28
Men,40-44,32,43,37,46,52,47,54,29,29,43,45,36
Men,45-49,41,60,49,54,78,80,74,62,61,57,50,55
Men,50-54,78,84,82,74,98,86,93,97,92,112,89,128
Men,55-59,105,103,92,149,145,142,156,136,129,140,116,160
Men,60-64,122,118,134,155,168,178,185,226,250,220,220,258
Men,65-69,119,116,171,169,176,193,216,230,235,264,234,318
Men,70-74,161,161,148,164,209,181,195,219,220,240,227,304
Men,75-79,102,105,125,136,163,145,159,140,171,169,139,195
Men,>=80,37,40,42,42,61,60,91,55,65,86,62,60
Women,<5yr,2,-,3,2,1,1,1,-,-,2,-,-
Women,5-9,-,-,-,-,-,3,-,-,1,4,3,3
Women,10-14,-,1,1,1,2,3,1,-,1,1,-,1
Women,15-19,3,1,1,2,3,-,2,-,1,2,3,3
Women,20-24,3,4,1,2,3,4,5,2,1,1,2,3
Women,25-29,2,3,3,1,3,1,6,1,3,1,3,5
Women,30-34,9,5,1,2,4,4,9,6,2,3,5,6
Women,35-39,9,15,11,6,8,14,4,6,11,10,6,7
Women,40-44,22,21,20,17,28,7,15,16,16,8,9,10
Women,45-49,28,21,37,23,43,38,48,27,28,23,22,23
Women,50-54,48,46,52,62,60,37,49,45,42,47,35,62
Women,55-59,91,65,71,80,85,73,89,85,65,85,56,91
Women,60-64,75,88,92,104,126,82,111,114,142,130,125,166
Women,65-69,91,97,94,128,134,125,133,154,126,152,154,182
Women,70-74,142,143,151,139,192,144,150,141,158,185,165,215
Women,75-79,95,88,127,137,159,154,159,148,140,162,110,167
Women,>=80,32,41,60,66,74,70,85,83,113,89,76,90
