year,age,population
2022,0,292600
2022,1,292600
2022,2,292600
2022,3,292600
2022,4,292600
2022,5,427000
2022,6,427000
2022,7,427000
2022,8,427000
2022,9,427000
2022,10,462400
2022,11,462400
2022,12,462400
2022,13,462400
2022,14,462400
2022,15,463200
2022,16,463200
2022,17,463200
2022,18,463200
2022,19,463200
2022,20,626000
2022,21,626000
2022,22,626000
2022,23,626000
2022,24,626000
2022,25,728400
2022,26,728400
2022,27,728400
2022,28,728400
2022,29,728400
2022,30,679400
2022,31,679400
2022,32,679400
2022,33,679400
2022,34,679400
2022,35,701600
2022,36,701600
2022,37,701600
2022,38,701600
2022,39,701600
2022,40,805800
2022,41,805800
2022,42,805800
2022,43,805800
2022,44,805800
2022,45,812000
2022,46,812000
2022,47,812000
2022,48,812000
2022,49,812000
2022,50,898200
2022,51,898200
2022,52,898200
2022,53,898200
2022,54,898200
2022,55,818000
2022,56,818000
2022,57,818000
2022,58,818000
2022,59,818000
2022,60,830800
2022,61,830800
2022,62,830800
2022,63,830800
2022,64,830800
2022,65,618800
2022,66,618800
2022,67,618800
2022,68,618800
2022,69,618800
2022,70,430600
2022,71,430600
2022,72,430600
2022,73,430600
2022,74,430600
2022,75,318600
2022,76,318600
2022,77,318600
2022,78,318600
2022,79,318600
2022,80,247200
2022,81,247200
2022,82,247200
2022,83,247200
2022,84,247200
2022,85,131600
2022,86,131600
2022,87,131600
2022,88,131600
2022,89,131600
2022,90,50400
2022,91,50400
2022,92,50400
2022,93,50400
2022,94,50400
2022,95,12000
2022,96,12000
2022,97,12000
2022,98,12000
2022,99,12000
2022,100,1600
2022,101,1600
2022,102,1600
2022,103,1600
2022,104,1600
2023,0,271800
2023,1,271800
2023,2,271800
2023,3,271800
2023,4,271800
2023,5,403600
2023,6,403600
2023,7,403600
2023,8,403600
2023,9,403600
2023,10,460200
2023,11,460200
2023,12,460200
2023,13,460200
2023,14,460200
2023,15,462400
2023,16,462400
2023,17,462400
2023,18,462400
2023,19,462400
2023,20,594600
2023,21,594600
2023,22,594600
2023,23,594600
2023,24,594600
2023,25,720800
2023,26,720800
2023,27,720800
2023,28,720800
2023,29,720800
2023,30,701600
2023,31,701600
2023,32,701600
2023,33,701600
2023,34,701600
2023,35,674400
2023,36,674400
2023,37,674400
2023,38,674400
2023,39,674400
2023,40,812200
2023,41,812200
2023,42,812200
2023,43,812200
2023,44,812200
2023,45,787800
2023,46,787800
