year,sex,age_band,population
2022,Men,0-4,751000
2022,Men,10-14,1190000
2022,Men,15-19,1199000
2022,Men,20-24,1629000
2022,Men,25-29,1940000
2022,Men,30-34,1798000
2022,Men,35-39,1822000
2022,Men,40-44,2065000
2022,Men,45-49,2063000
2022,Men,5-9,1094000
2022,Men,50-54,2259000
2022,Men,55-59,2056000
2022,Men,60-64,2047000
2022,Men,65-69,1493000
2022,Men,70-74,1007000
2022,Men,75-79,695000
2022,Men,80-84,472000
2022,Men,≥85,261000
2022,Women,0-4,712000
2022,Women,10-14,1122000
2022,Women,15-19,1117000
2022,Women,20-24,1501000
2022,Women,25-29,1702000
2022,Women,30-34,1599000
2022,Women,35-39,1686000
2022,Women,40-44,1964000
2022,Women,45-49,1997000
2022,Women,5-9,1041000
2022,Women,50-54,2232000
2022,Women,55-59,2034000
2022,Women,60-64,2107000
2022,Women,65-69,1601000
2022,Women,70-74,1146000
2022,Women,75-79,898000
2022,Women,80-84,764000
2022,Women,≥85,717000
2023,Men,0-4,698000
2023,Men,10-14,1183000
2023,Men,15-19,1194000
2023,Men,20-24,1553000
2023,Men,25-29,1917000
2023,Men,30-34,1869000
2023,Men,35-39,1760000
2023,Men,40-44,2084000
2023,Men,45-49,2002000
2023,Men,5-9,1034000
2023,Men,50-54,2260000
2023,Men,55-59,2063000
2023,Men,60-64,2081000
2023,Men,65-69,1590000
2023,Men,70-74,1042000
2023,Men,75-79,723000
2023,Men,80-84,503000
2023,Men,≥85,278000
2023,Women,0-4,661000
2023,Women,10-14,1118000
2023,Women,15-19,1118000
2023,Women,20-24,1420000
2023,Women,25-29,1687000
2023,Women,30-34,1639000
2023,Women,35-39,1612000
2023,Women,40-44,1977000
2023,Women,45-49,1937000
2023,Women,5-9,984000
2023,Women,50-54,2219000
2023,Women,55-59,2059000
2023,Women,60-64,2133000
2023,Women,65-69,1698000
2023,Women,70-74,1185000
2023,Women,75-79,913000
2023,Women,80-84,798000
2023,Women,≥85,759000
2024,Men,0-4,659000
2024,Men,10-14,1175000
2024,Men,15-19,1187000
2024,Men,20-24,1484000
2024,Men,25-29,1872000
2024,Men,30-34,1925000
2024,Men,35-39,1732000
2024,Men,40-44,2057000
2024,Men,45-49,1964000
2024,Men,5-9,972000
2024,Men,50-54,2236000
2024,Men,55-59,2104000
2024,Men,60-64,2084000
2024,Men,65-69,1691000
2024,Men,70-74,1087000
2024,Men,75-79,763000
2024,Men,80-84,517000
2024,Men,≥85,307000
2024,Women,0-4,624000
2024,Women,10-14,1113000
2024,Women,15-19,1115000
2024,Women,20-24,1355000
2024,Women,25-29,1664000
2024,Women,30-34,1671000
2024,Women,35-39,1570000
2024,Women,40-44,1944000
2024,Women,45-49,1894000
2024,Women,5-9,924000
2024,Women,50-54,2188000
2024,Women,55-59,2112000
2024,Women,60-64,2128000
2024,Women,65-69,1803000
2024,Women,70-74,1234000
2024,Women,75-79,947000
2024,Women,80-84,805000
2024,Women,≥85,814000
2025,Men,0-4,641000
2025,Men,10-14,1166000
2025,Men,15-19,1190000
2025,Men,20-24,1411000
2025,Men,25-29,1814000
2025,Men,30-34,1956000
2025,Men,35-39,1733000
2025,Men,40-44,1984000
2025,Men,45-49,1971000
2025,Men,5-9,897000
2025,Men,50-54,2189000
2025,Men,55-59,2146000
2025,Men,60-64,2056000
2025,Men,65-69,1784000
2025,Men,70-74,1171000
2025,Men,75-79,803000
2025,Men,80-84,524000
2025,Men,≥85,339000
2025,Women,0-4,608000
2025,Women,10-14,1108000
2025,Women,15-19,1119000
2025,Women,20-24,1295000
2025,Women,25-29,1636000
2025,Women,30-34,1692000
2025,Women,35-39,1556000
2025,Women,40-44,1863000
2025,Women,45-49,1897000
2025,Women,5-9,853000
2025,Women,50-54,2138000
2025,Women,55-59,2154000
2025,Women,60-64,2089000
2025,Women,65-69,1902000
2025,Women,70-74,1328000
2025,Women,75-79,987000
2025,Women,80-84,799000
2025,Women,≥85,867000
2026,Men,0-4,635000
