year,age,sex,population
2020,0,Men,175400
2020,1,Men,175400
2020,2,Men,175400
2020,3,Men,175400
2020,4,Men,175400
2020,5,Men,168400
2020,6,Men,168400
2020,7,Men,168400
2020,8,Men,168400
2020,9,Men,168400
2020,10,Men,167800
2020,11,Men,167800
2020,12,Men,167800
2020,13,Men,167800
2020,14,Men,167800
2020,15,Men,180800
2020,16,Men,180800
2020,17,Men,180800
2020,18,Men,180800
2020,19,Men,180800
2020,20,Men,199000
2020,21,Men,199000
2020,22,Men,199000
2020,23,Men,199000
2020,24,Men,199000
2020,25,Men,203600
2020,26,Men,203600
2020,27,Men,203600
2020,28,Men,203600
2020,29,Men,203600
2020,30,Men,191000
2020,31,Men,191000
2020,32,Men,191000
2020,33,Men,191000
2020,34,Men,191000
2020,35,Men,177800
2020,36,Men,177800
2020,37,Men,177800
2020,38,Men,177800
2020,39,Men,177800
2020,40,Men,163800
2020,41,Men,163800
2020,42,Men,163800
2020,43,Men,163800
2020,44,Men,163800
2020,45,Men,208000
2020,46,Men,208000
2020,47,Men,208000
2020,48,Men,208000
2020,49,Men,208000
2020,50,Men,212800
2020,51,Men,212800
2020,52,Men,212800
2020,53,Men,212800
2020,54,Men,212800
2020,55,Men,161200
2020,56,Men,161200
2020,57,Men,161200
2020,58,Men,161200
2020,59,Men,161200
2020,60,Men,135200
2020,61,Men,135200
2020,62,Men,135200
2020,63,Men,135200
2020,64,Men,135200
2020,65,Men,77400
2020,66,Men,77400
2020,67,Men,77400
2020,68,Men,77400
2020,69,Men,77400
2020,70,Men,72800
2020,71,Men,72800
2020,72,Men,72800
2020,73,Men,72800
2020,74,Men,72800
2020,75,Men,50000
2020,76,Men,50000
2020,77,Men,50000
2020,78,Men,50000
2020,79,Men,50000
2020,80,Men,24800
2020,81,Men,24800
2020,82,Men,24800
2020,83,Men,24800
2020,84,Men,24800
2020,85,Men,6400
2020,86,Men,6400
2020,87,Men,6400
2020,88,Men,6400
2020,89,Men,6400
2020,90,Men,1000
2020,91,Men,1000
2020,92,Men,1000
2020,93,Men,1000
2020,94,Men,1000
2021,0,Men,176000
2021,1,Men,176000
2021,2,Men,176000
2021,3,Men,176000
2021,4,Men,176000
2021,5,Men,169800
2021,6,Men,169800
2021,7,Men,169800
2021,8,Men,169800
2021,9,Men,169800
2021,10,Men,167000
2021,11,Men,167000
2021,12,Men,167000
2021,13,Men,167000
2021,14,Men,167000
2021,15,Men,176400
2021,16,Men,176400
2021,17,Men,176400
2021,18,Men,176400
2021,19,Men,176400
2021,20,Men,195600
2021,21,Men,195600
2021,22,Men,195600
2021,23,Men,195600
2021,24,Men,195600
2021,25,Men,203600
2021,26,Men,203600
2021,27,Men,203600
2021,28,Men,203600
2021,29,Men,203600
2021,30,Men,193400
2021,31,Men,193400
2021,32,Men,193400
2021,33,Men,193400
2021,34,Men,193400
2021,35,Men,180400
2021,36,Men,180400
2021,37,Men,180400
2021,38,Men,180400
2021,39,Men,180400
2021,40,Men,163200
2021,41,Men,163200
2021,42,Men,163200
2021,43,Men,163200
2021,44,Men,163200
2021,45,Men,196600
2021,46,Men,196600
2021,47,Men,196600
2021,48,Men,196600
2021,49,Men,196600
2021,50,Men,217800
2021,51,Men,217800
2021,52,Men,217800
2021,53,Men,217800
2021,54,Men,217800
2021,55,Men,169000
2021,56,Men,169000
2021,57,Men,169000
2021,58,Men,169000
2021,59,Men,169000
2021,60,Men,139600
2021,61,Men,139600
2021,62,Men,139600
2021,63,Men,139600
2021,64,Men,139600
2021,65,Men,83600
2021,66,Men,83600
2021,67,Men,83600
2021,68,Men,83600
2021,69,Men,83600
2021,70,Men,70400
2021,71,Men,70400
2021,72,Men,70400
2021,73,Men,70400
2021,74,Men,70400
2021,75,Men,51400
2021,76,Men,51400
2021,77,Men,51400
2021,78,Men,51400
2021,79,Men,51400
2021,80,Men,26400
2021,81,Men,26400
2021,82,Men,26400
2021,83,Men,26400
2021,84,Men,26400
2021,85,Men,7200
2021,86,Men,7200
2021,87,Men,7200
2021,88,Men,7200
2021,89,Men,7200
2021,90,Men,1000
2021,91,Men,1000
2021,92,Men,1000
2021,93,Men,1000
2021,94,Men,1000
2022,0,Men,176200
2022,1,Men,176200
2022,2,Men,176200
2022,3,Men,176200
2022,4,Men,176200
2022,5,Men,171200
2022,6,Men,171200
2022,7,Men,171200
2022,8,Men,171200
2022,9,Men,171200
2022,10,Men,166400
2022,11,Men,166400
2022,12,Men,166400
2022,13,Men,166400
2022,14,Men,166400
2022,15,Men,172800
2022,16,Men,172800
2022,17,Men,172800
2022,18,Men,172800
2022,19,Men,172800
2022,20,Men,192000
2022,21,Men,192000
2022,22,Men,192000
2022,23,Men,192000
2022,24,Men,192000
2022,25,Men,202800
2022,26,Men,202800
2022,27,Men,202800
2022,28,Men,202800
2022,29,Men,202800
2022,30,Men,196200
2022,31,Men,196200
2022,32,Men,196200
2022,33,Men,196200
2022,34,Men,196200
2022,35,Men,182400
2022,36,Men,182400
2022,37,Men,182400
2022,38,Men,182400
2022,39,Men,182400
2022,40,Men,165600
2022,41,Men,165600
