procedure,year,sex,age_band,count,population,risk
redo_savr,2022,Men,20-24,2,960000,2.0833333333333334e-06
redo_savr,2022,Men,25-29,2,1014000,1.9723865877712033e-06
redo_savr,2022,Men,35-39,1,912000,1.0964912280701754e-06
redo_savr,2022,Men,40-44,6,828000,7.2463768115942025e-06
redo_savr,2022,Men,45-49,5,915000,5.46448087431694e-06
redo_savr,2022,Men,50-54,5,1098000,4.553734061930783e-06
redo_savr,2022,Men,55-59,10,899000,1.1123470522803115e-05
redo_savr,2022,Men,60-64,12,708000,1.694915254237288e-05
redo_savr,2022,Men,65-69,17,478000,3.556485355648535e-05
redo_savr,2022,Men,70-74,17,327000,5.198776758409786e-05
redo_savr,2022,Men,75-79,5,264000,1.893939393939394e-05
redo_savr,2022,Men,>=80,8,186000,4.301075268817204e-05
savr,2022,Men,10-14,5,832000,6.009615384615385e-06
savr,2022,Men,15-19,3,864000,3.4722222222222224e-06
savr,2022,Men,20-24,10,960000,1.0416666666666666e-05
savr,2022,Men,25-29,14,1014000,1.3806706114398423e-05
savr,2022,Men,30-34,11,981000,1.1213047910295617e-05
savr,2022,Men,35-39,21,912000,2.3026315789473685e-05
savr,2022,Men,40-44,45,828000,5.4347826086956524e-05
savr,2022,Men,45-49,50,915000,5.46448087431694e-05
savr,2022,Men,5-9,3,856000,3.5046728971962617e-06
savr,2022,Men,50-54,89,1098000,8.105646630236794e-05
savr,2022,Men,55-59,116,899000,0.00012903225806451613
savr,2022,Men,60-64,220,708000,0.0003107344632768362
savr,2022,Men,65-69,234,478000,0.0004895397489539749
savr,2022,Men,70-74,227,327000,0.0006941896024464832
savr,2022,Men,75-79,139,264000,0.0005265151515151515
savr,2022,Men,>=80,62,186000,0.0003333333333333333
tavi,2022,Men,55-59,2,899000,2.224694104560623e-06
tavi,2022,Men,60-64,3,708000,4.23728813559322e-06
tavi,2022,Men,65-69,18,478000,3.765690376569038e-05
tavi,2022,Men,70-74,48,327000,0.00014678899082568806
tavi,2022,Men,75-79,101,264000,0.00038257575757575757
tavi,2022,Men,>=80,297,186000,0.0015967741935483872
redo_savr,2022,Women,20-24,2,921000,2.171552660152009e-06
redo_savr,2022,Women,30-34,1,951000,1.0515247108307046e-06
redo_savr,2022,Women,35-39,4,890000,4.49438202247191e-06
redo_savr,2022,Women,40-44,2,814000,2.457002457002457e-06
redo_savr,2022,Women,45-49,1,911000,1.097694840834248e-06
redo_savr,2022,Women,50-54,9,1111000,8.100810081008101e-06
redo_savr,2022,Women,55-59,7,932000,7.5107296137339054e-06
redo_savr,2022,Women,60-64,10,759000,1.3175230566534915e-05
redo_savr,2022,Women,65-69,14,538000,2.6022304832713754e-05
redo_savr,2022,Women,70-74,17,426000,3.990610328638498e-05
redo_savr,2022,Women,75-79,8,408000,1.9607843137254903e-05
redo_savr,2022,Women,>=80,7,425000,1.6470588235294116e-05
savr,2022,Women,15-19,3,824000,3.6407766990291263e-06
savr,2022,Women,20-24,2,921000,2.171552660152009e-06
savr,2022,Women,25-29,3,977000,3.0706243602865916e-06
savr,2022,Women,30-34,5,951000,5.257623554153523e-06
savr,2022,Women,35-39,6,890000,6.741573033707865e-06
savr,2022,Women,40-44,9,814000,1.1056511056511057e-05
savr,2022,Women,45-49,22,911000,2.414928649835346e-05
savr,2022,Women,5-9,3,813000,3.690036900369004e-06
savr,2022,Women,50-54,35,1111000,3.1503150315031506e-05
savr,2022,Women,55-59,56,932000,6.0085836909871244e-05
savr,2022,Women,60-64,125,759000,0.00016469038208168644
savr,2022,Women,65-69,154,538000,0.0002862453531598513
savr,2022,Women,70-74,165,426000,0.0003873239436619718
savr,2022,Women,75-79,110,408000,0.0002696078431372549
savr,2022,Women,>=80,76,425000,0.00017882352941176472
tavi,2022,Women,20-24,2,921000,2.171552660152009e-06
tavi,2022,Women,30-34,1,951000,1.0515247108307046e-06
tavi,2022,Women,35-39,4,890000,4.49438202247191e-06
tavi,2022,Women,40-44,2,814000,2.457002457002457e-06
tavi,2022,Women,45-49,1,911000,1.097694840834248e-06
tavi,2022,Women,50-54,9,1111000,8.100810081008101e-06
tavi,2022,Women,55-59,7,932000,7.5107296137339054e-06
tavi,2022,Women,60-64,10,759000,1.3175230566534915e-05
tavi,2022,Women,65-69,14,538000,2.6022304832713754e-05
tavi,2022,Women,70-74,17,426000,3.990610328638498e-05
tavi,2022,Women,75-79,8,408000,1.9607843137254903e-05
tavi,2022,Women,>=80,7,425000,1.6470588235294116e-05
redo_savr,2023,Men,25-29,1,1006000,9.940357852882703e-07
redo_savr,2023,Men,30-34,3,992000,3.0241935483870967e-06
redo_savr,2023,Men,35-39,5,922000,5.422993492407809e-06
redo_savr,2023,Men,40-44,3,845000,3.550295857988166e-06
redo_savr,2023,Men,45-49,2,857000,2.333722287047841e-06
redo_savr,2023,Men,50-54,15,1088000,1.3786764705882353e-05
redo_savr,2023,Men,55-59,13,947000,1.3727560718057022e-05
redo_savr,2023,Men,60-64,20,713000,2.8050490883590464e-05
redo_savr,2023,Men,65-69,21,544000,3.860294117647059e-05
redo_savr,2023,Men,70-74,21,314000,6.687898089171974e-05
redo_savr,2023,Men,75-79,18,269000,6.691449814126395e-05
redo_savr,2023,Men,>=80,6,197000,3.045685279187817e-05
savr,2023,Men,10-14,2,831000,2.406738868832732e-06
savr,2023,Men,15-19,7,850000,8.235294117647058e-06
savr,2023,Men,20-24,6,941000,6.376195536663124e-06
savr,2023,Men,25-29,14,1006000,1.3916500994035786e-05
savr,2023,Men,30-34,12,992000,1.2096774193548387e-05
savr,2023,Men,35-39,28,922000,3.036876355748373e-05
savr,2023,Men,40-44,36,845000,4.2603550295857986e-05
savr,2023,Men,45-49,55,857000,6.417736289381563e-05
savr,2023,Men,5-9,3,863000,3.4762456546929315e-06
savr,2023,Men,50-54,128,1088000,0.00011764705882352942
savr,2023,Men,55-59,160,947000,0.0001689545934530095
savr,2023,Men,60-64,258,713000,0.000361851332398317
savr,2023,Men,65-69,318,544000,0.0005845588235294118
savr,2023,Men,70-74,304,314000,0.0009681528662420382
savr,2023,Men,75-79,195,269000,0.0007249070631970261
savr,2023,Men,>=80,60,197000,0.00030456852791878173
tavi,2023,Men,55-59,2,947000,2.1119324181626186e-06
tavi,2023,Men,60-64,10,713000,1.4025245441795232e-05
tavi,2023,Men,65-69,21,544000,3.860294117647059e-05
tavi,2023,Men,70-74,61,314000,0.0001942675159235669
tavi,2023,Men,75-79,175,269000,0.0006505576208178438
tavi,2023,Men,>=80,722,197000,0.00366497461928934
redo_savr,2023,Women,20-24,2,902000,2.2172949002217296e-06
redo_savr,2023,Women,25-29,1,969000,1.0319917440660475e-06
redo_savr,2023,Women,30-34,3,962000,3.1185031185031185e-06
redo_savr,2023,Women,35-39,1,899000,1.1123470522803115e-06
redo_savr,2023,Women,40-44,3,830000,3.614457831325301e-06
redo_savr,2023,Women,45-49,3,851000,3.525264394829612e-06
redo_savr,2023,Women,50-54,8,1099000,7.279344858962693e-06
redo_savr,2023,Women,55-59,8,980000,8.163265306122448e-06
redo_savr,2023,Women,60-64,13,763000,1.7038007863695936e-05
redo_savr,2023,Women,65-69,18,609000,2.955665024630542e-05
redo_savr,2023,Women,70-74,13,400000,3.25e-05
redo_savr,2023,Women,75-79,9,406000,2.2167487684729063e-05
redo_savr,2023,Women,>=80,10,438000,2.2831050228310503e-05
savr,2023,Women,10-14,1,790000,1.2658227848101265e-06
savr,2023,Women,15-19,3,811000,3.6991368680641185e-06
savr,2023,Women,20-24,3,902000,3.325942350332594e-06
savr,2023,Women,25-29,5,969000,5.159958720330238e-06
savr,2023,Women,30-34,6,962000,6.237006237006237e-06
savr,2023,Women,35-39,7,899000,7.78642936596218e-06
savr,2023,Women,40-44,10,830000,1.2048192771084337e-05
savr,2023,Women,45-49,23,851000,2.7027027027027027e-05
