year,tavi_in_savr,tavi_in_tavi,total
2022,81.83333333333331,8.466666666666667,90.29999999999998
2023,98.43333333333334,14.433333333333334,112.86666666666667
2024,136.5,23.3,159.8
2025,148.93333333333334,35.233333333333334,184.16666666666669
2026,180.10000000000002,54.03333333333333,234.13333333333335
2027,191.16666666666669,70.56666666666666,261.73333333333335
2028,214.0,100.43333333333334,314.43333333333334
2029,238.93333333333334,122.56666666666666,361.5
2030,263.1,151.13333333333333,414.23333333333335
2031,280.0666666666667,180.6,460.66666666666674
2032,308.16666666666663,211.53333333333333,519.6999999999999
2033,332.20000000000005,249.6,581.8000000000001
2034,361.6333333333333,289.03333333333336,650.6666666666667
2035,386.0,325.93333333333334,711.9333333333334
2036,399.16666666666663,338.2,737.3666666666666
2037,407.23333333333335,359.53333333333336,766.7666666666667
2038,406.73333333333335,368.56666666666666,775.3
2039,413.76666666666665,380.1,793.8666666666667
2040,424.29999999999995,395.53333333333336,819.8333333333333
2041,432.9333333333333,402.0,834.9333333333333
2042,426.9,419.73333333333335,846.6333333333333
2043,434.76666666666665,428.7,863.4666666666667
2044,439.0666666666667,455.93333333333334,895.0
2045,431.6,463.7,895.3
2046,437.5666666666667,480.96666666666664,918.5333333333333
2047,436.6333333333333,502.23333333333335,938.8666666666667
2048,439.5333333333333,522.6,962.1333333333333
2049,449.0333333333333,541.5666666666667,990.6
2050,444.20000000000005,552.8333333333334,997.0333333333334
