year,tavi_in_savr,tavi_in_tavi,total
2022,278.8333333333333,8.466666666666667,287.29999999999995
2023,299.43333333333334,14.433333333333334,313.8666666666667
2024,341.5,23.3,364.8
2025,358.93333333333334,35.233333333333334,394.1666666666667
2026,394.1,54.03333333333333,448.1333333333333
2027,411.1666666666667,70.56666666666666,481.73333333333335
2028,440.0,100.43333333333334,540.4333333333334
2029,470.93333333333334,122.56666666666666,593.5
2030,500.1,151.13333333333333,651.2333333333333
2031,522.0666666666667,180.6,702.6666666666667
2032,555.1666666666666,211.53333333333333,766.6999999999999
2033,584.2,249.6,833.8000000000001
2034,617.6333333333333,289.03333333333336,906.6666666666667
2035,647.0,325.93333333333334,972.9333333333334
2036,664.1666666666666,338.2,1002.3666666666666
2037,676.2333333333333,359.53333333333336,1035.7666666666667
2038,679.7333333333333,368.56666666666666,1048.3
2039,689.7666666666667,380.1,1069.8666666666668
2040,702.3,395.53333333333336,1097.8333333333333
2041,712.9333333333333,402.0,1114.9333333333334
2042,707.9,419.73333333333335,1127.6333333333332
2043,715.7666666666667,428.7,1144.4666666666667
2044,720.0666666666667,455.93333333333334,1176.0
2045,712.6,463.7,1176.3
2046,717.5666666666667,480.96666666666664,1198.5333333333333
2047,715.6333333333333,502.23333333333335,1217.8666666666668
2048,717.5333333333333,522.6,1240.1333333333332
2049,727.0333333333333,541.5666666666667,1268.6
2050,722.2,552.8333333333334,1275.0333333333333
