year,sex,age_band,population
2020,Men,0-4,877000
2020,Men,10-14,839000
2020,Men,15-19,904000
2020,Men,20-24,995000
2020,Men,25-29,1018000
2020,Men,30-34,955000
2020,Men,35-39,889000
2020,Men,40-44,819000
2020,Men,45-49,1040000
2020,Men,5-9,842000
2020,Men,50-54,1064000
2020,Men,55-59,806000
2020,Men,60-64,676000
2020,Men,65-69,387000
2020,Men,70-74,364000
2020,Men,75-79,250000
2020,Men,80-84,124000
2020,Men,≥85,37000
2020,Women,0-4,831000
2020,Women,10-14,798000
2020,Women,15-19,864000
2020,Women,20-24,953000
2020,Women,25-29,982000
2020,Women,30-34,926000
2020,Women,35-39,868000
2020,Women,40-44,807000
2020,Women,45-49,1037000
2020,Women,5-9,799000
2020,Women,50-54,1080000
2020,Women,55-59,841000
2020,Women,60-64,727000
2020,Women,65-69,445000
2020,Women,70-74,491000
2020,Women,75-79,407000
2020,Women,80-84,263000
2020,Women,≥85,131000
2021,Men,0-4,880000
2021,Men,10-14,835000
2021,Men,15-19,882000
2021,Men,20-24,978000
2021,Men,25-29,1018000
2021,Men,30-34,967000
2021,Men,35-39,902000
2021,Men,40-44,816000
2021,Men,45-49,983000
2021,Men,5-9,849000
2021,Men,50-54,1089000
2021,Men,55-59,845000
2021,Men,60-64,698000
2021,Men,65-69,418000
2021,Men,70-74,352000
2021,Men,75-79,257000
2021,Men,80-84,132000
2021,Men,≥85,41000
2021,Women,0-4,834000
2021,Women,10-14,795000
2021,Women,15-19,842000
2021,Women,20-24,938000
2021,Women,25-29,981000
2021,Women,30-34,939000
2021,Women,35-39,880000
2021,Women,40-44,803000
2021,Women,45-49,980000
2021,Women,5-9,806000
2021,Women,50-54,1104000
2021,Women,55-59,879000
2021,Women,60-64,750000
2021,Women,65-69,475000
2021,Women,70-74,467000
2021,Women,75-79,407000
2021,Women,80-84,271000
2021,Women,≥85,139000
2022,Men,0-4,881000
2022,Men,10-14,832000
2022,Men,15-19,864000
2022,Men,20-24,960000
2022,Men,25-29,1014000
2022,Men,30-34,981000
2022,Men,35-39,912000
2022,Men,40-44,828000
2022,Men,45-49,915000
2022,Men,5-9,856000
2022,Men,50-54,1098000
2022,Men,55-59,899000
2022,Men,60-64,708000
2022,Men,65-69,478000
2022,Men,70-74,327000
2022,Men,75-79,264000
2022,Men,80-84,138000
2022,Men,≥85,48000
2022,Women,0-4,834000
2022,Women,10-14,792000
2022,Women,15-19,824000
2022,Women,20-24,921000
2022,Women,25-29,977000
2022,Women,30-34,951000
2022,Women,35-39,890000
2022,Women,40-44,814000
2022,Women,45-49,911000
2022,Women,5-9,813000
2022,Women,50-54,1111000
2022,Women,55-59,932000
2022,Women,60-64,759000
2022,Women,65-69,538000
2022,Women,70-74,426000
2022,Women,75-79,408000
2022,Women,80-84,277000
2022,Women,≥85,148000
2023,Men,0-4,879000
2023,Men,10-14,831000
2023,Men,15-19,850000
2023,Men,20-24,941000
2023,Men,25-29,1006000
2023,Men,30-34,992000
2023,Men,35-39,922000
2023,Men,40-44,845000
2023,Men,45-49,857000
2023,Men,5-9,863000
2023,Men,50-54,1088000
2023,Men,55-59,947000
2023,Men,60-64,713000
2023,Men,65-69,544000
2023,Men,70-74,314000
2023,Men,75-79,269000
2023,Men,80-84,143000
2023,Men,≥85,54000
2023,Women,0-4,832000
2023,Women,10-14,790000
2023,Women,15-19,811000
2023,Women,20-24,902000
2023,Women,25-29,969000
2023,Women,30-34,962000
2023,Women,35-39,899000
2023,Women,40-44,830000
2023,Women,45-49,851000
2023,Women,5-9,819000
2023,Women,50-54,1099000
2023,Women,55-59,980000
2023,Women,60-64,763000
2023,Women,65-69,609000
2023,Women,70-74,400000
2023,Women,75-79,406000
2023,Women,80-84,279000
2023,Women,≥85,159000
2024,Men,0-4,876000
2024,Men,10-14,832000
2024,Men,15-19,840000
2024,Men,20-24,919000
2024,Men,25-29,997000
2024,Men,30-34,1002000
2024,Men,35-39,932000
2024,Men,40-44,861000
2024,Men,45-49,823000
2024,Men,5-9,869000
2024,Men,50-54,1055000
2024,Men,55-59,985000
2024,Men,60-64,732000
2024,Men,65-69,588000
2024,Men,70-74,318000
2024,Men,75-79,271000
2024,Men,80-84,148000
2024,Men,≥85,60000
2024,Women,0-4,829000
2024,Women,10-14,792000
2024,Women,15-19,801000
2024,Women,20-24,881000
2024,Women,25-29,960000
2024,Women,30-34,971000
2024,Women,35-39,909000
2024,Women,40-44,845000
2024,Women,45-49,817000
2024,Women,5-9,824000
2024,Women,50-54,1064000
2024,Women,55-59,1017000
2024,Women,60-64,781000
2024,Women,65-69,656000
2024,Women,70-74,393000
2024,Women,75-79,402000
2024,Women,80-84,279000
2024,Women,≥85,170000
2025,Men,0-4,870000
