year,proc,index_cnt,deaths,failures,viable,run
2012,savr,1531.0,2.966666666666667,0.0,0.0,14.5
2012,tavi,56.0,0.2,0.0,0.0,14.5
2013,savr,1541.0,14.733333333333333,53.6,0.0,14.5
2013,tavi,60.0,1.4666666666666666,0.9666666666666667,0.0,14.5
2014,savr,1690.0,55.9,76.96666666666667,0.0,14.5
2014,tavi,46.0,4.6,3.3666666666666667,0.0,14.5
2015,savr,1840.0,144.83333333333334,119.46666666666667,0.0,14.5
2015,tavi,93.0,11.5,6.5,0.0,14.5
2016,savr,2179.0,278.23333333333335,170.1,0.0,14.5
2016,tavi,197.0,22.8,10.2,0.0,14.5
2017,savr,1949.0,442.3,238.96666666666667,0.0,14.5
2017,tavi,248.0,35.3,17.766666666666666,0.0,14.5
2018,savr,2169.0,642.9666666666667,311.73333333333335,0.0,14.5
2018,tavi,345.0,58.53333333333333,25.466666666666665,0.0,14.5
2019,savr,2118.0,846.7,406.46666666666664,0.0,14.5
2019,tavi,436.0,82.6,40.166666666666664,0.0,14.5
2020,savr,2195.0,1048.8333333333333,516.2333333333333,0.0,14.5
2020,tavi,459.0,114.16666666666667,62.1,0.0,14.5
2021,savr,2321.0,1254.8333333333333,634.3333333333334,0.0,14.5
2021,tavi,563.0,153.76666666666668,87.76666666666667,0.0,14.5
2022,savr,2023.0,1449.8666666666666,750.9,463.46666666666664,14.5
2022,tavi,551.0,191.96666666666667,113.8,85.1,14.5
2023,savr,2620.0,1588.1,875.8333333333334,490.7,14.5
2023,tavi,1083.0,241.33333333333334,143.66666666666666,104.4,14.5
2024,savr,2452.0,1710.3,1037.1666666666667,544.3333333333334,14.5
2024,tavi,1098.0,278.03333333333336,189.3,132.23333333333332,14.5
2025,savr,2513.0,1798.3,1147.0666666666666,558.1666666666666,14.5
2025,tavi,1126.0,325.23333333333335,243.83333333333334,165.73333333333332,14.5
2026,savr,2576.0,1883.8,1300.5,590.4333333333333,14.5
2026,tavi,1146.0,372.06666666666666,316.3333333333333,210.8,14.5
2027,savr,2658.0,1948.7,1429.6666666666667,616.0333333333333,14.5
2027,tavi,1168.0,444.2,381.03333333333336,252.26666666666668,14.5
2028,savr,2750.0,2004.5666666666666,1547.8,643.2333333333333,14.5
2028,tavi,1188.0,517.9333333333333,462.1666666666667,301.1666666666667,14.5
2029,savr,2833.0,2050.5,1681.5666666666666,664.2333333333333,14.5
2029,tavi,1208.0,587.0666666666667,542.5,345.46666666666664,14.5
2030,savr,2907.0,2123.6,1771.2666666666667,693.8333333333334,14.5
2030,tavi,1232.0,643.1,600.4666666666667,371.8,14.5
2031,savr,2986.0,2213.233333333333,1894.0333333333333,712.2,14.5
2031,tavi,1239.0,699.3666666666667,683.1333333333333,411.03333333333336,14.5
2032,savr,3069.0,2312.4,1973.0,740.5666666666667,14.5
2032,tavi,1233.0,751.0333333333333,749.3,439.3,14.5
2033,savr,3145.0,2392.266666666667,2078.4666666666667,763.3,14.5
2033,tavi,1248.0,802.6666666666666,834.5666666666667,478.4,14.5
2034,savr,3213.0,2485.9,2175.2,794.6,14.5
2034,tavi,1278.0,837.0,915.3,517.2333333333333,14.5
2035,savr,3277.0,2587.8,2259.766666666667,813.0333333333333,14.5
2035,tavi,1321.0,891.1666666666666,980.2333333333333,542.5666666666667,14.5
2036,savr,3337.0,2664.133333333333,2342.1,837.1333333333333,14.5
2036,tavi,1368.0,942.6333333333333,1041.0666666666666,566.8333333333334,14.5
2037,savr,3394.0,2741.0666666666666,2402.3,849.3666666666667,14.5
2037,tavi,1430.0,995.5666666666667,1103.9333333333334,602.1666666666666,14.5
2038,savr,3442.0,2820.5333333333333,2447.4,855.9333333333333,14.5
2038,tavi,1512.0,1046.1666666666667,1150.4333333333334,619.6333333333333,14.5
2039,savr,3480.0,2891.9333333333334,2513.233333333333,865.5,14.5
2039,tavi,1584.0,1095.1333333333334,1178.5333333333333,637.2333333333333,14.5
2040,savr,3517.0,2962.5333333333333,2585.266666666667,884.5666666666667,14.5
2040,tavi,1645.0,1134.3333333333333,1227.8333333333333,660.2666666666667,14.5
2041,savr,3548.0,3009.4333333333334,2657.4333333333334,895.9333333333333,14.5
2041,tavi,1705.0,1193.7333333333333,1256.5,679.2666666666667,14.5
2042,savr,3573.0,3086.633333333333,2688.0333333333333,888.1,14.5
2042,tavi,1769.0,1253.0,1303.0,705.5666666666667,14.5
2043,savr,3582.0,3128.0,2753.4666666666667,899.5,14.5
2043,tavi,1840.0,1296.0,1334.8666666666666,725.4,14.5
2044,savr,3578.0,3213.3,2798.3,905.5,14.5
2044,tavi,1910.0,1347.7333333333333,1377.2,759.1333333333333,14.5
2045,savr,3567.0,3264.733333333333,2838.0,901.0666666666667,14.5
2045,tavi,1979.0,1411.6666666666667,1415.4,781.3333333333334,14.5
2046,savr,3549.0,3290.866666666667,2912.366666666667,898.9,14.5
2046,tavi,2049.0,1447.6666666666667,1464.6,808.1333333333333,14.5
2047,savr,3522.0,3323.0,2935.1666666666665,901.3,14.5
2047,tavi,2127.0,1518.0,1514.9666666666667,845.5333333333333,14.5
2048,savr,3496.0,3373.4333333333334,2977.5333333333333,901.6666666666666,14.5
2048,tavi,2210.0,1577.2333333333333,1572.3,872.9333333333333,14.5
2049,savr,3478.0,3414.133333333333,3041.6666666666665,913.0,14.5
2049,tavi,2274.0,1632.5333333333333,1622.8666666666666,909.5333333333333,14.5
2050,savr,3464.0,3416.0666666666666,3093.5,908.1333333333333,14.5
2050,tavi,2334.0,1672.6333333333334,1679.0,933.1333333333333,14.5
