sex,age_band,year,count,src
Men,10-14,2012,3,observed
Men,15-19,2012,5,observed
Men,20-24,2012,9,observed
Men,25-29,2012,12,observed
Men,30-34,2012,22,observed
Men,35-39,2012,28,observed
Men,40-44,2012,32,observed
Men,45-49,2012,41,observed
Men,5-9,2012,2,observed
Men,50-54,2012,78,observed
Men,55-59,2012,105,observed
Men,60-64,2012,122,observed
Men,65-69,2012,119,observed
Men,70-74,2012,161,observed
Men,75-79,2012,102,observed
Men,<5yr,2012,1,observed
Men,>=80,2012,37,observed
Women,15-19,2012,3,observed
Women,20-24,2012,3,observed
Women,25-29,2012,2,observed
Women,30-34,2012,9,observed
Women,35-39,2012,9,observed
Women,40-44,2012,22,observed
Women,45-49,2012,28,observed
Women,50-54,2012,48,observed
Women,55-59,2012,91,observed
Women,60-64,2012,75,observed
Women,65-69,2012,91,observed
Women,70-74,2012,142,observed
Women,75-79,2012,95,observed
Women,<5yr,2012,2,observed
Women,>=80,2012,32,observed
Men,10-14,2013,6,observed
Men,15-19,2013,3,observed
Men,20-24,2013,7,observed
Men,25-29,2013,14,observed
Men,30-34,2013,12,observed
Men,35-39,2013,25,observed
Men,40-44,2013,43,observed
Men,45-49,2013,60,observed
Men,5-9,2013,4,observed
Men,50-54,2013,84,observed
Men,55-59,2013,103,observed
Men,60-64,2013,118,observed
Men,65-69,2013,116,observed
Men,70-74,2013,161,observed
Men,75-79,2013,105,observed
Men,<5yr,2013,1,observed
Men,>=80,2013,40,observed
Women,10-14,2013,1,observed
Women,15-19,2013,1,observed
Women,20-24,2013,4,observed
Women,25-29,2013,3,observed
Women,30-34,2013,5,observed
Women,35-39,2013,15,observed
Women,40-44,2013,21,observed
Women,45-49,2013,21,observed
Women,50-54,2013,46,observed
Women,55-59,2013,65,observed
Women,60-64,2013,88,observed
Women,65-69,2013,97,observed
Women,70-74,2013,143,observed
Women,75-79,2013,88,observed
Women,>=80,2013,41,observed
Men,10-14,2014,3,observed
Men,15-19,2014,9,observed
Men,20-24,2014,9,observed
Men,25-29,2014,7,observed
Men,30-34,2014,28,observed
Men,35-39,2014,28,observed
Men,40-44,2014,37,observed
Men,45-49,2014,49,observed
Men,50-54,2014,82,observed
Men,55-59,2014,92,observed
Men,60-64,2014,134,observed
Men,65-69,2014,171,observed
Men,70-74,2014,148,observed
Men,75-79,2014,125,observed
Men,<5yr,2014,1,observed
Men,>=80,2014,42,observed
Women,10-14,2014,1,observed
Women,15-19,2014,1,observed
Women,20-24,2014,1,observed
Women,25-29,2014,3,observed
Women,30-34,2014,1,observed
Women,35-39,2014,11,observed
Women,40-44,2014,20,observed
Women,45-49,2014,37,observed
Women,50-54,2014,52,observed
Women,55-59,2014,71,observed
Women,60-64,2014,92,observed
Women,65-69,2014,94,observed
Women,70-74,2014,151,observed
Women,75-79,2014,127,observed
Women,<5yr,2014,3,observed
Women,>=80,2014,60,observed
Men,10-14,2015,1,observed
Men,15-19,2015,5,observed
Men,20-24,2015,9,observed
Men,25-29,2015,13,observed
Men,30-34,2015,16,observed
Men,35-39,2015,31,observed
Men,40-44,2015,46,observed
Men,45-49,2015,54,observed
Men,5-9,2015,2,observed
Men,50-54,2015,74,observed
Men,55-59,2015,149,observed
Men,60-64,2015,155,observed
Men,65-69,2015,169,observed
Men,70-74,2015,164,observed
Men,75-79,2015,136,observed
Men,<5yr,2015,2,observed
Men,>=80,2015,42,observed
Women,10-14,2015,1,observed
Women,15-19,2015,2,observed
Women,20-24,2015,2,observed
Women,25-29,2015,1,observed
Women,30-34,2015,2,observed
Women,35-39,2015,6,observed
Women,40-44,2015,17,observed
Women,45-49,2015,23,observed
Women,50-54,2015,62,observed
Women,55-59,2015,80,observed
Women,60-64,2015,104,observed
Women,65-69,2015,128,observed
Women,70-74,2015,139,observed
Women,75-79,2015,137,observed
Women,<5yr,2015,2,observed
Women,>=80,2015,66,observed
Men,10-14,2016,5,observed
Men,15-19,2016,8,observed
Men,20-24,2016,12,observed
Men,25-29,2016,17,observed
Men,30-34,2016,24,observed
Men,35-39,2016,35,observed
Men,40-44,2016,52,observed
Men,45-49,2016,78,observed
Men,5-9,2016,3,observed
Men,50-54,2016,98,observed
Men,55-59,2016,145,observed
Men,60-64,2016,168,observed
Men,65-69,2016,176,observed
Men,70-74,2016,209,observed
Men,75-79,2016,163,observed
Men,>=80,2016,61,observed
Women,10-14,2016,2,observed
Women,15-19,2016,3,observed
Women,20-24,2016,3,observed
Women,25-29,2016,3,observed
Women,30-34,2016,4,observed
Women,35-39,2016,8,observed
Women,40-44,2016,28,observed
Women,45-49,2016,43,observed
Women,50-54,2016,60,observed
Women,55-59,2016,85,observed
Women,60-64,2016,126,observed
Women,65-69,2016,134,observed
Women,70-74,2016,192,observed
Women,75-79,2016,159,observed
Women,<5yr,2016,1,observed
Women,>=80,2016,74,observed
Men,10-14,2017,3,observed
Men,15-19,2017,4,observed
Men,20-24,2017,5,observed
Men,25-29,2017,14,observed
Men,30-34,2017,19,observed
Men,35-39,2017,31,observed
Men,40-44,2017,47,observed
Men,45-49,2017,80,observed
Men,50-54,2017,86,observed
Men,55-59,2017,142,observed
Men,60-64,2017,178,observed
Men,65-69,2017,193,observed
Men,70-74,2017,181,observed
Men,75-79,2017,145,observed
Men,<5yr,2017,1,observed
Men,>=80,2017,60,observed
Women,10-14,2017,3,observed
Women,20-24,2017,4,observed
Women,25-29,2017,1,observed
Women,30-34,2017,4,observed
Women,35-39,2017,14,observed
Women,40-44,2017,7,observed
Women,45-49,2017,38,observed
Women,5-9,2017,3,observed
Women,50-54,2017,37,observed
Women,55-59,2017,73,observed
Women,60-64,2017,82,observed
Women,65-69,2017,125,observed
Women,70-74,2017,144,observed
Women,75-79,2017,154,observed
Women,<5yr,2017,1,observed
Women,>=80,2017,70,observed
Men,10-14,2018,3,observed
Men,15-19,2018,4,observed
Men,20-24,2018,8,observed
Men,25-29,2018,15,observed
Men,30-34,2018,18,observed
Men,35-39,2018,27,observed
Men,40-44,2018,54,observed
Men,45-49,2018,74,observed
Men,5-9,2018,1,observed
Men,50-54,2018,93,observed
Men,55-59,2018,156,observed
Men,60-64,2018,185,observed
Men,65-69,2018,216,observed
Men,70-74,2018,195,observed
Men,75-79,2018,159,observed
Men,<5yr,2018,3,observed
Men,>=80,2018,91,observed
Women,10-14,2018,1,observed
Women,15-19,2018,2,observed
Women,20-24,2018,5,observed
Women,25-29,2018,6,observed
Women,30-34,2018,9,observed
Women,35-39,2018,4,observed
Women,40-44,2018,15,observed
Women,45-49,2018,48,observed
Women,50-54,2018,49,observed
Women,55-59,2018,89,observed
Women,60-64,2018,111,observed
Women,65-69,2018,133,observed
Women,70-74,2018,150,observed
Women,75-79,2018,159,observed
Women,<5yr,2018,1,observed
Women,>=80,2018,85,observed
Men,10-14,2019,5,observed
Men,15-19,2019,13,observed
Men,20-24,2019,11,observed
Men,25-29,2019,15,observed
Men,30-34,2019,19,observed
Men,35-39,2019,30,observed
Men,40-44,2019,29,observed
Men,45-49,2019,62,observed
Men,5-9,2019,2,observed
Men,50-54,2019,97,observed
Men,55-59,2019,136,observed
Men,60-64,2019,226,observed
Men,65-69,2019,230,observed
Men,70-74,2019,219,observed
Men,75-79,2019,140,observed
Men,<5yr,2019,1,observed
Men,>=80,2019,55,observed
Women,20-24,2019,2,observed
Women,25-29,2019,1,observed
Women,30-34,2019,6,observed
Women,35-39,2019,6,observed
Women,40-44,2019,16,observed
Women,45-49,2019,27,observed
Women,50-54,2019,45,observed
Women,55-59,2019,85,observed
Women,60-64,2019,114,observed
Women,65-69,2019,154,observed
Women,70-74,2019,141,observed
Women,75-79,2019,148,observed
Women,>=80,2019,83,observed
Men,10-14,2020,4,observed
Men,15-19,2020,15,observed
Men,20-24,2020,10,observed
Men,25-29,2020,17,observed
Men,30-34,2020,22,observed
Men,35-39,2020,21,observed
Men,40-44,2020,29,observed
Men,45-49,2020,61,observed
Men,5-9,2020,2,observed
Men,50-54,2020,92,observed
Men,55-59,2020,129,observed
Men,60-64,2020,250,observed
Men,65-69,2020,235,observed
Men,70-74,2020,220,observed
Men,75-79,2020,171,observed
Men,<5yr,2020,2,observed
Men,>=80,2020,65,observed
Women,10-14,2020,1,observed
Women,15-19,2020,1,observed
Women,20-24,2020,1,observed
Women,25-29,2020,3,observed
Women,30-34,2020,2,observed
Women,35-39,2020,11,observed
Women,40-44,2020,16,observed
Women,45-49,2020,28,observed
Women,5-9,2020,1,observed
Women,50-54,2020,42,observed
Women,55-59,2020,65,observed
Women,60-64,2020,142,observed
Women,65-69,2020,126,observed
Women,70-74,2020,158,observed
Women,75-79,2020,140,observed
Women,>=80,2020,113,observed
Men,10-14,2021,4,observed
Men,15-19,2021,2,observed
Men,20-24,2021,8,observed
Men,25-29,2021,16,observed
Men,30-34,2021,27,observed
Men,35-39,2021,26,observed
Men,40-44,2021,43,observed
Men,45-49,2021,57,observed
Men,5-9,2021,1,observed
Men,50-54,2021,112,observed
Men,55-59,2021,140,observed
Men,60-64,2021,220,observed
Men,65-69,2021,264,observed
Men,70-74,2021,240,observed
Men,75-79,2021,169,observed
Men,<5yr,2021,1,observed
Men,>=80,2021,86,observed
Women,10-14,2021,1,observed
Women,15-19,2021,2,observed
Women,20-24,2021,1,observed
Women,25-29,2021,1,observed
Women,30-34,2021,3,observed
Women,35-39,2021,10,observed
Women,40-44,2021,8,observed
Women,45-49,2021,23,observed
Women,5-9,2021,4,observed
Women,50-54,2021,47,observed
Women,55-59,2021,85,observed
Women,60-64,2021,130,observed
Women,65-69,2021,152,observed
Women,70-74,2021,185,observed
Women,75-79,2021,162,observed
Women,<5yr,2021,2,observed
Women,>=80,2021,89,observed
Men,10-14,2022,5,observed
Men,15-19,2022,3,observed
Men,20-24,2022,10,observed
Men,25-29,2022,14,observed
Men,30-34,2022,11,observed
Men,35-39,2022,21,observed
Men,40-44,2022,45,observed
Men,45-49,2022,50,observed
Men,5-9,2022,3,observed
Men,50-54,2022,89,observed
