year,viv_type,mean,sd
2022,tavi_in_savr,463.46666666666664,19.000423467755216
2022,tavi_in_tavi,85.1,9.02620705463283
2023,tavi_in_savr,490.7,20.209506127835844
2023,tavi_in_tavi,104.4,8.491781016228941
2024,tavi_in_savr,544.3333333333334,18.886837842215964
2024,tavi_in_tavi,132.23333333333332,11.125253451846213
2025,tavi_in_savr,558.1666666666666,24.29855016724011
2025,tavi_in_tavi,165.73333333333332,11.90749787936686
2026,tavi_in_savr,590.4333333333333,18.544788901529685
2026,tavi_in_tavi,210.8,14.408809565798565
2027,tavi_in_savr,616.0333333333333,23.782757204115025
2027,tavi_in_tavi,252.26666666666668,14.390929454858457
2028,tavi_in_savr,643.2333333333333,18.982175547227143
2028,tavi_in_tavi,301.1666666666667,18.245610399506365
2029,tavi_in_savr,664.2333333333333,22.315424282758777
2029,tavi_in_tavi,345.46666666666664,20.79577764393753
2030,tavi_in_savr,693.8333333333334,30.049480267848498
2030,tavi_in_tavi,371.8,20.356139461919184
2031,tavi_in_savr,712.2,25.532129859696667
2031,tavi_in_tavi,411.03333333333336,24.917080879192696
2032,tavi_in_savr,740.5666666666667,25.907904975699704
2032,tavi_in_tavi,439.3,17.19091580477598
2033,tavi_in_savr,763.3,21.349553819128456
2033,tavi_in_tavi,478.4,25.462074569431895
2034,tavi_in_savr,794.6,32.68406761500269
2034,tavi_in_tavi,517.2333333333333,22.119866766034704
2035,tavi_in_savr,813.0333333333333,23.820424926481916
2035,tavi_in_tavi,542.5666666666667,21.96656288674837
2036,tavi_in_savr,837.1333333333333,26.41542565706028
2036,tavi_in_tavi,566.8333333333334,26.547398513151773
2037,tavi_in_savr,849.3666666666667,29.99250864320361
2037,tavi_in_tavi,602.1666666666666,26.75312850971772
2038,tavi_in_savr,855.9333333333333,32.25858167920628
2038,tavi_in_tavi,619.6333333333333,23.884034969761323
2039,tavi_in_savr,865.5,33.10875496258372
2039,tavi_in_tavi,637.2333333333333,28.494020344667035
2040,tavi_in_savr,884.5666666666667,30.021467414953673
2040,tavi_in_tavi,660.2666666666667,21.321728165278337
2041,tavi_in_savr,895.9333333333333,25.213479336059223
2041,tavi_in_tavi,679.2666666666667,28.318305683455172
2042,tavi_in_savr,888.1,28.541983595857644
2042,tavi_in_tavi,705.5666666666667,29.57361747528888
2043,tavi_in_savr,899.5,28.248588612896892
2043,tavi_in_tavi,725.4,22.952124084711635
2044,tavi_in_savr,905.5,33.33089071510198
2044,tavi_in_tavi,759.1333333333333,23.191457008151044
2045,tavi_in_savr,901.0666666666667,35.565319540571956
2045,tavi_in_tavi,781.3333333333334,29.042576751518027
2046,tavi_in_savr,898.9,26.30241892638985
2046,tavi_in_tavi,808.1333333333333,26.336985051618843
2047,tavi_in_savr,901.3,27.926195834612045
2047,tavi_in_tavi,845.5333333333333,30.793789491784985
2048,tavi_in_savr,901.6666666666666,35.04315894016614
2048,tavi_in_tavi,872.9333333333333,31.3774939476814
2049,tavi_in_savr,913.0,22.648742067527273
2049,tavi_in_tavi,909.5333333333333,27.962700936750753
2050,tavi_in_savr,908.1333333333333,32.52874944153074
2050,tavi_in_tavi,933.1333333333333,30.4492039795543
