year,pop_total,pop_50plus,avg_age_total,avg_age_50plus
2022,26329000,8559000,37.11660146606403,62.56840752424348
2023,26418000,8767000,37.336891513362104,62.630204174746204
2024,26499000,8919000,37.542095928148235,62.76017490750084
2025,26575000,9050000,37.75296331138288,62.91657458563536
2026,26631000,9145000,37.94908189703729,63.08310552214325
2027,26685000,9223000,38.16900880644557,63.3027214572265
2028,26729000,9292000,38.39698454861761,63.549720189410245
2029,26762000,9361000,38.62618638367835,63.77865612648221
2030,26786000,9431000,38.85414022250429,63.98918460396565
2031,26801000,9509000,39.08089250401105,64.16847197391944
2032,26803000,9592000,39.31895683319031,64.33840700583819
2033,26794000,9672000,39.566432783458986,64.52843258891646
2034,26779000,9755000,39.81377198551103,64.69400307534598
2035,26760000,9840000,40.05437219730942,64.84857723577235
2036,26728000,9924000,40.29523346303502,64.98669891172914
2037,26688000,10005000,40.53492206235012,65.12943528235883
2038,26650000,10091000,40.78011257035647,65.27767317411555
2039,26598000,10170000,41.006692232498686,65.40265486725664
2040,26542000,10252000,41.221987792931955,65.50663285212642
2041,26482000,10337000,41.42753568461597,65.59243494243978
2042,26424000,10427000,41.635180139267334,65.68898053131294
2043,26355000,10507000,41.82678808575223,65.77510231274388
2044,26286000,10583000,42.00114129194248,65.84106586034206
2045,26214000,10651000,42.15621423666743,65.90291991362314
2046,26132000,10711000,42.300206643196084,65.96321538605173
2047,26049000,10763000,42.43264616683942,66.02257734832295
2048,25969000,10815000,42.57241326196619,66.09570041608876
2049,25878000,10849000,42.684171883453125,66.15199557562909
2050,25791000,10877000,42.789616532899075,66.21301829548588
