year,tis_before,redo_target,tis_after
2022,275,215,60
2023,302,220,82
2024,336,225,111
2025,360,229,131
2026,389,234,155
2027,414,240,174
2028,443,246,197
2029,469,252,217
2030,499,257,242
2031,526,263,263
2032,562,269,293
2033,584,275,309
2034,615,280,335
2035,646,285,361
2036,665,290,375
2037,677,294,383
2038,681,297,384
2039,691,300,391
2040,698,303,395
2041,705,305,400
2042,714,307,407
2043,712,308,404
2044,713,309,404
2045,714,309,405
2046,716,308,408
2047,717,307,410
2048,717,307,410
2049,723,306,417
2050,724,305,419
