year,tavi_in_savr,tavi_in_tavi,total
2022,461.04,85.42,546.46
2023,494.35,104.42,598.77
2024,537.9,132.42,670.3199999999999
2025,558.22,168.27,726.49
2026,588.28,210.26,798.54
2027,616.01,254.24,870.25
2028,644.92,299.75,944.67
2029,664.99,338.72,1003.71
2030,693.57,373.88,1067.45
2031,717.93,410.47,1128.4
2032,750.12,441.08,1191.2
2033,765.27,479.99,1245.26
2034,788.16,514.45,1302.6100000000001
2035,811.79,540.05,1351.84
2036,834.89,570.88,1405.77
2037,851.25,596.95,1448.2
2038,857.57,621.22,1478.79
2039,870.56,637.89,1508.4499999999998
2040,879.05,660.0,1539.05
2041,887.39,685.77,1573.1599999999999
2042,895.99,709.9,1605.8899999999999
2043,896.89,727.11,1624.0
2044,896.42,756.64,1653.06
2045,899.03,781.42,1680.4499999999998
2046,898.85,807.44,1706.29
2047,903.64,831.82,1735.46
2048,900.05,873.81,1773.86
2049,907.82,905.57,1813.39
2050,910.2,937.78,1847.98
