year,viv_type,mean,sd
2022,tavi_in_savr,33.9,48.71578458161687
2022,tavi_in_tavi,5.195863746958637,4.29574177141674
2023,tavi_in_savr,35.488155061019384,49.97463476258832
2023,tavi_in_tavi,6.049826187717265,4.704097193357548
2024,tavi_in_savr,38.31196581196581,52.76740175329424
2024,tavi_in_tavi,7.619102416570771,5.495266492928916
2025,tavi_in_savr,38.90034843205575,52.96412531431879
2025,tavi_in_tavi,9.56623081296191,6.73520094751079
2026,tavi_in_savr,40.62707182320442,54.71240773014788
2026,tavi_in_tavi,11.892533936651583,8.122839495886117
2027,tavi_in_savr,42.42493112947658,56.880839677896105
2027,tavi_in_tavi,14.34762979683973,9.595543503918865
2028,tavi_in_savr,44.05191256830601,58.76241338379651
2028,tavi_in_tavi,17.002268859897903,10.985543873245895
2029,tavi_in_savr,45.988243430152146,61.02952260876287
2029,tavi_in_tavi,19.169213355970573,12.472311467590954
2030,tavi_in_savr,47.50479452054795,63.63566278505677
2030,tavi_in_tavi,21.135104578858112,14.012371513525528
2031,tavi_in_savr,49.58080110497237,65.77146537373883
2031,tavi_in_tavi,23.164221218961625,15.817515461794976
2032,tavi_in_savr,51.44855967078189,69.17621278955777
2032,tavi_in_tavi,24.905702992659513,17.568353231140087
2033,tavi_in_savr,52.30827067669173,71.13388837388247
2033,tavi_in_tavi,27.133408705483323,19.83014005230582
2034,tavi_in_savr,53.36222071767096,73.31330663312369
2034,tavi_in_tavi,29.01579244218838,21.759426978252577
2035,tavi_in_savr,54.665993265993265,75.81475834331299
2035,tavi_in_tavi,30.391108610016882,23.52771965299318
2036,tavi_in_savr,56.756628144119645,78.72409787981186
2036,tavi_in_tavi,32.43636363636364,25.660162312792544
2037,tavi_in_savr,57.207661290322584,80.51769629540516
2037,tavi_in_tavi,33.80237825594564,27.194588176119506
2038,tavi_in_savr,58.219280380176514,81.57788428306635
2038,tavi_in_tavi,35.196600566572236,28.360019241621636
2039,tavi_in_savr,58.4660846205507,83.09862055061363
2039,tavi_in_tavi,36.05935556811758,29.41740842363164
2040,tavi_in_savr,59.59661016949153,84.44004634511091
2040,tavi_in_tavi,37.54266211604096,30.287207067930424
2041,tavi_in_savr,59.55637583892617,85.26348276905154
2041,tavi_in_tavi,38.831823329558325,31.606352245753552
2042,tavi_in_savr,60.13355704697987,85.63547631281564
2042,tavi_in_tavi,40.49629207073588,32.55269898379022
2043,tavi_in_savr,59.67332002661344,85.15369749552367
2043,tavi_in_tavi,41.5728987993139,33.115859607645
2044,tavi_in_savr,59.76133333333333,84.33544539390743
2044,tavi_in_tavi,43.11339031339031,34.45010633218041
2045,tavi_in_savr,59.45965608465608,83.0763865089311
2045,tavi_in_tavi,44.29818594104309,35.79768538858877
2046,tavi_in_savr,59.44775132275132,81.89540662117898
2046,tavi_in_tavi,45.74730878186969,37.12434901905811
2047,tavi_in_savr,59.52832674571805,80.32355582436712
2047,tavi_in_tavi,47.15532879818594,38.480464358094416
2048,tavi_in_savr,58.86527141922825,79.12415787792177
2048,tavi_in_tavi,49.395703787450536,40.81055869489085
2049,tavi_in_savr,59.92211221122112,77.9076902258578
2049,tavi_in_tavi,51.57004555808656,42.6570794810835
2050,tavi_in_savr,59.37377690802348,76.90904068478972
2050,tavi_in_tavi,53.222474460839955,44.645443969580704
