year,viv_type,mean,sd
2022,tavi_in_savr,274.78,31.299330357183056
2022,tavi_in_tavi,8.48,2.9249190612992204
2023,tavi_in_savr,302.1,31.525682972279714
2023,tavi_in_tavi,14.65,3.9270494231314643
2024,tavi_in_savr,335.84,36.82766856206311
2024,tavi_in_tavi,23.38,5.818431181524915
2025,tavi_in_savr,359.79,36.88017589081394
2025,tavi_in_tavi,35.43,7.228248457100497
2026,tavi_in_savr,388.93,40.66573645235165
2026,tavi_in_tavi,53.69,8.345681760072335
2027,tavi_in_savr,413.55,44.03359025456669
2027,tavi_in_tavi,73.29,12.465139267962348
2028,tavi_in_savr,443.22,41.50686446817922
2028,tavi_in_tavi,98.94,11.736001762684658
2029,tavi_in_savr,469.21,47.24004785361803
2029,tavi_in_tavi,122.53,15.916737267811055
2030,tavi_in_savr,498.51,51.67272593990572
2030,tavi_in_tavi,151.49,18.332779605962862
2031,tavi_in_savr,526.05,50.585935482966704
2031,tavi_in_tavi,182.88,20.163112634489526
2032,tavi_in_savr,561.68,55.70047603300201
2032,tavi_in_tavi,212.63,27.256230869511672
2033,tavi_in_savr,583.92,61.687167763374156
2033,tavi_in_tavi,248.6,25.33612424817955
2034,tavi_in_savr,614.8,57.04950889049322
2034,tavi_in_tavi,285.43,31.395571649389012
2035,tavi_in_savr,645.96,61.86216676424841
2035,tavi_in_tavi,322.94,36.88059356651112
2036,tavi_in_savr,664.57,66.86791669274798
2036,tavi_in_tavi,340.12,36.02784557208016
2037,tavi_in_savr,676.66,72.91578371759792
2037,tavi_in_tavi,356.62,36.251305793270014
2038,tavi_in_savr,681.37,60.86209863704217
2038,tavi_in_tavi,372.49,38.71457194401199
2039,tavi_in_savr,691.22,67.0361850123506
2039,tavi_in_tavi,380.84,40.777474471114864
2040,tavi_in_savr,698.08,69.04158898881897
2040,tavi_in_tavi,392.0,41.80957311478322
2041,tavi_in_savr,704.82,71.59966988242842
2041,tavi_in_tavi,408.48,42.30635742755312
2042,tavi_in_savr,714.32,70.40544629989122
2042,tavi_in_tavi,422.96,41.91909475466407
2043,tavi_in_savr,712.01,69.16215684457751
2043,tavi_in_tavi,431.86,45.92748346441092
2044,tavi_in_savr,713.4,70.67824376294405
2044,tavi_in_tavi,453.25,47.010287934846474
2045,tavi_in_savr,714.19,69.23415035773588
2045,tavi_in_tavi,465.28,52.68834996678318
2046,tavi_in_savr,715.82,71.19675114594327
2046,tavi_in_tavi,481.11,48.958010250384646
2047,tavi_in_savr,717.14,71.03236138293843
2047,tavi_in_tavi,495.83,50.462918679126766
2048,tavi_in_savr,717.25,69.87599044309883
2048,tavi_in_tavi,521.86,49.8288018614686
2049,tavi_in_savr,723.34,67.85192136058663
2049,tavi_in_tavi,539.31,59.4375480753717
2050,tavi_in_savr,723.51,75.18455340498518
2050,tavi_in_tavi,560.17,55.846842327743104
