year,viv_type,mean,sd,realized
2022,tavi_in_savr,274.78,31.299330357183056,59.77999999999997
2022,tavi_in_tavi,8.48,2.9249190612992204,8.48
2023,tavi_in_savr,302.1,31.525682972279714,82.10000000000002
2023,tavi_in_tavi,14.65,3.9270494231314643,14.65
2024,tavi_in_savr,335.84,36.82766856206311,110.83999999999997
2024,tavi_in_tavi,23.38,5.818431181524915,23.38
2025,tavi_in_savr,359.79,36.88017589081394,130.79000000000002
2025,tavi_in_tavi,35.43,7.228248457100497,35.43
2026,tavi_in_savr,388.93,40.66573645235165,154.93
2026,tavi_in_tavi,53.69,8.345681760072335,53.69
2027,tavi_in_savr,413.55,44.03359025456669,173.55
2027,tavi_in_tavi,73.29,12.465139267962348,73.29
2028,tavi_in_savr,443.22,41.50686446817922,197.22000000000003
2028,tavi_in_tavi,98.94,11.736001762684658,98.94
2029,tavi_in_savr,469.21,47.24004785361803,217.20999999999998
2029,tavi_in_tavi,122.53,15.916737267811055,122.53
2030,tavi_in_savr,498.51,51.67272593990572,241.51
2030,tavi_in_tavi,151.49,18.332779605962862,151.49
2031,tavi_in_savr,526.05,50.585935482966704,263.04999999999995
2031,tavi_in_tavi,182.88,20.163112634489526,182.88
2032,tavi_in_savr,561.68,55.70047603300201,292.67999999999995
2032,tavi_in_tavi,212.63,27.256230869511672,212.63
2033,tavi_in_savr,583.92,61.687167763374156,308.91999999999996
2033,tavi_in_tavi,248.6,25.33612424817955,248.6
2034,tavi_in_savr,614.8,57.04950889049322,334.79999999999995
2034,tavi_in_tavi,285.43,31.395571649389012,285.43
2035,tavi_in_savr,645.96,61.86216676424841,360.96000000000004
2035,tavi_in_tavi,322.94,36.88059356651112,322.94
2036,tavi_in_savr,664.57,66.86791669274798,374.57000000000005
2036,tavi_in_tavi,340.12,36.02784557208016,340.12
2037,tavi_in_savr,676.66,72.91578371759792,382.65999999999997
2037,tavi_in_tavi,356.62,36.251305793270014,356.62
2038,tavi_in_savr,681.37,60.86209863704217,384.37
2038,tavi_in_tavi,372.49,38.71457194401199,372.49
2039,tavi_in_savr,691.22,67.0361850123506,391.22
2039,tavi_in_tavi,380.84,40.777474471114864,380.84
2040,tavi_in_savr,698.08,69.04158898881897,395.08000000000004
2040,tavi_in_tavi,392.0,41.80957311478322,392.0
2041,tavi_in_savr,704.82,71.59966988242842,399.82000000000005
2041,tavi_in_tavi,408.48,42.30635742755312,408.48
2042,tavi_in_savr,714.32,70.40544629989122,407.32000000000005
2042,tavi_in_tavi,422.96,41.91909475466407,422.96
2043,tavi_in_savr,712.01,69.16215684457751,404.01
2043,tavi_in_tavi,431.86,45.92748346441092,431.86
2044,tavi_in_savr,713.4,70.67824376294405,404.4
2044,tavi_in_tavi,453.25,47.010287934846474,453.25
2045,tavi_in_savr,714.19,69.23415035773588,405.19000000000005
2045,tavi_in_tavi,465.28,52.68834996678318,465.28
2046,tavi_in_savr,715.82,71.19675114594327,407.82000000000005
2046,tavi_in_tavi,481.11,48.958010250384646,481.11
2047,tavi_in_savr,717.14,71.03236138293843,410.14
2047,tavi_in_tavi,495.83,50.462918679126766,495.83
2048,tavi_in_savr,717.25,69.87599044309883,410.25
2048,tavi_in_tavi,521.86,49.8288018614686,521.86
2049,tavi_in_savr,723.34,67.85192136058663,417.34000000000003
2049,tavi_in_tavi,539.31,59.4375480753717,539.31
2050,tavi_in_savr,723.51,75.18455340498518,418.51
2050,tavi_in_tavi,560.17,55.846842327743104,560.17
