year,tavi_in_savr,tavi_in_tavi,total
2022,59.77999999999997,8.48,68.25999999999998
2023,82.10000000000002,14.65,96.75000000000003
2024,110.83999999999997,23.38,134.21999999999997
2025,130.79000000000002,35.43,166.22000000000003
2026,154.93,53.69,208.62
2027,173.55,73.29,246.84000000000003
2028,197.22000000000003,98.94,296.16
2029,217.20999999999998,122.53,339.74
2030,241.51,151.49,393.0
2031,263.04999999999995,182.88,445.92999999999995
2032,292.67999999999995,212.63,505.30999999999995
2033,308.91999999999996,248.6,557.52
2034,334.79999999999995,285.43,620.23
2035,360.96000000000004,322.94,683.9000000000001
2036,374.57000000000005,340.12,714.69
2037,382.65999999999997,356.62,739.28
2038,384.37,372.49,756.86
2039,391.22,380.84,772.06
2040,395.08000000000004,392.0,787.08
2041,399.82000000000005,408.48,808.3000000000001
2042,407.32000000000005,422.96,830.28
2043,404.01,431.86,835.87
2044,404.4,453.25,857.65
2045,405.19000000000005,465.28,870.47
2046,407.82000000000005,481.11,888.9300000000001
2047,410.14,495.83,905.97
2048,410.25,521.86,932.11
2049,417.34000000000003,539.31,956.65
2050,418.51,560.17,978.68
