year,pop_total,pop_50plus,avg_age_total,avg_age_50plus
2022,5651000,1689000,38.14050610511414,64.00118413262285
2023,5786000,1746000,38.41894227445558,64.20790378006873
2024,5834000,1796000,38.85464518340761,64.37750556792874
2025,5869000,1841000,39.28062702334299,64.55024443237372
2026,5906000,1889000,39.70741618692855,64.71836950767602
2027,5942000,1937000,40.11847862672501,64.91946308724832
2028,5974000,1982000,40.52276531637094,65.10040363269425
2029,6004000,2029000,40.91155896069287,65.24297683587974
2030,6031000,2077000,41.31603382523628,65.42320654790564
2031,6060000,2130000,41.71947194719472,65.57511737089202
2032,6083000,2179000,42.09452572743712,65.70123910050482
2033,6110000,2231000,42.47135842880524,65.82787987449574
2034,6134000,2283000,42.85262471470492,65.95094174332019
2035,6153000,2334000,43.23516983585243,66.08740359897172
2036,6170000,2389000,43.64748784440843,66.21096693177061
2037,6178000,2439000,44.0176432502428,66.29479294792948
2038,6188000,2499000,44.39980607627666,66.33773509403761
2039,6197000,2563000,44.789252864289175,66.3835349200156
2040,6196000,2627000,45.18754034861201,66.39094023601066
2041,6195000,2693000,45.59644874899112,66.42257705161529
2042,6190000,2760000,46.0064620355412,66.42934782608695
2043,6181000,2825000,46.40948066655881,66.44601769911505
2044,6170000,2893000,46.8257698541329,66.47286553750432
2045,6154000,2955000,47.20474488137796,66.47546531302876
2046,6145000,3019000,47.56712774613507,66.50314673733024
2047,6126000,3083000,47.96800522363696,66.53616607200779
2048,6112000,3142000,48.32526178010471,66.59261616804584
2049,6097000,3203000,48.70657700508447,66.675304402123
2050,6079000,3258000,49.03898667544004,66.73603437691835
