year,tavi_in_savr,tavi_in_tavi,total
2022,29.71,22.39,52.1
2023,34.2,24.79,58.99
2024,40.01,27.82,67.83
2025,46.37,32.85,79.22
2026,58.33,34.78,93.11
2027,66.88,38.12,105.0
2028,78.57,39.5,118.07
2029,85.69,41.15,126.84
2030,94.52,41.44,135.95999999999998
2031,101.57,42.21,143.78
2032,105.96,43.23,149.19
2033,110.62,42.43,153.05
2034,112.63,42.92,155.55
2035,115.91,43.42,159.32999999999998
2036,120.38,43.81,164.19
2037,124.33,45.35,169.68
2038,127.02,45.06,172.07999999999998
2039,129.86,46.69,176.55
2040,134.7,49.56,184.26
2041,139.79,51.72,191.51
2042,144.78,53.69,198.47
2043,150.05,56.03,206.08
2044,156.95,59.39,216.33999999999997
2045,163.08,58.91,221.99
2046,170.81,63.93,234.74
2047,178.84,64.87,243.71
2048,187.77,67.14,254.91000000000003
2049,196.62,68.81,265.43
2050,201.57,72.88,274.45
