year,tavi_in_savr,tavi_in_tavi,total
2022,17.59,2.36046511627907,19.95046511627907
2023,21.05,3.8958333333333335,24.945833333333333
2024,25.44,5.27,30.71
2025,29.82,7.13,36.95
2026,38.81,8.32,47.13
2027,44.63,11.02,55.650000000000006
2028,54.89,13.29,68.18
2029,60.5,15.09,75.59
2030,68.72,17.28,86.0
2031,75.02,18.51,93.53
2032,80.1,20.54,100.63999999999999
2033,85.12,21.73,106.85000000000001
2034,88.74,23.52,112.25999999999999
2035,91.86,26.08,117.94
2036,96.73,26.0,122.73
2037,99.74,27.21,126.94999999999999
2038,101.32,27.1,128.42
2039,104.04,27.81,131.85
2040,107.32,29.96,137.28
2041,112.2,31.06,143.26
2042,116.57,32.35,148.92
2043,120.93,33.92,154.85000000000002
2044,126.06,34.9,160.96
2045,130.16,35.89,166.05
2046,136.48,38.66,175.14
2047,143.28,39.1,182.38
2048,149.99,40.02,190.01000000000002
2049,157.66,40.63,198.29
2050,160.31,43.94,204.25
