procedure,year,sex,age_band,count,population,risk
redo_savr,2023,Men,10-14,0,118000,0.0
redo_savr,2023,Men,15-19,0,202000,0.0
redo_savr,2023,Men,20-24,0,307000,0.0
redo_savr,2023,Men,25-29,0,330000,0.0
redo_savr,2023,Men,30-34,0,304000,0.0
redo_savr,2023,Men,35-39,0,245000,0.0
redo_savr,2023,Men,40-44,0,214000,0.0
redo_savr,2023,Men,45-49,0,191000,0.0
redo_savr,2023,Men,5-9,0,115000,0.0
redo_savr,2023,Men,50-54,0,176000,0.0
redo_savr,2023,Men,55-59,0,167000,0.0
redo_savr,2023,Men,60-64,0,158000,0.0
redo_savr,2023,Men,65-69,0,132000,0.0
redo_savr,2023,Men,70-74,1,98000,1.0204081632653061e-05
redo_savr,2023,Men,75-79,0,58000,0.0
redo_savr,2023,Men,<5yr,0,0,0.0
redo_savr,2023,Men,>=80,0,60000,0.0
savr,2023,Men,10-14,0,118000,0.0
savr,2023,Men,15-19,1,202000,4.950495049504951e-06
savr,2023,Men,20-24,0,307000,0.0
savr,2023,Men,25-29,2,330000,6.060606060606061e-06
savr,2023,Men,30-34,2,304000,6.578947368421053e-06
savr,2023,Men,35-39,3,245000,1.2244897959183674e-05
savr,2023,Men,40-44,3,214000,1.4018691588785047e-05
savr,2023,Men,45-49,7,191000,3.664921465968586e-05
savr,2023,Men,5-9,0,115000,0.0
savr,2023,Men,50-54,7,176000,3.9772727272727275e-05
savr,2023,Men,55-59,26,167000,0.000155688622754491
savr,2023,Men,60-64,20,158000,0.00012658227848101267
savr,2023,Men,65-69,21,132000,0.0001590909090909091
savr,2023,Men,70-74,15,98000,0.0001530612244897959
savr,2023,Men,75-79,4,58000,6.896551724137931e-05
savr,2023,Men,<5yr,0,0,0.0
savr,2023,Men,>=80,99,60000,0.00165
tavi,2023,Men,10-14,0,118000,0.0
tavi,2023,Men,15-19,0,202000,0.0
tavi,2023,Men,20-24,0,307000,0.0
tavi,2023,Men,25-29,0,330000,0.0
tavi,2023,Men,30-34,0,304000,0.0
tavi,2023,Men,35-39,0,245000,0.0
tavi,2023,Men,40-44,0,214000,0.0
tavi,2023,Men,45-49,0,191000,0.0
tavi,2023,Men,5-9,0,115000,0.0
tavi,2023,Men,50-54,0,176000,0.0
tavi,2023,Men,55-59,0,167000,0.0
tavi,2023,Men,60-64,2,158000,1.2658227848101267e-05
tavi,2023,Men,65-69,6,132000,4.545454545454545e-05
tavi,2023,Men,70-74,12,98000,0.00012244897959183673
tavi,2023,Men,75-79,24,58000,0.00041379310344827585
tavi,2023,Men,<5yr,0,0,0.0
tavi,2023,Men,>=80,24,60000,0.0004
redo_savr,2023,Women,10-14,0,110000,0.0
redo_savr,2023,Women,15-19,0,174000,0.0
redo_savr,2023,Women,20-24,0,248000,0.0
redo_savr,2023,Women,25-29,0,271000,0.0
redo_savr,2023,Women,30-34,0,263000,0.0
redo_savr,2023,Women,35-39,0,224000,0.0
redo_savr,2023,Women,40-44,0,203000,0.0
redo_savr,2023,Women,45-49,0,183000,0.0
redo_savr,2023,Women,5-9,0,110000,0.0
redo_savr,2023,Women,50-54,0,171000,0.0
redo_savr,2023,Women,55-59,0,161000,0.0
redo_savr,2023,Women,60-64,0,154000,0.0
redo_savr,2023,Women,65-69,0,138000,0.0
redo_savr,2023,Women,70-74,0,109000,0.0
redo_savr,2023,Women,75-79,0,70000,0.0
redo_savr,2023,Women,<5yr,0,0,0.0
redo_savr,2023,Women,>=80,0,94000,0.0
savr,2023,Women,10-14,0,110000,0.0
savr,2023,Women,15-19,0,174000,0.0
savr,2023,Women,20-24,0,248000,0.0
savr,2023,Women,25-29,1,271000,3.690036900369004e-06
savr,2023,Women,30-34,1,263000,3.8022813688212926e-06
savr,2023,Women,35-39,2,224000,8.92857142857143e-06
savr,2023,Women,40-44,0,203000,0.0
savr,2023,Women,45-49,3,183000,1.639344262295082e-05
savr,2023,Women,5-9,0,110000,0.0
savr,2023,Women,50-54,3,171000,1.7543859649122806e-05
savr,2023,Women,55-59,2,161000,1.2422360248447205e-05
savr,2023,Women,60-64,11,154000,7.142857142857143e-05
savr,2023,Women,65-69,13,138000,9.420289855072463e-05
savr,2023,Women,70-74,13,109000,0.00011926605504587155
savr,2023,Women,75-79,3,70000,4.2857142857142856e-05
savr,2023,Women,<5yr,0,0,0.0
savr,2023,Women,>=80,2,94000,2.1276595744680852e-05
tavi,2023,Women,10-14,0,110000,0.0
tavi,2023,Women,15-19,0,174000,0.0
tavi,2023,Women,20-24,0,248000,0.0
tavi,2023,Women,25-29,0,271000,0.0
tavi,2023,Women,30-34,0,263000,0.0
tavi,2023,Women,35-39,0,224000,0.0
tavi,2023,Women,40-44,0,203000,0.0
tavi,2023,Women,45-49,0,183000,0.0
tavi,2023,Women,5-9,0,110000,0.0
tavi,2023,Women,50-54,0,171000,0.0
tavi,2023,Women,55-59,0,161000,0.0
tavi,2023,Women,60-64,2,154000,1.2987012987012988e-05
tavi,2023,Women,65-69,8,138000,5.797101449275362e-05
tavi,2023,Women,70-74,13,109000,0.00011926605504587155
tavi,2023,Women,75-79,15,70000,0.00021428571428571427
tavi,2023,Women,<5yr,0,0,0.0
tavi,2023,Women,>=80,22,94000,0.00023404255319148937
redo_savr,2024,Men,10-14,0,115000,0.0
redo_savr,2024,Men,15-19,0,180000,0.0
redo_savr,2024,Men,20-24,0,295000,0.0
redo_savr,2024,Men,25-29,0,332000,0.0
