year,proc,index_cnt,deaths,failures,viable,run
2012,savr,14.0,0.03,0.0,0.0,49.5
2012,tavi,30.0,0.12,0.0,0.0,49.5
2013,savr,16.0,0.08,0.53,0.0,49.5
2013,tavi,41.0,0.32,0.64,0.0,49.5
2014,savr,13.0,0.43,0.92,0.0,49.5
2014,tavi,43.0,1.43,1.72,0.0,49.5
2015,savr,18.0,1.03,1.43,0.0,49.5
2015,tavi,44.0,2.97,3.84,0.0,49.5
2016,savr,216.0,2.94,2.04,0.0,49.5
2016,tavi,52.0,6.66,6.6,0.0,49.5
2017,savr,237.0,5.52,6.91,0.0,49.5
2017,tavi,67.0,13.5,9.06,0.0,49.5
2018,savr,254.0,11.31,10.53,0.0,49.5
2018,tavi,76.0,20.3,11.95,0.0,49.5
2019,savr,245.0,21.11,16.11,0.0,49.5
2019,tavi,70.0,29.3,15.31,0.0,49.5
2020,savr,208.0,36.04,21.64,0.0,49.5
2020,tavi,95.0,38.87,19.52,0.0,49.5
2021,savr,230.0,54.49,27.63,0.0,49.5
2021,tavi,119.0,46.29,25.22,0.0,49.5
2022,savr,245.0,76.95,36.21,29.71,49.5
2022,tavi,121.0,53.98,32.58,22.39,49.5
2023,savr,264.0,99.69,45.33,34.2,49.5
2023,tavi,128.0,60.94,38.6,24.79,49.5
2024,savr,326.0,118.71,57.65,40.01,49.5
2024,tavi,143.0,66.86,46.97,27.82,49.5
2025,savr,306.0,135.75,71.77,46.37,49.5
2025,tavi,131.0,71.92,56.94,32.85,49.5
2026,savr,326.0,162.96,91.6,58.33,49.5
2026,tavi,138.0,84.36,63.69,34.78,49.5
2027,savr,353.0,215.75,110.54,66.88,49.5
2027,tavi,147.0,109.22,72.84,38.12,49.5
2028,savr,379.0,285.64,134.13,78.57,49.5
2028,tavi,154.0,137.58,80.72,39.5,49.5
2029,savr,405.0,337.0,156.41,85.69,49.5
2029,tavi,162.0,157.68,88.45,41.15,49.5
2030,savr,434.0,385.15,185.38,94.52,49.5
2030,tavi,171.0,169.71,97.28,41.44,49.5
2031,savr,463.0,415.78,214.61,101.57,49.5
2031,tavi,180.0,172.9,105.57,42.21,49.5
2032,savr,491.0,431.62,244.25,105.96,49.5
2032,tavi,188.0,173.11,114.74,43.23,49.5
2033,savr,520.0,451.5,275.73,110.62,49.5
2033,tavi,197.0,176.3,123.21,42.43,49.5
2034,savr,551.0,469.17,307.42,112.63,49.5
2034,tavi,205.0,180.51,131.1,42.92,49.5
2035,savr,584.0,485.94,338.05,115.91,49.5
2035,tavi,214.0,187.29,138.86,43.42,49.5
2036,savr,618.0,498.68,369.69,120.38,49.5
2036,tavi,223.0,189.26,149.24,43.81,49.5
2037,savr,648.0,522.04,402.82,124.33,49.5
2037,tavi,231.0,197.41,157.36,45.35,49.5
2038,savr,680.0,541.7,425.6,127.02,49.5
2038,tavi,239.0,202.31,163.26,45.06,49.5
2039,savr,715.0,558.93,448.73,129.86,49.5
2039,tavi,248.0,205.35,170.89,46.69,49.5
2040,savr,747.0,581.04,475.57,134.7,49.5
2040,tavi,256.0,214.55,177.91,49.56,49.5
2041,savr,782.0,607.28,497.16,139.79,49.5
2041,tavi,264.0,220.78,184.04,51.72,49.5
2042,savr,815.0,622.37,522.04,144.78,49.5
2042,tavi,271.0,226.84,193.0,53.69,49.5
2043,savr,848.0,654.06,542.96,150.05,49.5
2043,tavi,279.0,234.21,200.05,56.03,49.5
2044,savr,883.0,676.11,562.72,156.95,49.5
2044,tavi,286.0,242.32,209.32,59.39,49.5
2045,savr,913.0,703.49,589.08,163.08,49.5
2045,tavi,293.0,246.02,214.89,58.91,49.5
2046,savr,943.0,725.14,610.07,170.81,49.5
2046,tavi,300.0,255.15,227.02,63.93,49.5
2047,savr,972.0,754.98,629.41,178.84,49.5
2047,tavi,308.0,261.67,233.36,64.87,49.5
2048,savr,999.0,788.3,661.61,187.77,49.5
2048,tavi,317.0,267.8,242.69,67.14,49.5
2049,savr,1028.0,812.72,691.03,196.62,49.5
2049,tavi,325.0,269.58,247.05,68.81,49.5
2050,savr,1055.0,840.29,720.57,201.57,49.5
2050,tavi,333.0,281.54,258.98,72.88,49.5
