run,year,viv_type,count
0,2022,tavi_in_savr,39
0,2022,tavi_in_tavi,25
0,2023,tavi_in_savr,29
0,2023,tavi_in_tavi,25
0,2024,tavi_in_savr,50
0,2024,tavi_in_tavi,24
0,2025,tavi_in_savr,47
0,2025,tavi_in_tavi,30
0,2026,tavi_in_savr,57
0,2026,tavi_in_tavi,26
0,2027,tavi_in_savr,62
0,2027,tavi_in_tavi,33
0,2028,tavi_in_savr,62
0,2028,tavi_in_tavi,36
0,2029,tavi_in_savr,77
0,2029,tavi_in_tavi,52
0,2030,tavi_in_savr,93
0,2030,tavi_in_tavi,52
0,2031,tavi_in_savr,90
0,2031,tavi_in_tavi,49
0,2032,tavi_in_savr,114
0,2032,tavi_in_tavi,32
0,2033,tavi_in_savr,102
0,2033,tavi_in_tavi,44
0,2034,tavi_in_savr,92
0,2034,tavi_in_tavi,51
0,2035,tavi_in_savr,107
0,2035,tavi_in_tavi,48
0,2036,tavi_in_savr,126
0,2036,tavi_in_tavi,44
0,2037,tavi_in_savr,132
0,2037,tavi_in_tavi,40
0,2038,tavi_in_savr,115
0,2038,tavi_in_tavi,39
0,2039,tavi_in_savr,130
0,2039,tavi_in_tavi,56
0,2040,tavi_in_savr,154
0,2040,tavi_in_tavi,54
0,2041,tavi_in_savr,123
0,2041,tavi_in_tavi,56
0,2042,tavi_in_savr,140
0,2042,tavi_in_tavi,51
0,2043,tavi_in_savr,135
0,2043,tavi_in_tavi,61
0,2044,tavi_in_savr,174
0,2044,tavi_in_tavi,57
0,2045,tavi_in_savr,165
0,2045,tavi_in_tavi,68
0,2046,tavi_in_savr,167
0,2046,tavi_in_tavi,73
0,2047,tavi_in_savr,191
0,2047,tavi_in_tavi,68
0,2048,tavi_in_savr,191
0,2048,tavi_in_tavi,60
0,2049,tavi_in_savr,205
0,2049,tavi_in_tavi,63
0,2050,tavi_in_savr,189
0,2050,tavi_in_tavi,78
1,2022,tavi_in_savr,30
1,2022,tavi_in_tavi,27
1,2023,tavi_in_savr,36
1,2023,tavi_in_tavi,23
1,2024,tavi_in_savr,39
1,2024,tavi_in_tavi,19
1,2025,tavi_in_savr,54
1,2025,tavi_in_tavi,39
1,2026,tavi_in_savr,64
1,2026,tavi_in_tavi,37
1,2027,tavi_in_savr,69
1,2027,tavi_in_tavi,28
1,2028,tavi_in_savr,71
1,2028,tavi_in_tavi,42
1,2029,tavi_in_savr,88
1,2029,tavi_in_tavi,55
1,2030,tavi_in_savr,110
1,2030,tavi_in_tavi,33
1,2031,tavi_in_savr,86
1,2031,tavi_in_tavi,52
1,2032,tavi_in_savr,101
1,2032,tavi_in_tavi,42
1,2033,tavi_in_savr,134
1,2033,tavi_in_tavi,33
1,2034,tavi_in_savr,102
1,2034,tavi_in_tavi,49
1,2035,tavi_in_savr,121
1,2035,tavi_in_tavi,28
1,2036,tavi_in_savr,125
1,2036,tavi_in_tavi,58
1,2037,tavi_in_savr,133
1,2037,tavi_in_tavi,56
1,2038,tavi_in_savr,155
1,2038,tavi_in_tavi,44
1,2039,tavi_in_savr,134
1,2039,tavi_in_tavi,50
1,2040,tavi_in_savr,156
1,2040,tavi_in_tavi,45
1,2041,tavi_in_savr,123
1,2041,tavi_in_tavi,44
1,2042,tavi_in_savr,135
1,2042,tavi_in_tavi,57
1,2043,tavi_in_savr,121
1,2043,tavi_in_tavi,40
1,2044,tavi_in_savr,156
1,2044,tavi_in_tavi,63
1,2045,tavi_in_savr,159
1,2045,tavi_in_tavi,60
1,2046,tavi_in_savr,137
1,2046,tavi_in_tavi,61
1,2047,tavi_in_savr,177
1,2047,tavi_in_tavi,84
1,2048,tavi_in_savr,186
1,2048,tavi_in_tavi,72
1,2049,tavi_in_savr,196
1,2049,tavi_in_tavi,75
1,2050,tavi_in_savr,189
1,2050,tavi_in_tavi,64
2,2022,tavi_in_savr,34
2,2022,tavi_in_tavi,21
2,2023,tavi_in_savr,35
2,2023,tavi_in_tavi,19
2,2024,tavi_in_savr,38
2,2024,tavi_in_tavi,25
2,2025,tavi_in_savr,42
2,2025,tavi_in_tavi,36
2,2026,tavi_in_savr,53
2,2026,tavi_in_tavi,28
2,2027,tavi_in_savr,68
2,2027,tavi_in_tavi,42
2,2028,tavi_in_savr,69
2,2028,tavi_in_tavi,34
2,2029,tavi_in_savr,107
2,2029,tavi_in_tavi,44
2,2030,tavi_in_savr,110
2,2030,tavi_in_tavi,38
2,2031,tavi_in_savr,103
2,2031,tavi_in_tavi,41
2,2032,tavi_in_savr,90
2,2032,tavi_in_tavi,37
2,2033,tavi_in_savr,107
2,2033,tavi_in_tavi,44
2,2034,tavi_in_savr,117
2,2034,tavi_in_tavi,39
2,2035,tavi_in_savr,98
2,2035,tavi_in_tavi,43
2,2036,tavi_in_savr,134
2,2036,tavi_in_tavi,38
