year,viv_type,mean,sd
2022,tavi_in_savr,29.71,5.369752547766277
2022,tavi_in_tavi,22.39,5.102772072930833
2023,tavi_in_savr,34.2,5.9509781896879295
2023,tavi_in_tavi,24.79,4.481826377356409
2024,tavi_in_savr,40.01,6.024352934782979
2024,tavi_in_tavi,27.82,5.311280162983024
2025,tavi_in_savr,46.37,6.21931660151652
2025,tavi_in_tavi,32.85,5.149041295486594
2026,tavi_in_savr,58.33,7.312718959857451
2026,tavi_in_tavi,34.78,6.227310329459577
2027,tavi_in_savr,66.88,7.552215542207439
2027,tavi_in_tavi,38.12,6.932983674166745
2028,tavi_in_savr,78.57,8.250197426471539
2028,tavi_in_tavi,39.5,6.20442982835244
2029,tavi_in_savr,85.69,10.11319270392227
2029,tavi_in_tavi,41.15,6.0140827994958554
2030,tavi_in_savr,94.52,9.436100889668356
2030,tavi_in_tavi,41.44,7.004068081977051
2031,tavi_in_savr,101.57,8.988494329031436
2031,tavi_in_tavi,42.21,6.713915896603611
2032,tavi_in_savr,105.96,10.47355496168104
2032,tavi_in_tavi,43.23,6.230999401007318
2033,tavi_in_savr,110.62,10.11028079618849
2033,tavi_in_tavi,42.43,5.843506281041002
2034,tavi_in_savr,112.63,10.266799487531236
2034,tavi_in_tavi,42.92,6.1622506710887155
2035,tavi_in_savr,115.91,11.854415705431105
2035,tavi_in_tavi,43.42,5.56173797413446
2036,tavi_in_savr,120.38,10.979117000060167
2036,tavi_in_tavi,43.81,6.752021769795916
2037,tavi_in_savr,124.33,10.860971736944492
2037,tavi_in_tavi,45.35,7.025746302785999
2038,tavi_in_savr,127.02,11.447711605823285
2038,tavi_in_tavi,45.06,6.6299290792556445
2039,tavi_in_savr,129.86,10.27207649677296
2039,tavi_in_tavi,46.69,6.675289877562991
2040,tavi_in_savr,134.7,9.930567033969492
2040,tavi_in_tavi,49.56,7.05293119091902
2041,tavi_in_savr,139.79,12.398513270272828
2041,tavi_in_tavi,51.72,6.66072462463751
2042,tavi_in_savr,144.78,11.935500057231026
2042,tavi_in_tavi,53.69,8.45749324085996
2043,tavi_in_savr,150.05,13.160527913024422
2043,tavi_in_tavi,56.03,8.088469158829337
2044,tavi_in_savr,156.95,10.828670325118457
2044,tavi_in_tavi,59.39,7.4547727238083095
2045,tavi_in_savr,163.08,12.380891108739501
2045,tavi_in_tavi,58.91,6.625776112344055
2046,tavi_in_savr,170.81,13.499491198792002
2046,tavi_in_tavi,63.93,8.834339565330028
2047,tavi_in_savr,178.84,14.554474476006595
2047,tavi_in_tavi,64.87,7.152953758745223
2048,tavi_in_savr,187.77,11.155335725629918
2048,tavi_in_tavi,67.14,9.237626176336503
2049,tavi_in_savr,196.62,11.297429760433086
2049,tavi_in_tavi,68.81,7.323264437407821
2050,tavi_in_savr,201.57,13.387205560805903
2050,tavi_in_tavi,72.88,7.813844227789647
