year,viv_type,mean,sd
2022,tavi_in_savr,17.59,4.597089549185695
2022,tavi_in_tavi,2.36046511627907,1.2640996861070206
2023,tavi_in_savr,21.05,5.015883861204415
2023,tavi_in_tavi,3.8958333333333335,1.9438386692135294
2024,tavi_in_savr,25.44,5.249954304755442
2024,tavi_in_tavi,5.27,2.0785338655655887
2025,tavi_in_savr,29.82,6.305969594380591
2025,tavi_in_tavi,7.13,2.7327235092079447
2026,tavi_in_savr,38.81,7.287314285451772
2026,tavi_in_tavi,8.32,2.82084592226724
2027,tavi_in_savr,44.63,8.396313524879877
2027,tavi_in_tavi,11.02,4.116927362620199
2028,tavi_in_savr,54.89,10.40580160634956
2028,tavi_in_tavi,13.29,3.5881257593131344
2029,tavi_in_savr,60.5,10.181682899534174
2029,tavi_in_tavi,15.09,4.15384694523576
2030,tavi_in_savr,68.72,10.874007559498956
2030,tavi_in_tavi,17.28,4.559549862595534
2031,tavi_in_savr,75.02,10.148374005203738
2031,tavi_in_tavi,18.51,4.70223458591871
2032,tavi_in_savr,80.1,12.97978225837196
2032,tavi_in_tavi,20.54,5.166754642457249
2033,tavi_in_savr,85.12,13.019239841888082
2033,tavi_in_tavi,21.73,5.633333333333333
2034,tavi_in_savr,88.74,13.738260369486305
2034,tavi_in_tavi,23.52,5.379497179011241
2035,tavi_in_savr,91.86,14.17282931912647
2035,tavi_in_tavi,26.08,5.254493026895835
2036,tavi_in_savr,96.73,14.112717239383345
2036,tavi_in_tavi,26.0,5.810127000124503
2037,tavi_in_savr,99.74,15.411932934180475
2037,tavi_in_tavi,27.21,5.784505601216498
2038,tavi_in_savr,101.32,14.06972536040316
2038,tavi_in_tavi,27.1,6.450276010068142
2039,tavi_in_savr,104.04,13.080110585514673
2039,tavi_in_tavi,27.81,5.912997154872928
2040,tavi_in_savr,107.32,14.422821422238362
2040,tavi_in_tavi,29.96,5.877400648572324
2041,tavi_in_savr,112.2,16.59317128620486
2041,tavi_in_tavi,31.06,6.400473467335101
2042,tavi_in_savr,116.57,16.36592604631756
2042,tavi_in_tavi,32.35,7.193396242036825
2043,tavi_in_savr,120.93,15.561708379119809
2043,tavi_in_tavi,33.92,7.331514926064813
2044,tavi_in_savr,126.06,15.724792237390325
2044,tavi_in_tavi,34.9,6.243380332784313
2045,tavi_in_savr,130.16,17.3215111198402
2045,tavi_in_tavi,35.89,6.747831675674217
2046,tavi_in_savr,136.48,19.050957716056956
2046,tavi_in_tavi,38.66,8.081928962665767
2047,tavi_in_savr,143.28,19.581520870350168
2047,tavi_in_tavi,39.1,6.943494884575147
2048,tavi_in_savr,149.99,19.622958621230012
2048,tavi_in_tavi,40.02,8.176067563815803
2049,tavi_in_savr,157.66,19.073605433751222
2049,tavi_in_tavi,40.63,7.6192936919137315
2050,tavi_in_savr,160.31,19.185271602576975
2050,tavi_in_tavi,43.94,8.050120772040904
