year,viv_type,mean,sd,realized
2022,tavi_in_savr,17.59,4.597089549185695,16.59
2022,tavi_in_tavi,2.36046511627907,1.2640996861070206,2.36046511627907
2023,tavi_in_savr,21.05,5.015883861204415,20.05
2023,tavi_in_tavi,3.8958333333333335,1.9438386692135294,3.8958333333333335
2024,tavi_in_savr,25.44,5.249954304755442,24.44
2024,tavi_in_tavi,5.27,2.0785338655655887,5.27
2025,tavi_in_savr,29.82,6.305969594380591,28.82
2025,tavi_in_tavi,7.13,2.7327235092079447,7.13
2026,tavi_in_savr,38.81,7.287314285451772,37.81
2026,tavi_in_tavi,8.32,2.82084592226724,8.32
2027,tavi_in_savr,44.63,8.396313524879877,43.63
2027,tavi_in_tavi,11.02,4.116927362620199,11.02
2028,tavi_in_savr,54.89,10.40580160634956,53.89
2028,tavi_in_tavi,13.29,3.5881257593131344,13.29
2029,tavi_in_savr,60.5,10.181682899534174,59.5
2029,tavi_in_tavi,15.09,4.15384694523576,15.09
2030,tavi_in_savr,68.72,10.874007559498956,67.72
2030,tavi_in_tavi,17.28,4.559549862595534,17.28
2031,tavi_in_savr,75.02,10.148374005203738,74.02
2031,tavi_in_tavi,18.51,4.70223458591871,18.51
2032,tavi_in_savr,80.1,12.97978225837196,79.1
2032,tavi_in_tavi,20.54,5.166754642457249,20.54
2033,tavi_in_savr,85.12,13.019239841888082,83.12
2033,tavi_in_tavi,21.73,5.633333333333333,21.73
2034,tavi_in_savr,88.74,13.738260369486305,86.74
2034,tavi_in_tavi,23.52,5.379497179011241,23.52
2035,tavi_in_savr,91.86,14.17282931912647,89.86
2035,tavi_in_tavi,26.08,5.254493026895835,26.08
2036,tavi_in_savr,96.73,14.112717239383345,94.73
2036,tavi_in_tavi,26.0,5.810127000124503,26.0
2037,tavi_in_savr,99.74,15.411932934180475,97.74
2037,tavi_in_tavi,27.21,5.784505601216498,27.21
2038,tavi_in_savr,101.32,14.06972536040316,99.32
2038,tavi_in_tavi,27.1,6.450276010068142,27.1
2039,tavi_in_savr,104.04,13.080110585514673,102.04
2039,tavi_in_tavi,27.81,5.912997154872928,27.81
2040,tavi_in_savr,107.32,14.422821422238362,105.32
2040,tavi_in_tavi,29.96,5.877400648572324,29.96
2041,tavi_in_savr,112.2,16.59317128620486,110.2
2041,tavi_in_tavi,31.06,6.400473467335101,31.06
2042,tavi_in_savr,116.57,16.36592604631756,114.57
2042,tavi_in_tavi,32.35,7.193396242036825,32.35
2043,tavi_in_savr,120.93,15.561708379119809,118.93
2043,tavi_in_tavi,33.92,7.331514926064813,33.92
2044,tavi_in_savr,126.06,15.724792237390325,124.06
2044,tavi_in_tavi,34.9,6.243380332784313,34.9
2045,tavi_in_savr,130.16,17.3215111198402,128.16
2045,tavi_in_tavi,35.89,6.747831675674217,35.89
2046,tavi_in_savr,136.48,19.050957716056956,134.48
2046,tavi_in_tavi,38.66,8.081928962665767,38.66
2047,tavi_in_savr,143.28,19.581520870350168,141.28
2047,tavi_in_tavi,39.1,6.943494884575147,39.1
2048,tavi_in_savr,149.99,19.622958621230012,147.99
2048,tavi_in_tavi,40.02,8.176067563815803,40.02
2049,tavi_in_savr,157.66,19.073605433751222,155.66
2049,tavi_in_tavi,40.63,7.6192936919137315,40.63
2050,tavi_in_savr,160.31,19.185271602576975,158.31
2050,tavi_in_tavi,43.94,8.050120772040904,43.94
