year,tavi_in_savr,tavi_in_tavi,total
2022,16.59,2.36046511627907,18.95046511627907
2023,20.05,3.8958333333333335,23.945833333333333
2024,24.44,5.27,29.71
2025,28.82,7.13,35.95
2026,37.81,8.32,46.13
2027,43.63,11.02,54.650000000000006
2028,53.89,13.29,67.18
2029,59.5,15.09,74.59
2030,67.72,17.28,85.0
2031,74.02,18.51,92.53
2032,79.1,20.54,99.63999999999999
2033,83.12,21.73,104.85000000000001
2034,86.74,23.52,110.25999999999999
2035,89.86,26.08,115.94
2036,94.73,26.0,120.73
2037,97.74,27.21,124.94999999999999
2038,99.32,27.1,126.41999999999999
2039,102.04,27.81,129.85
2040,105.32,29.96,135.28
2041,110.2,31.06,141.26
2042,114.57,32.35,146.92
2043,118.93,33.92,152.85000000000002
2044,124.06,34.9,158.96
2045,128.16,35.89,164.05
2046,134.48,38.66,173.14
2047,141.28,39.1,180.38
2048,147.99,40.02,188.01000000000002
2049,155.66,40.63,196.29
2050,158.31,43.94,202.25
