,2022,2023,2024,2025,2030,2040,2050
0-14,595,571,549,526,416,388,375
15-24,539,525,511,493,467,313,268
25-49,1860,1846,1830,1817,1708,1495,1134
50-64,1275,1285,1292,1282,1242,1094,1043
≥65,898,944,994,1051,1298,1715,1891
≥70,592,616,643,683,894,1297,1517
≥75,375,393,411,430,541,898,1153
≥85,92,98,106,114,152,245,428
Sex ratio (number of men per 100 women),,,,,,,
≥65,77.6,78.4,79,79.6,82.4,84.9,85.9
≥70,70.5,71.1,71.8,72.7,76.8,80.8,82.3
≥75,61.8,62.9,63.8,64.7,68.9,75.7,77.9
≥85,39.8,40.6,41.6,42.5,47.3,56.9,62.7
