sex,age_band,year,count
Men,60-64,2015,1
Men,65-69,2015,2
Men,70-74,2015,4
Men,75-79,2015,15
Men,>=80,2015,13
Women,65-69,2015,3
Women,70-74,2015,5
Women,75-79,2015,5
Women,>=80,2015,13
Men,55-59,2016,3
Men,60-64,2016,3
Men,65-69,2016,3
Men,70-74,2016,24
Men,75-79,2016,40
Men,>=80,2016,52
Women,60-64,2016,1
Women,65-69,2016,2
Women,70-74,2016,13
Women,75-79,2016,47
Women,>=80,2016,72
Men,60-64,2017,3
Men,65-69,2017,7
Men,70-74,2017,22
Men,75-79,2017,63
Men,>=80,2017,68
Women,60-64,2017,2
Women,65-69,2017,7
Women,70-74,2017,23
Women,75-79,2017,72
Women,>=80,2017,92
Men,50-54,2018,2
Men,55-59,2018,2
Men,60-64,2018,2
Men,65-69,2018,12
Men,70-74,2018,31
Men,75-79,2018,89
Men,>=80,2018,133
Women,45-49,2018,2
Women,60-64,2018,2
Women,65-69,2018,6
Women,70-74,2018,18
Women,75-79,2018,78
Women,>=80,2018,165
Men,55-59,2019,1
Men,60-64,2019,5
Men,65-69,2019,10
Men,70-74,2019,45
Men,75-79,2019,89
Men,>=80,2019,197
Women,50-54,2019,1
Women,60-64,2019,2
Women,65-69,2019,8
Women,70-74,2019,30
Women,75-79,2019,87
Women,>=80,2019,249
Men,55-59,2020,2
Men,60-64,2020,4
Men,65-69,2020,9
Men,70-74,2020,25
Men,75-79,2020,97
Men,>=80,2020,214
Women,50-54,2020,1
Women,55-59,2020,1
Women,60-64,2020,2
Women,65-69,2020,10
Women,70-74,2020,35
Women,75-79,2020,102
Women,>=80,2020,261
Men,50-54,2021,1
Men,55-59,2021,1
Men,60-64,2021,10
Men,65-69,2021,14
Men,70-74,2021,58
Men,75-79,2021,114
Men,>=80,2021,269
Women,55-59,2021,3
Women,60-64,2021,3
Women,65-69,2021,14
Women,70-74,2021,56
Women,75-79,2021,143
Women,>=80,2021,398
Men,55-59,2022,2
Men,60-64,2022,3
Men,65-69,2022,18
Men,70-74,2022,48
Men,75-79,2022,101
Men,>=80,2022,297
Women,60-64,2022,1
Women,65-69,2022,5
Women,70-74,2022,40
Women,75-79,2022,117
Women,>=80,2022,489
Men,55-59,2023,2
Men,60-64,2023,10
Men,65-69,2023,21
Men,70-74,2023,61
Men,75-79,2023,175
Men,>=80,2023,722
Women,55-59,2023,1
Women,60-64,2023,1
Women,65-69,2023,12
Women,70-74,2023,60
Women,75-79,2023,187
Women,>=80,2023,1031
Men,50-54,2024,1
Men,60-64,2024,6
Men,65-69,2024,8
Men,70-74,2024,48
Men,75-79,2024,125
Men,>=80,2024,576
Women,50-54,2024,1
Women,55-59,2024,2
Women,60-64,2024,4
Women,65-69,2024,7
Women,70-74,2024,39
Women,75-79,2024,142
Women,>=80,2024,903
