Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8343,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2000,1 515,1 606,1 453,1 821,1 852,2 087,2 033,2 078,1 943,1 401,1 135,998,934,757,554,379,203,89,33,8,1
8344,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2001,1 472,1 616,1 465,1 710,1 889,2 011,2 071,2 037,2 006,1 512,1 165,989,953,794,580,395,215,95,35,9,1
8345,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2002,1 413,1 607,1 500,1 611,1 923,1 930,2 114,2 003,2 062,1 603,1 197,997,981,825,612,413,229,103,37,10,1
8346,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2003,1 343,1 584,1 541,1 536,1 929,1 865,2 132,1 983,2 089,1 704,1 231,1 027,993,856,643,431,248,106,40,10,1
8347,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2004,1 272,1 554,1 577,1 492,1 893,1 831,2 115,1 994,2 079,1 816,1 279,1 069,986,886,675,453,268,107,43,11,2
8348,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2005,1 191,1 522,1 604,1 479,1 814,1 835,2 069,2 029,2 045,1 898,1 370,1 112,974,907,712,478,286,114,45,12,2
8349,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2006,1 119,1 477,1 617,1 481,1 723,1 862,2 002,2 066,2 016,1 961,1 477,1 144,971,927,750,507,303,128,46,13,2
8350,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2007,1 083,1 406,1 615,1 498,1 639,1 875,1 940,2 091,2 002,2 006,1 571,1 175,986,948,783,541,320,145,48,14,2
8351,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2008,1 067,1 325,1 600,1 529,1 568,1 862,1 897,2 091,2 006,2 022,1 670,1 217,1 018,956,814,577,338,163,50,15,2
8352,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2009,1 064,1 247,1 572,1 565,1 513,1 827,1 869,2 070,2 024,2 016,1 772,1 273,1 054,955,844,612,361,181,54,15,2
8353,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2010,1 076,1 176,1 529,1 599,1 476,1 779,1 851,2 042,2 045,2 009,1 854,1 352,1 086,961,868,648,388,196,61,16,3
8354,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2011,1 090,1 123,1 470,1 623,1 474,1 727,1 849,2 012,2 076,2 015,1 935,1 455,1 124,975,888,680,417,210,70,17,3
8355,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2012,1 098,1 094,1 402,1 625,1 509,1 661,1 870,1 976,2 116,2 027,2 014,1 576,1 173,990,915,711,447,224,80,18,3
8356,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2013,1 102,1 085,1 331,1 605,1 558,1 592,1 900,1 928,2 143,2 053,2 077,1 700,1 226,1 011,945,743,477,240,91,19,4
8357,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2014,1 103,1 084,1 266,1 571,1 603,1 546,1 901,1 890,2 150,2 102,2 113,1 825,1 291,1 047,965,775,508,259,103,21,4
8358,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2015,1 100,1 092,1 196,1 535,1 634,1 536,1 850,1 894,2 128,2 156,2 111,1 945,1 395,1 095,973,803,541,281,112,24,4
8359,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2016,1 075,1 110,1 131,1 498,1 650,1 550,1 768,1 929,2 064,2 206,2 073,2 055,1 522,1 140,966,832,573,306,122,28,4
8360,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2017,1 026,1 120,1 103,1 439,1 652,1 580,1 680,1 962,1 995,2 233,2 047,2 125,1 627,1 184,959,877,602,331,132,33,5
8361,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2018,972,1 115,1 098,1 368,1 642,1 620,1 607,1 976,1 936,2 223,2 073,2 155,1 728,1 226,977,913,633,356,142,38,5
8362,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2019,919,1 110,1 092,1 297,1 625,1 659,1 569,1 946,1 895,2 194,2 126,2 151,1 837,1 279,1 016,921,665,382,155,43,6
8363,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2020,851,1 105,1 097,1 220,1 611,1 692,1 559,1 868,1 901,2 146,2 170,2 114,1 940,1 377,1 062,916,692,410,170,47,6
8364,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2021,775,1 086,1 114,1 148,1 575,1 708,1 569,1 776,1 933,2 070,2 209,2 061,2 040,1 499,1 105,905,721,436,185,51,7
8365,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2022,712,1 041,1 122,1 117,1 501,1 702,1 599,1 686,1 964,1 997,2 232,2 034,2 107,1 601,1 146,898,764,457,199,53,8
8366,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2023,661,984,1 118,1 118,1 420,1 687,1 639,1 612,1 977,1 937,2 219,2 059,2 133,1 698,1 185,913,798,482,213,56,8
8629,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2024,624,924,1 113,1 115,1 355,1 664,1 671,1 570,1 944,1 894,2 188,2 112,2 128,1 803,1 234,947,805,511,231,63,9
8630,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2025,608,853,1 108,1 119,1 295,1 636,1 692,1 556,1 863,1 897,2 138,2 154,2 089,1 902,1 328,987,799,535,251,70,11
8631,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2026,603,779,1 088,1 136,1 244,1 597,1 699,1 563,1 769,1 928,2 063,2 194,2 038,1 999,1 444,1 024,786,559,270,79,12
8632,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2027,603,719,1 046,1 147,1 232,1 532,1 689,1 589,1 678,1 957,1 990,2 219,2 013,2 064,1 542,1 064,781,595,287,87,14
