"Region, subregion, country or area *",Gender,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Singapore,Female,2015,114,111,117,195,263,264,244,218,201,179,172,157,128,100,61,49,33,20,9,3,1
Singapore,Female,2016,116,110,115,195,266,272,244,221,201,180,173,159,133,107,62,52,34,21,9,3,1
Singapore,Female,2017,116,110,114,194,267,278,244,223,201,182,173,161,139,112,69,55,35,22,9,3,1
Singapore,Female,2018,116,109,114,192,266,280,246,224,199,184,171,162,143,116,77,56,37,23,10,3,1
Singapore,Female,2019,115,108,114,188,262,277,248,223,198,185,169,163,147,120,85,56,39,24,11,3,1
Singapore,Female,2020,113,108,113,181,253,270,247,218,195,183,166,162,149,123,94,55,42,25,12,3,1
Singapore,Female,2021,111,107,111,175,244,261,245,212,192,180,163,160,149,127,100,56,44,26,13,4,1
Singapore,Female,2022,111,109,111,178,246,265,254,215,196,181,166,161,151,133,104,62,46,26,13,4,1
Singapore,Female,2023,112,110,110,174,248,271,263,224,203,183,171,161,154,138,109,70,47,28,14,4,1
Singapore,Female,2024,114,111,108,159,241,270,268,233,208,186,175,161,156,142,113,78,47,30,15,5,1
Singapore,Female,2025,115,112,108,144,232,269,270,241,212,189,178,161,158,144,118,86,47,32,15,5,1
Singapore,Female,2026,117,112,109,131,221,266,271,250,215,194,180,163,159,147,124,93,48,34,16,5,1
Singapore,Female,2027,120,113,110,121,208,263,272,258,218,198,182,166,160,148,129,97,54,36,16,6,1
Singapore,Female,2028,122,114,111,115,193,258,271,263,224,203,183,170,159,151,133,101,61,36,17,6,1
Singapore,Female,2029,123,115,112,112,178,251,269,266,232,207,185,174,159,153,137,105,68,36,18,6,1
Singapore,Female,2030,124,116,113,112,163,241,267,268,240,211,188,177,159,154,139,110,75,36,20,7,1
Singapore,Female,2031,125,118,113,113,150,229,264,269,248,213,192,179,161,156,141,115,81,37,21,7,2
Singapore,Female,2032,124,121,113,114,140,216,260,269,256,216,197,180,164,156,143,120,85,42,22,7,2
Singapore,Female,2033,124,123,114,115,134,202,255,268,261,222,202,181,168,156,146,124,88,47,23,7,2
Singapore,Female,2034,122,124,116,116,131,186,248,266,264,230,206,183,172,156,148,128,92,53,23,8,2
Singapore,Female,2035,121,125,117,117,131,171,238,264,266,238,209,186,175,156,149,130,97,59,23,9,2
Singapore,Female,2036,118,125,119,117,133,158,226,261,267,247,212,191,176,158,151,133,102,64,24,10,2
Singapore,Female,2037,115,125,121,117,133,148,213,257,267,255,215,195,178,161,151,135,106,67,27,10,2
Singapore,Female,2038,112,124,123,118,134,141,198,252,266,259,221,200,179,165,151,137,110,70,31,10,2
Singapore,Female,2039,108,123,125,119,135,139,182,244,264,262,229,204,181,169,151,139,113,73,35,10,3
Singapore,Female,2040,104,121,126,121,135,138,167,235,261,264,237,208,184,171,151,141,116,77,39,10,3
Singapore,Female,2041,100,119,126,123,136,139,154,222,259,265,245,210,188,173,153,142,118,81,42,11,3
Singapore,Female,2042,96,116,126,125,136,140,143,209,255,265,253,213,193,175,156,143,120,85,44,13,3
Singapore,Female,2043,92,112,125,127,137,140,137,194,249,264,258,219,198,176,160,143,122,88,46,15,3
Singapore,Female,2044,88,109,123,128,138,141,134,178,242,262,260,227,202,178,164,143,124,91,49,17,3
Singapore,Female,2045,85,104,122,129,139,142,134,163,232,259,262,235,205,181,167,143,126,93,51,19,3
Singapore,Female,2046,83,100,119,130,141,142,135,150,220,257,263,243,208,185,168,145,127,95,54,20,4
Singapore,Female,2047,81,96,116,129,143,142,135,139,206,253,263,251,211,190,170,148,128,97,57,21,4
Singapore,Female,2048,79,92,113,129,146,143,136,133,192,247,262,256,216,194,171,152,128,99,59,22,5
Singapore,Female,2049,79,89,109,127,147,145,137,130,176,240,260,258,224,198,173,156,128,101,61,24,6
Singapore,Female,2050,78,86,105,125,148,146,138,130,161,230,258,260,232,202,176,158,129,103,63,25,6
Singapore,Female,2051,78,83,101,123,149,148,138,131,148,218,255,261,241,205,181,160,131,104,65,27,7
Singapore,Female,2052,78,82,97,120,149,151,139,132,137,205,251,262,248,208,185,162,134,105,66,28,7
Singapore,Female,2053,79,80,93,117,148,154,140,133,131,191,246,261,253,213,190,163,138,106,68,30,8
Singapore,Female,2054,80,79,89,113,147,156,142,134,129,175,239,258,256,221,194,165,141,106,70,31,8
Singapore,Female,2055,80,79,87,109,145,156,144,135,129,160,229,256,258,229,197,168,144,107,71,32,9
Singapore,Female,2056,81,79,84,105,142,157,146,136,130,147,217,254,259,238,200,173,146,109,72,33,9
Singapore,Female,2057,82,79,82,101,139,157,149,136,131,137,204,250,259,245,203,177,147,111,73,34,10
Singapore,Female,2058,84,80,81,97,136,156,151,138,131,130,190,245,258,250,209,182,149,115,74,35,11
Singapore,Female,2059,85,80,80,93,132,155,153,139,133,128,174,237,256,253,217,186,151,118,74,36,11
Singapore,Female,2060,85,81,80,90,128,152,153,141,133,128,159,228,254,255,225,189,154,121,75,37,12
Singapore,Female,2061,86,82,80,88,123,149,154,143,134,129,146,216,252,256,233,192,158,123,77,38,12
Singapore,Female,2062,87,83,80,86,119,146,153,145,134,130,136,203,248,256,240,195,163,124,80,38,13
Singapore,Female,2063,87,84,80,85,115,143,152,148,136,130,129,188,243,255,245,201,167,126,82,39,13
Singapore,Female,2064,87,85,81,84,112,139,151,149,137,131,127,173,236,253,248,208,171,128,85,39,14
Singapore,Female,2065,87,86,82,83,108,134,149,150,139,132,127,158,226,251,250,216,175,131,87,40,14
Singapore,Female,2066,87,87,83,83,105,130,146,150,141,133,128,145,214,249,251,224,177,135,89,41,15
Singapore,Female,2067,86,87,84,83,103,125,142,150,143,133,129,135,201,245,251,231,180,139,90,43,15
Singapore,Female,2068,85,88,85,84,102,121,139,149,146,134,129,129,187,240,251,236,186,143,92,45,16
Singapore,Female,2069,84,88,86,84,101,118,135,147,147,136,130,126,172,233,249,239,193,147,94,47,16
Singapore,Female,2070,83,88,87,85,101,115,131,145,148,138,131,126,157,224,247,241,201,150,97,48,16
Singapore,Female,2071,82,88,87,86,101,113,127,143,149,140,132,127,144,212,245,242,208,153,100,49,17
Singapore,Female,2072,80,87,88,87,101,111,123,140,148,143,133,128,134,199,241,243,215,156,103,50,18
Singapore,Female,2073,79,86,88,88,102,110,119,136,147,145,134,129,128,185,236,242,220,161,107,51,19
Singapore,Female,2074,77,85,89,89,102,109,116,132,146,146,135,130,125,170,229,241,223,168,110,53,20
Singapore,Female,2075,76,84,88,90,103,108,112,128,144,147,137,131,125,156,220,239,225,175,113,55,20
Singapore,Female,2076,74,82,88,91,103,108,110,124,141,148,139,131,126,143,209,237,227,182,115,57,21
Singapore,Female,2077,73,81,87,91,104,108,108,120,138,147,142,132,127,133,196,234,228,188,118,59,22
Singapore,Female,2078,72,79,87,92,105,108,107,116,135,146,144,133,128,127,182,229,227,192,122,62,22
Singapore,Female,2079,71,78,86,92,106,108,105,112,131,145,146,135,129,124,168,223,226,195,128,64,23
Singapore,Female,2080,70,76,84,92,106,108,105,109,126,143,146,136,130,124,153,214,225,198,134,66,24
Singapore,Female,2081,69,75,83,91,107,109,104,107,122,140,147,138,131,125,141,203,223,199,140,67,25
Singapore,Female,2082,68,73,81,91,107,109,104,104,118,137,146,141,131,126,131,191,220,201,145,69,27
Singapore,Female,2083,68,72,80,90,107,110,104,103,114,133,145,143,132,127,125,177,216,201,149,72,28
Singapore,Female,2084,67,71,78,88,107,110,104,102,110,129,144,145,134,128,123,163,210,200,151,77,29
Singapore,Female,2085,67,70,77,87,107,111,104,101,107,125,142,146,135,129,123,149,202,199,154,80,30
Singapore,Female,2086,67,69,75,86,106,111,104,100,104,121,139,146,138,130,124,137,192,198,155,84,31
Singapore,Female,2087,67,69,74,84,105,112,105,100,102,116,136,146,140,130,125,128,180,196,157,88,33
Singapore,Female,2088,68,68,72,83,104,112,106,100,101,112,132,145,142,131,126,122,168,192,157,90,34
Singapore,Female,2089,68,68,71,81,103,111,106,100,100,109,128,143,144,133,127,120,155,187,157,92,37
Singapore,Female,2090,68,68,70,79,101,111,107,101,99,106,124,141,145,134,127,120,141,180,157,94,39
Singapore,Female,2091,68,68,70,78,100,110,107,101,98,103,120,138,145,137,128,121,130,172,157,96,41
Singapore,Female,2092,68,68,69,77,98,110,108,102,98,101,116,135,145,139,129,122,121,162,155,97,43
Singapore,Female,2093,69,68,69,75,97,109,108,103,98,100,112,132,144,142,130,123,116,151,153,98,44
Singapore,Female,2094,69,68,68,74,95,108,108,103,99,99,108,128,142,143,131,124,114,139,149,98,46
Singapore,Female,2095,69,68,68,73,93,106,108,104,99,98,105,124,140,144,133,125,114,127,144,99,48
Singapore,Female,2096,69,69,68,72,91,104,107,104,99,97,103,119,138,144,135,125,116,117,138,99,49
Singapore,Female,2097,69,69,68,72,90,102,106,105,100,97,101,115,135,144,138,126,117,110,130,99,50
Singapore,Female,2098,69,69,68,71,88,101,105,105,101,97,99,111,131,143,140,127,118,105,122,97,51
Singapore,Female,2099,68,69,68,71,87,99,104,105,101,97,98,108,127,142,142,129,119,104,112,95,52
Singapore,Female,2100,68,69,69,71,86,97,102,105,102,98,97,105,123,140,143,131,120,104,103,92,53
