Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8343,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2000,1 718,1 869,1 652,2 021,2 116,2 223,2 167,2 215,2 082,1 499,1 199,986,850,592,351,214,94,32,7,1,0
8344,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2001,1 661,1 876,1 676,1 903,2 169,2 141,2 203,2 172,2 143,1 612,1 227,988,872,639,371,222,102,35,8,1,0
8345,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2002,1 585,1 856,1 722,1 813,2 181,2 066,2 241,2 133,2 195,1 707,1 259,1 003,904,679,399,232,110,37,8,1,0
8346,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2003,1 503,1 815,1 777,1 745,2 166,2 012,2 256,2 105,2 218,1 810,1 292,1 041,921,716,432,242,121,39,10,1,0
8347,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2004,1 421,1 764,1 820,1 703,2 122,1 985,2 238,2 108,2 207,1 920,1 340,1 090,920,749,469,255,131,42,11,1,0
8348,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2005,1 328,1 713,1 851,1 683,2 055,1 988,2 191,2 137,2 173,1 998,1 431,1 137,917,772,512,272,138,45,11,1,0
8349,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2006,1 243,1 654,1 866,1 692,1 968,2 015,2 125,2 173,2 141,2 064,1 538,1 169,923,795,554,291,144,50,11,2,0
8350,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2007,1 193,1 574,1 856,1 733,1 873,2 036,2 064,2 201,2 119,2 111,1 634,1 200,947,821,590,316,152,55,12,2,0
8351,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2008,1 171,1 482,1 826,1 786,1 801,2 030,2 023,2 204,2 115,2 126,1 734,1 242,987,835,623,346,161,61,13,2,0
8352,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2009,1 167,1 391,1 783,1 833,1 756,2 000,1 998,2 184,2 130,2 121,1 837,1 298,1 029,840,655,377,172,67,14,2,0
8353,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2010,1 181,1 309,1 722,1 868,1 737,1 956,1 982,2 157,2 150,2 113,1 919,1 375,1 066,853,682,410,186,72,16,2,0
8354,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2011,1 189,1 243,1 644,1 881,1 741,1 911,1 982,2 127,2 174,2 115,1 996,1 472,1 104,873,703,441,203,76,18,2,0
8355,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2012,1 184,1 201,1 555,1 864,1 768,1 855,2 009,2 089,2 209,2 118,2 068,1 585,1 149,893,727,469,222,82,20,2,0
8356,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2013,1 177,1 179,1 468,1 819,1 810,1 790,2 044,2 042,2 237,2 126,2 123,1 704,1 194,920,755,496,243,88,23,3,0
8357,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2014,1 170,1 167,1 387,1 754,1 852,1 744,2 052,2 005,2 247,2 158,2 156,1 822,1 250,961,775,523,265,96,26,3,0
8358,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2015,1 161,1 167,1 300,1 690,1 880,1 731,2 008,2 011,2 226,2 203,2 155,1 931,1 341,1 009,788,547,289,106,28,4,0
8359,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2016,1 132,1 180,1 223,1 635,1 892,1 746,1 927,2 049,2 161,2 249,2 126,2 033,1 460,1 050,793,577,312,118,30,4,0
8360,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2017,1 079,1 188,1 187,1 569,1 882,1 788,1 837,2 086,2 085,2 284,2 097,2 105,1 567,1 093,801,622,335,132,34,5,0
8361,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2018,1 023,1 181,1 176,1 489,1 852,1 845,1 767,2 103,2 023,2 287,2 103,2 143,1 672,1 134,831,659,359,146,37,6,0
8362,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2019,967,1 172,1 165,1 406,1 813,1 900,1 736,2 075,1 983,2 263,2 144,2 147,1 781,1 184,878,674,385,161,41,7,0
8363,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2020,897,1 164,1 168,1 317,1 771,1 937,1 732,1 999,1 989,2 216,2 187,2 121,1 881,1 276,927,681,410,176,46,7,0
8364,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2021,818,1 142,1 184,1 236,1 709,1 948,1 748,1 908,2 027,2 140,2 227,2 083,1 978,1 392,968,685,436,190,50,7,0
8365,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2022,751,1 094,1 190,1 199,1 629,1 940,1 798,1 822,2 065,2 063,2 259,2 056,2 047,1 493,1 007,695,472,201,53,7,0
8366,Estimates,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2023,698,1 034,1 183,1 194,1 553,1 917,1 869,1 760,2 084,2 002,2 260,2 063,2 081,1 590,1 042,723,503,214,57,7,0
8629,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2024,659,972,1 175,1 187,1 484,1 872,1 925,1 732,2 057,1 964,2 236,2 104,2 084,1 691,1 087,763,517,234,65,8,0
8630,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2025,641,897,1 166,1 190,1 411,1 814,1 956,1 733,1 984,1 971,2 189,2 146,2 056,1 784,1 171,803,524,254,74,10,1
8631,Medium,Republic of Korea,,410,KOR,KR,410,Country/Area,906,2026,635,818,1 142,1 205,1 345,1 752,1 965,1 754,1 898,2 008,2 113,2 185,2 020,1 875,1 276,835,529,276,83,12,1
