year,age,sex,population
2022,0,Men,150200
2022,1,Men,150200
2022,2,Men,150200
2022,3,Men,150200
2022,4,Men,150200
2022,5,Men,218800
2022,6,Men,218800
2022,7,Men,218800
2022,8,Men,218800
2022,9,Men,218800
2022,10,Men,238000
2022,11,Men,238000
2022,12,Men,238000
2022,13,Men,238000
2022,14,Men,238000
2022,15,Men,239800
2022,16,Men,239800
2022,17,Men,239800
2022,18,Men,239800
2022,19,Men,239800
2022,20,Men,325800
2022,21,Men,325800
2022,22,Men,325800
2022,23,Men,325800
2022,24,Men,325800
2022,25,Men,388000
2022,26,Men,388000
2022,27,Men,388000
2022,28,Men,388000
2022,29,Men,388000
2022,30,Men,359600
2022,31,Men,359600
2022,32,Men,359600
2022,33,Men,359600
2022,34,Men,359600
2022,35,Men,364400
2022,36,Men,364400
2022,37,Men,364400
2022,38,Men,364400
2022,39,Men,364400
2022,40,Men,413000
2022,41,Men,413000
2022,42,Men,413000
2022,43,Men,413000
2022,44,Men,413000
2022,45,Men,412600
2022,46,Men,412600
2022,47,Men,412600
2022,48,Men,412600
2022,49,Men,412600
2022,50,Men,451800
2022,51,Men,451800
2022,52,Men,451800
2022,53,Men,451800
2022,54,Men,451800
2022,55,Men,411200
2022,56,Men,411200
2022,57,Men,411200
2022,58,Men,411200
2022,59,Men,411200
2022,60,Men,409400
2022,61,Men,409400
2022,62,Men,409400
2022,63,Men,409400
2022,64,Men,409400
2022,65,Men,298600
2022,66,Men,298600
2022,67,Men,298600
2022,68,Men,298600
2022,69,Men,298600
2022,70,Men,201400
2022,71,Men,201400
2022,72,Men,201400
2022,73,Men,201400
2022,74,Men,201400
2022,75,Men,139000
2022,76,Men,139000
2022,77,Men,139000
2022,78,Men,139000
2022,79,Men,139000
2022,80,Men,94400
2022,81,Men,94400
2022,82,Men,94400
2022,83,Men,94400
2022,84,Men,94400
2022,85,Men,40200
2022,86,Men,40200
2022,87,Men,40200
2022,88,Men,40200
2022,89,Men,40200
2022,90,Men,10600
2022,91,Men,10600
2022,92,Men,10600
2022,93,Men,10600
2022,94,Men,10600
2022,95,Men,1400
2022,96,Men,1400
2022,97,Men,1400
2022,98,Men,1400
2022,99,Men,1400
2023,0,Men,139600
2023,1,Men,139600
2023,2,Men,139600
2023,3,Men,139600
2023,4,Men,139600
2023,5,Men,206800
2023,6,Men,206800
2023,7,Men,206800
2023,8,Men,206800
2023,9,Men,206800
2023,10,Men,236600
2023,11,Men,236600
