procedure,year,sex,age_band,count,population,risk
redo_savr,2023,Men,25-29,1,1917000,5.216484089723526e-07
redo_savr,2023,Men,30-34,3,1869000,1.6051364365971107e-06
redo_savr,2023,Men,35-39,5,1760000,2.8409090909090907e-06
redo_savr,2023,Men,40-44,3,2084000,1.4395393474088292e-06
redo_savr,2023,Men,45-49,2,2002000,9.99000999000999e-07
redo_savr,2023,Men,50-54,15,2260000,6.637168141592921e-06
redo_savr,2023,Men,55-59,13,2063000,6.301502666020358e-06
redo_savr,2023,Men,60-64,20,2081000,9.610764055742431e-06
redo_savr,2023,Men,65-69,21,1590000,1.320754716981132e-05
redo_savr,2023,Men,70-74,21,1042000,2.015355086372361e-05
redo_savr,2023,Men,75-79,18,723000,2.4896265560165977e-05
redo_savr,2023,Men,>=80,6,781000,7.682458386683739e-06
savr,2023,Men,10-14,2,1183000,1.6906170752324599e-06
savr,2023,Men,15-19,7,1194000,5.862646566164154e-06
savr,2023,Men,20-24,6,1553000,3.86349001931745e-06
savr,2023,Men,25-29,14,1917000,7.303077725612937e-06
savr,2023,Men,30-34,12,1869000,6.420545746388443e-06
savr,2023,Men,35-39,28,1760000,1.590909090909091e-05
savr,2023,Men,40-44,36,2084000,1.727447216890595e-05
savr,2023,Men,45-49,55,2002000,2.7472527472527473e-05
savr,2023,Men,5-9,3,1034000,2.9013539651837524e-06
savr,2023,Men,50-54,128,2260000,5.663716814159292e-05
savr,2023,Men,55-59,160,2063000,7.755695588948134e-05
savr,2023,Men,60-64,258,2081000,0.00012397885631907737
savr,2023,Men,65-69,318,1590000,0.0002
savr,2023,Men,70-74,304,1042000,0.000291746641074856
savr,2023,Men,75-79,195,723000,0.00026970954356846474
savr,2023,Men,>=80,60,781000,7.682458386683739e-05
tavi,2023,Men,55-59,2,2063000,9.694619486185168e-07
tavi,2023,Men,60-64,10,2081000,4.805382027871216e-06
tavi,2023,Men,65-69,21,1590000,1.320754716981132e-05
tavi,2023,Men,70-74,61,1042000,5.854126679462572e-05
tavi,2023,Men,75-79,175,723000,0.00024204702627939143
tavi,2023,Men,>=80,722,781000,0.0009244558258642766
redo_savr,2023,Women,20-24,2,1420000,1.4084507042253521e-06
