year,viv_type,mean,sd
2025,tavi_in_savr,675.89,23.2139347736821
2025,tavi_in_tavi,136.62,10.363864962922712
2026,tavi_in_savr,672.88,28.730120048127148
2026,tavi_in_tavi,135.94,10.667443153555752
2027,tavi_in_savr,647.84,21.983336205113876
2027,tavi_in_tavi,117.19,11.173286142953788
2028,tavi_in_savr,607.79,25.077775987611997
2028,tavi_in_tavi,90.41,9.769148510810068
2029,tavi_in_savr,550.53,20.798919455227725
2029,tavi_in_tavi,70.98,7.722432233173664
2030,tavi_in_savr,482.73,21.919436972051017
2030,tavi_in_tavi,62.64,7.712668314225145
2031,tavi_in_savr,401.87,18.930310791602626
2031,tavi_in_tavi,56.57,7.470149350122211
2032,tavi_in_savr,319.78,16.408657483293403
2032,tavi_in_tavi,48.18,5.723211643400192
2033,tavi_in_savr,239.68,14.809142685203183
2033,tavi_in_tavi,39.08,6.076415743086404
2034,tavi_in_savr,168.17,12.648355983720139
2034,tavi_in_tavi,27.23,4.921310082619559
2035,tavi_in_savr,110.93,9.867050565832063
2035,tavi_in_tavi,16.36,4.0314921918477395
