year,viv_type,mean,sd
2025,tavi_in_savr,498.81,17.92109247661971
2025,tavi_in_tavi,32.1,2.9422042173455014
2026,tavi_in_savr,526.81,17.511147964376942
2026,tavi_in_tavi,37.38,3.259113097426689
2027,tavi_in_savr,544.52,17.640334864775507
2027,tavi_in_tavi,36.75,3.4388599238348716
2028,tavi_in_savr,545.9,18.870371196426127
2028,tavi_in_tavi,31.61,3.1395007001854043
2029,tavi_in_savr,531.94,17.35186654879736
2029,tavi_in_tavi,26.2,3.3484505688633375
2030,tavi_in_savr,502.94,20.367740387309752
2030,tavi_in_tavi,23.13,2.7141790060288353
2031,tavi_in_savr,463.73,19.65554641953524
2031,tavi_in_tavi,20.41,3.372781725172349
2032,tavi_in_savr,413.88,16.13220632176767
2032,tavi_in_tavi,16.37,3.0106041542749136
2033,tavi_in_savr,361.25,14.769867633089671
2033,tavi_in_tavi,13.01,2.8266230699896977
2034,tavi_in_savr,308.35,15.860104958446186
2034,tavi_in_tavi,9.73,2.6241112011421306
2035,tavi_in_savr,249.69,13.348245448959064
2035,tavi_in_tavi,7.15,2.0761999086326104
