year,age,sex,population
2025,50,Men,427418
2025,51,Men,427419
2025,52,Men,427419
2025,53,Men,427419
2025,54,Men,427419
2025,55,Men,427290
2025,56,Men,427290
2025,57,Men,427291
2025,58,Men,427291
2025,59,Men,427291
2025,60,Men,427290
2025,61,Men,427290
2025,62,Men,427291
2025,63,Men,427291
2025,64,Men,427291
2025,65,Men,326200
2025,66,Men,326200
2025,67,Men,326200
2025,68,Men,326201
2025,69,Men,326201
2025,70,Men,213006
2025,71,Men,213006
2025,72,Men,213006
2025,73,Men,213007
2025,74,Men,213007
2025,75,Men,124136
2025,76,Men,124136
2025,77,Men,124136
2025,78,Men,124136
2025,79,Men,124136
2025,80,Men,124136
2025,81,Men,124136
2025,82,Men,124136
2025,83,Men,124136
2025,84,Men,124136
2025,85,Men,17000
2025,86,Men,17000
2025,87,Men,17000
2025,88,Men,17000
2025,89,Men,17000
2025,90,Men,17000
2025,91,Men,17000
2025,92,Men,17000
2025,93,Men,17000
2025,94,Men,17000
2025,95,Men,17000
2025,96,Men,17000
2025,97,Men,17000
2025,98,Men,17000
2025,99,Men,17000
2025,100,Men,17000
2025,101,Men,17000
2025,102,Men,17000
2025,103,Men,17000
2025,104,Men,17000
2025,50,Women,427418
2025,51,Women,427419
2025,52,Women,427419
2025,53,Women,427419
2025,54,Women,427419
2025,55,Women,427290
2025,56,Women,427290
2025,57,Women,427291
2025,58,Women,427291
2025,59,Women,427291
2025,60,Women,427290
2025,61,Women,427290
2025,62,Women,427291
2025,63,Women,427291
2025,64,Women,427291
2025,65,Women,409799
2025,66,Women,409799
2025,67,Women,409800
2025,68,Women,409800
2025,69,Women,409800
2025,70,Women,292993
2025,71,Women,292993
2025,72,Women,292994
2025,73,Women,292994
2025,74,Women,292994
2025,75,Women,191864
2025,76,Women,191864
2025,77,Women,191864
2025,78,Women,191864
2025,79,Women,191864
2025,80,Women,191864
2025,81,Women,191864
2025,82,Women,191864
2025,83,Women,191864
2025,84,Women,191864
2025,85,Women,40000
2025,86,Women,40000
2025,87,Women,40000
2025,88,Women,40000
2025,89,Women,40000
2025,90,Women,40000
2025,91,Women,40000
2025,92,Women,40000
2025,93,Women,40000
2025,94,Women,40000
2025,95,Women,40000
2025,96,Women,40000
2025,97,Women,40000
2025,98,Women,40000
2025,99,Women,40000
2025,100,Women,40000
2025,101,Women,40000
2025,102,Women,40000
2025,103,Women,40000
2025,104,Women,40000
2026,50,Men,424751
2026,51,Men,424751
2026,52,Men,424752
2026,53,Men,424752
2026,54,Men,424752
2026,55,Men,424624
2026,56,Men,424624
2026,57,Men,424624
2026,58,Men,424624
2026,59,Men,424625
2026,60,Men,424624
2026,61,Men,424624
2026,62,Men,424624
2026,63,Men,424624
2026,64,Men,424625
2026,65,Men,333881
2026,66,Men,333881
2026,67,Men,333881
2026,68,Men,333882
2026,69,Men,333882
2026,70,Men,231338
2026,71,Men,231339
2026,72,Men,231339
2026,73,Men,231339
2026,74,Men,231339
2026,75,Men,130890
2026,76,Men,130890
2026,77,Men,130890
2026,78,Men,130890
2026,79,Men,130890
2026,80,Men,130890
2026,81,Men,130890
2026,82,Men,130890
2026,83,Men,130890
2026,84,Men,130890
2026,85,Men,18418
2026,86,Men,18419
2026,87,Men,18419
2026,88,Men,18419
2026,89,Men,18419
2026,90,Men,18419
2026,91,Men,18419
2026,92,Men,18419
2026,93,Men,18419
2026,94,Men,18419
2026,95,Men,18419
2026,96,Men,18419
2026,97,Men,18419
2026,98,Men,18419
2026,99,Men,18419
2026,100,Men,18419
2026,101,Men,18418
2026,102,Men,18418
2026,103,Men,18419
2026,104,Men,18419
2026,50,Women,424751
2026,51,Women,424751
2026,52,Women,424752
2026,53,Women,424752
2026,54,Women,424752
2026,55,Women,424624
2026,56,Women,424624
2026,57,Women,424624
2026,58,Women,424624
2026,59,Women,424625
2026,60,Women,424624
2026,61,Women,424624
2026,62,Women,424624
2026,63,Women,424624
2026,64,Women,424625
2026,65,Women,416518
2026,66,Women,416518
2026,67,Women,416519
2026,68,Women,416519
2026,69,Women,416519
2026,70,Women,314661
2026,71,Women,314661
2026,72,Women,314661
2026,73,Women,314661
2026,74,Women,314662
2026,75,Women,199710
2026,76,Women,199710
2026,77,Women,199710
2026,78,Women,199710
2026,79,Women,199710
2026,80,Women,199710
2026,81,Women,199710
2026,82,Women,199710
2026,83,Women,199710
2026,84,Women,199710
2026,85,Women,42381
2026,86,Women,42382
2026,87,Women,42381
2026,88,Women,42381
2026,89,Women,42381
2026,90,Women,42381
2026,91,Women,42381
2026,92,Women,42381
2026,93,Women,42381
2026,94,Women,42381
2026,95,Women,42381
2026,96,Women,42381
2026,97,Women,42381
2026,98,Women,42381
2026,99,Women,42381
2026,100,Women,42381
2026,101,Women,42381
2026,102,Women,42381
2026,103,Women,42382
2026,104,Women,42382
2027,50,Men,422084
2027,51,Men,422084
2027,52,Men,422084
2027,53,Men,422085
2027,54,Men,422085
2027,55,Men,421957
2027,56,Men,421958
2027,57,Men,421958
2027,58,Men,421958
2027,59,Men,421958
2027,60,Men,421957
2027,61,Men,421958
2027,62,Men,421958
2027,63,Men,421958
2027,64,Men,421958
2027,65,Men,341603
2027,66,Men,341604
2027,67,Men,341604
2027,68,Men,341604
2027,69,Men,341604
2027,70,Men,249875
2027,71,Men,249875
2027,72,Men,249875
2027,73,Men,249875
2027,74,Men,249876
2027,75,Men,137723
2027,76,Men,137723
2027,77,Men,137723
2027,78,Men,137723
2027,79,Men,137724
2027,80,Men,137723
2027,81,Men,137723
2027,82,Men,137723
2027,83,Men,137723
2027,84,Men,137724
2027,85,Men,19869
2027,86,Men,19870
2027,87,Men,19870
2027,88,Men,19870
2027,89,Men,19870
2027,90,Men,19870
2027,91,Men,19869
2027,92,Men,19869
2027,93,Men,19869
2027,94,Men,19869
2027,95,Men,19869
2027,96,Men,19869
2027,97,Men,19869
2027,98,Men,19869
2027,99,Men,19869
2027,100,Men,19869
2027,101,Men,19869
2027,102,Men,19869
2027,103,Men,19870
2027,104,Men,19870
2027,50,Women,422084
2027,51,Women,422084
2027,52,Women,422084
2027,53,Women,422085
2027,54,Women,422085
2027,55,Women,421957
2027,56,Women,421958
2027,57,Women,421958
2027,58,Women,421958
2027,59,Women,421958
2027,60,Women,421957
2027,61,Women,421958
2027,62,Women,421958
2027,63,Women,421958
2027,64,Women,421958
2027,65,Women,423196
2027,66,Women,423196
2027,67,Women,423196
2027,68,Women,423196
2027,69,Women,423197
2027,70,Women,336124
2027,71,Women,336125
2027,72,Women,336125
2027,73,Women,336125
2027,74,Women,336125
2027,75,Women,207476
2027,76,Women,207477
2027,77,Women,207477
