year,sex,age_band,population
2022,Men,0-4,881000
2022,Men,10-14,832000
2022,Men,15-19,864000
2022,Men,20-24,960000
2022,Men,25-29,1014000
2022,Men,30-34,981000
2022,Men,35-39,912000
2022,Men,40-44,828000
2022,Men,45-49,915000
2022,Men,5-9,856000
2022,Men,50-54,1098000
2022,Men,55-59,899000
2022,Men,60-64,708000
2022,Men,65-69,478000
2022,Men,70-74,327000
2022,Men,75-79,264000
2022,Men,80-84,138000
2022,Men,≥85,48000
2022,Women,0-4,834000
2022,Women,10-14,792000
2022,Women,15-19,824000
2022,Women,20-24,921000
2022,Women,25-29,977000
2022,Women,30-34,951000
2022,Women,35-39,890000
2022,Women,40-44,814000
2022,Women,45-49,911000
2022,Women,5-9,813000
2022,Women,50-54,1111000
2022,Women,55-59,932000
2022,Women,60-64,759000
2022,Women,65-69,538000
2022,Women,70-74,426000
2022,Women,75-79,408000
2022,Women,80-84,277000
2022,Women,≥85,148000
2023,Men,0-4,879000
2023,Men,10-14,831000
2023,Men,15-19,850000
2023,Men,20-24,941000
2023,Men,25-29,1006000
2023,Men,30-34,992000
2023,Men,35-39,922000
2023,Men,40-44,845000
2023,Men,45-49,857000
2023,Men,5-9,863000
2023,Men,50-54,1088000
2023,Men,55-59,947000
2023,Men,60-64,713000
2023,Men,65-69,544000
2023,Men,70-74,314000
2023,Men,75-79,269000
2023,Men,80-84,143000
2023,Men,≥85,54000
2023,Women,0-4,832000
2023,Women,10-14,790000
2023,Women,15-19,811000
2023,Women,20-24,902000
2023,Women,25-29,969000
2023,Women,30-34,962000
2023,Women,35-39,899000
2023,Women,40-44,830000
2023,Women,45-49,851000
2023,Women,5-9,819000
2023,Women,50-54,1099000
2023,Women,55-59,980000
2023,Women,60-64,763000
2023,Women,65-69,609000
2023,Women,70-74,400000
2023,Women,75-79,406000
2023,Women,80-84,279000
2023,Women,≥85,159000
2024,Men,0-4,876000
2024,Men,10-14,832000
2024,Men,15-19,840000
2024,Men,20-24,919000
2024,Men,25-29,997000
2024,Men,30-34,1002000
2024,Men,35-39,932000
2024,Men,40-44,861000
2024,Men,45-49,823000
