year,tavi_in_savr,tavi_in_tavi,total
2022,15.82,2.3255813953488373,18.145581395348838
2023,19.35,3.4842105263157896,22.83421052631579
2024,24.05,5.36734693877551,29.41734693877551
2025,27.52,6.61,34.13
2026,76.28,20.42,96.7
2027,97.43,48.29,145.72
2028,121.85,97.21,219.06
2029,138.84,150.18,289.02
2030,150.09,204.0,354.09000000000003
2031,155.65,261.54,417.19000000000005
2032,158.87,326.66,485.53000000000003
2033,153.87,398.12,551.99
2034,149.4,469.87,619.27
2035,145.48,554.18,699.66
2036,131.27,600.56,731.8299999999999
2037,124.22,652.87,777.09
2038,115.19,701.09,816.28
2039,106.1,750.07,856.1700000000001
2040,100.95,791.64,892.59
2041,96.77,838.35,935.12
2042,90.71,890.05,980.76
2043,88.38,931.21,1019.59
2044,84.09,975.71,1059.8
2045,83.73,1030.41,1114.14
2046,83.97,1072.78,1156.75
2047,85.06,1116.17,1201.23
2048,83.19,1164.46,1247.65
2049,84.59,1205.11,1289.6999999999998
2050,85.84,1241.74,1327.58
