year,sex,age_band,population
2022,Men,0-4,114000
2022,Men,10-14,120000
2022,Men,15-19,207000
2022,Men,20-24,304000
2022,Men,25-29,320000
2022,Men,30-34,290000
2022,Men,35-39,233000
2022,Men,40-44,206000
2022,Men,45-49,188000
2022,Men,5-9,114000
2022,Men,50-54,171000
2022,Men,55-59,167000
2022,Men,60-64,156000
2022,Men,65-69,127000
2022,Men,70-74,94000
2022,Men,75-79,51000
2022,Men,80-84,33000
2022,Men,≥85,23000
2022,Women,0-4,111000
2022,Women,10-14,111000
2022,Women,15-19,178000
2022,Women,20-24,246000
2022,Women,25-29,265000
2022,Women,30-34,254000
2022,Women,35-39,215000
2022,Women,40-44,196000
2022,Women,45-49,181000
2022,Women,5-9,109000
2022,Women,50-54,166000
2022,Women,55-59,161000
2022,Women,60-64,151000
2022,Women,65-69,133000
2022,Women,70-74,104000
2022,Women,75-79,62000
2022,Women,80-84,46000
2022,Women,≥85,44000
2023,Men,0-4,116000
2023,Men,10-14,118000
2023,Men,15-19,202000
2023,Men,20-24,307000
2023,Men,25-29,330000
2023,Men,30-34,304000
2023,Men,35-39,245000
2023,Men,40-44,214000
2023,Men,45-49,191000
2023,Men,5-9,115000
2023,Men,50-54,176000
2023,Men,55-59,167000
2023,Men,60-64,158000
2023,Men,65-69,132000
2023,Men,70-74,98000
2023,Men,75-79,58000
2023,Men,80-84,34000
2023,Men,≥85,26000
2023,Women,0-4,112000
2023,Women,10-14,110000
2023,Women,15-19,174000
2023,Women,20-24,248000
2023,Women,25-29,271000
2023,Women,30-34,263000
2023,Women,35-39,224000
2023,Women,40-44,203000
2023,Women,45-49,183000
2023,Women,5-9,110000
2023,Women,50-54,171000
2023,Women,55-59,161000
2023,Women,60-64,154000
2023,Women,65-69,138000
2023,Women,70-74,109000
2023,Women,75-79,70000
2023,Women,80-84,47000
2023,Women,≥85,47000
2024,Men,0-4,119000
2024,Men,10-14,115000
2024,Men,15-19,180000
2024,Men,20-24,295000
2024,Men,25-29,332000
2024,Men,30-34,312000
2024,Men,35-39,258000
2024,Men,40-44,220000
2024,Men,45-49,193000
2024,Men,5-9,116000
2024,Men,50-54,181000
2024,Men,55-59,166000
2024,Men,60-64,160000
2024,Men,65-69,137000
2024,Men,70-74,103000
2024,Men,75-79,65000
2024,Men,80-84,34000
2024,Men,≥85,27000
2024,Women,0-4,114000
2024,Women,10-14,108000
2024,Women,15-19,159000
2024,Women,20-24,241000
2024,Women,25-29,270000
2024,Women,30-34,268000
2024,Women,35-39,233000
2024,Women,40-44,208000
2024,Women,45-49,186000
2024,Women,5-9,111000
2024,Women,50-54,175000
2024,Women,55-59,161000
2024,Women,60-64,156000
2024,Women,65-69,142000
2024,Women,70-74,113000
2024,Women,75-79,78000
2024,Women,80-84,47000
2024,Women,≥85,51000
2025,Men,0-4,121000
2025,Men,10-14,114000
2025,Men,15-19,161000
2025,Men,20-24,280000
2025,Men,25-29,332000
2025,Men,30-34,319000
2025,Men,35-39,270000
2025,Men,40-44,226000
2025,Men,45-49,197000
2025,Men,5-9,116000
2025,Men,50-54,184000
2025,Men,55-59,165000
2025,Men,60-64,162000
2025,Men,65-69,142000
2025,Men,70-74,107000
2025,Men,75-79,72000
2025,Men,80-84,34000
2025,Men,≥85,30000
2025,Women,0-4,115000
2025,Women,10-14,108000
2025,Women,15-19,144000
2025,Women,20-24,232000
2025,Women,25-29,269000
2025,Women,30-34,270000
2025,Women,35-39,241000
2025,Women,40-44,212000
2025,Women,45-49,189000
