sex,age_band,year,count,src
Men,10-14,2012,0,observed
Men,15-19,2012,0,observed
Men,20-24,2012,0,observed
Men,25-29,2012,0,observed
Men,30-34,2012,0,observed
Men,35-39,2012,0,observed
Men,40-44,2012,0,observed
Men,45-49,2012,1,observed
Men,5-9,2012,0,observed
Men,50-54,2012,0,observed
Men,55-59,2012,0,observed
Men,60-64,2012,1,observed
Men,65-69,2012,1,observed
Men,70-74,2012,1,observed
Men,75-79,2012,1,observed
Men,<5yr,2012,0,observed
Men,>=80,2012,11,observed
Women,10-14,2012,0,observed
Women,15-19,2012,0,observed
Women,20-24,2012,0,observed
Women,25-29,2012,0,observed
Women,30-34,2012,0,observed
Women,35-39,2012,0,observed
Women,40-44,2012,0,observed
Women,45-49,2012,0,observed
Women,5-9,2012,0,observed
Women,50-54,2012,0,observed
Women,55-59,2012,0,observed
Women,60-64,2012,0,observed
Women,65-69,2012,0,observed
Women,70-74,2012,3,observed
Women,75-79,2012,6,observed
Women,<5yr,2012,0,observed
Women,>=80,2012,5,observed
Men,10-14,2013,0,observed
Men,15-19,2013,0,observed
Men,20-24,2013,0,observed
Men,25-29,2013,0,observed
Men,30-34,2013,0,observed
Men,35-39,2013,0,observed
Men,40-44,2013,1,observed
Men,45-49,2013,0,observed
Men,5-9,2013,0,observed
Men,50-54,2013,0,observed
Men,55-59,2013,0,observed
Men,60-64,2013,2,observed
Men,65-69,2013,4,observed
Men,70-74,2013,2,observed
Men,75-79,2013,3,observed
Men,<5yr,2013,0,observed
Men,>=80,2013,12,observed
Women,10-14,2013,0,observed
Women,15-19,2013,0,observed
Women,20-24,2013,0,observed
Women,25-29,2013,0,observed
Women,30-34,2013,0,observed
Women,35-39,2013,0,observed
Women,40-44,2013,0,observed
Women,45-49,2013,0,observed
Women,5-9,2013,0,observed
Women,50-54,2013,0,observed
Women,55-59,2013,1,observed
Women,60-64,2013,1,observed
Women,65-69,2013,2,observed
Women,70-74,2013,2,observed
Women,75-79,2013,3,observed
Women,<5yr,2013,0,observed
Women,>=80,2013,8,observed
Men,10-14,2014,0,observed
Men,15-19,2014,0,observed
