run,year,viv_type,count
0,2022,tavi_in_savr,25
0,2022,tavi_in_tavi,25
0,2023,tavi_in_savr,35
0,2023,tavi_in_tavi,25
0,2024,tavi_in_savr,35
0,2024,tavi_in_tavi,24
0,2025,tavi_in_savr,47
0,2025,tavi_in_tavi,30
0,2026,tavi_in_savr,133
0,2026,tavi_in_tavi,74
0,2027,tavi_in_savr,140
0,2027,tavi_in_tavi,179
0,2028,tavi_in_savr,169
0,2028,tavi_in_tavi,314
0,2029,tavi_in_savr,203
0,2029,tavi_in_tavi,429
0,2030,tavi_in_savr,183
0,2030,tavi_in_tavi,566
0,2031,tavi_in_savr,207
0,2031,tavi_in_tavi,610
0,2032,tavi_in_savr,218
0,2032,tavi_in_tavi,682
0,2033,tavi_in_savr,230
0,2033,tavi_in_tavi,750
0,2034,tavi_in_savr,198
0,2034,tavi_in_tavi,866
0,2035,tavi_in_savr,201
0,2035,tavi_in_tavi,915
0,2036,tavi_in_savr,172
0,2036,tavi_in_tavi,969
0,2037,tavi_in_savr,171
0,2037,tavi_in_tavi,1148
0,2038,tavi_in_savr,150
0,2038,tavi_in_tavi,1212
0,2039,tavi_in_savr,133
0,2039,tavi_in_tavi,1275
0,2040,tavi_in_savr,135
0,2040,tavi_in_tavi,1306
0,2041,tavi_in_savr,143
0,2041,tavi_in_tavi,1415
0,2042,tavi_in_savr,125
0,2042,tavi_in_tavi,1494
0,2043,tavi_in_savr,121
0,2043,tavi_in_tavi,1621
0,2044,tavi_in_savr,103
0,2044,tavi_in_tavi,1673
0,2045,tavi_in_savr,105
0,2045,tavi_in_tavi,1813
0,2046,tavi_in_savr,93
0,2046,tavi_in_tavi,1863
0,2047,tavi_in_savr,98
0,2047,tavi_in_tavi,1916
0,2048,tavi_in_savr,116
0,2048,tavi_in_tavi,2100
0,2049,tavi_in_savr,120
0,2049,tavi_in_tavi,2107
0,2050,tavi_in_savr,107
0,2050,tavi_in_tavi,2095
1,2022,tavi_in_savr,32
1,2022,tavi_in_tavi,22
1,2023,tavi_in_savr,28
1,2023,tavi_in_tavi,36
1,2024,tavi_in_savr,46
1,2024,tavi_in_tavi,35
1,2025,tavi_in_savr,39
1,2025,tavi_in_tavi,36
1,2026,tavi_in_savr,123
1,2026,tavi_in_tavi,91
1,2027,tavi_in_savr,167
1,2027,tavi_in_tavi,163
1,2028,tavi_in_savr,201
1,2028,tavi_in_tavi,314
1,2029,tavi_in_savr,205
1,2029,tavi_in_tavi,400
1,2030,tavi_in_savr,225
1,2030,tavi_in_tavi,510
1,2031,tavi_in_savr,183
1,2031,tavi_in_tavi,610
1,2032,tavi_in_savr,227
1,2032,tavi_in_tavi,650
1,2033,tavi_in_savr,231
1,2033,tavi_in_tavi,762
1,2034,tavi_in_savr,212
1,2034,tavi_in_tavi,850
1,2035,tavi_in_savr,199
1,2035,tavi_in_tavi,908
1,2036,tavi_in_savr,151
1,2036,tavi_in_tavi,1032
1,2037,tavi_in_savr,150
1,2037,tavi_in_tavi,1146
1,2038,tavi_in_savr,141
1,2038,tavi_in_tavi,1228
1,2039,tavi_in_savr,130
1,2039,tavi_in_tavi,1240
1,2040,tavi_in_savr,137
1,2040,tavi_in_tavi,1352
1,2041,tavi_in_savr,123
1,2041,tavi_in_tavi,1428
1,2042,tavi_in_savr,127
1,2042,tavi_in_tavi,1547
1,2043,tavi_in_savr,126
1,2043,tavi_in_tavi,1526
1,2044,tavi_in_savr,99
1,2044,tavi_in_tavi,1654
1,2045,tavi_in_savr,115
1,2045,tavi_in_tavi,1791
1,2046,tavi_in_savr,102
