run,year,viv_type,count
0,2022,tavi_in_savr,11
0,2022,tavi_in_tavi,1
0,2023,tavi_in_savr,17
0,2023,tavi_in_tavi,3
0,2024,tavi_in_savr,15
0,2024,tavi_in_tavi,2
0,2025,tavi_in_savr,18
0,2025,tavi_in_tavi,5
0,2026,tavi_in_savr,61
0,2026,tavi_in_tavi,15
0,2027,tavi_in_savr,78
0,2027,tavi_in_tavi,39
0,2028,tavi_in_savr,85
0,2028,tavi_in_tavi,76
0,2029,tavi_in_savr,119
0,2029,tavi_in_tavi,119
0,2030,tavi_in_savr,92
0,2030,tavi_in_tavi,189
0,2031,tavi_in_savr,119
0,2031,tavi_in_tavi,206
0,2032,tavi_in_savr,132
0,2032,tavi_in_tavi,233
0,2033,tavi_in_savr,126
0,2033,tavi_in_tavi,293
0,2034,tavi_in_savr,128
0,2034,tavi_in_tavi,377
0,2035,tavi_in_savr,125
0,2035,tavi_in_tavi,402
0,2036,tavi_in_savr,106
0,2036,tavi_in_tavi,445
0,2037,tavi_in_savr,123
0,2037,tavi_in_tavi,546
0,2038,tavi_in_savr,92
0,2038,tavi_in_tavi,555
0,2039,tavi_in_savr,90
0,2039,tavi_in_tavi,595
0,2040,tavi_in_savr,84
0,2040,tavi_in_tavi,611
0,2041,tavi_in_savr,93
0,2041,tavi_in_tavi,678
0,2042,tavi_in_savr,74
0,2042,tavi_in_tavi,708
0,2043,tavi_in_savr,71
0,2043,tavi_in_tavi,765
0,2044,tavi_in_savr,64
0,2044,tavi_in_tavi,771
0,2045,tavi_in_savr,65
0,2045,tavi_in_tavi,842
0,2046,tavi_in_savr,58
0,2046,tavi_in_tavi,907
0,2047,tavi_in_savr,61
0,2047,tavi_in_tavi,868
0,2048,tavi_in_savr,76
0,2048,tavi_in_tavi,1002
0,2049,tavi_in_savr,77
0,2049,tavi_in_tavi,963
0,2050,tavi_in_savr,72
0,2050,tavi_in_tavi,978
1,2022,tavi_in_savr,19
1,2022,tavi_in_tavi,3
1,2023,tavi_in_savr,17
1,2023,tavi_in_tavi,4
1,2024,tavi_in_savr,31
1,2024,tavi_in_tavi,6
1,2025,tavi_in_savr,27
1,2025,tavi_in_tavi,11
1,2026,tavi_in_savr,88
1,2026,tavi_in_tavi,23
1,2027,tavi_in_savr,109
1,2027,tavi_in_tavi,44
1,2028,tavi_in_savr,145
1,2028,tavi_in_tavi,117
1,2029,tavi_in_savr,132
1,2029,tavi_in_tavi,150
1,2030,tavi_in_savr,172
1,2030,tavi_in_tavi,218
1,2031,tavi_in_savr,139
1,2031,tavi_in_tavi,300
1,2032,tavi_in_savr,180
1,2032,tavi_in_tavi,332
1,2033,tavi_in_savr,175
1,2033,tavi_in_tavi,406
1,2034,tavi_in_savr,178
1,2034,tavi_in_tavi,469
1,2035,tavi_in_savr,159
1,2035,tavi_in_tavi,556
1,2036,tavi_in_savr,126
1,2036,tavi_in_tavi,618
1,2037,tavi_in_savr,127
1,2037,tavi_in_tavi,670
1,2038,tavi_in_savr,116
1,2038,tavi_in_tavi,707
1,2039,tavi_in_savr,107
1,2039,tavi_in_tavi,758
1,2040,tavi_in_savr,113
1,2040,tavi_in_tavi,843
1,2041,tavi_in_savr,107
1,2041,tavi_in_tavi,869
1,2042,tavi_in_savr,98
1,2042,tavi_in_tavi,948
1,2043,tavi_in_savr,102
1,2043,tavi_in_tavi,955
1,2044,tavi_in_savr,83
1,2044,tavi_in_tavi,971
1,2045,tavi_in_savr,97
1,2045,tavi_in_tavi,1084
1,2046,tavi_in_savr,81
1,2046,tavi_in_tavi,1103
1,2047,tavi_in_savr,81
1,2047,tavi_in_tavi,1099
1,2048,tavi_in_savr,86
1,2048,tavi_in_tavi,1139
1,2049,tavi_in_savr,88
1,2049,tavi_in_tavi,1292
1,2050,tavi_in_savr,105
1,2050,tavi_in_tavi,1286
2,2022,tavi_in_savr,22
2,2022,tavi_in_tavi,1
2,2023,tavi_in_savr,24
2,2023,tavi_in_tavi,3
2,2024,tavi_in_savr,20
2,2024,tavi_in_tavi,3
2,2025,tavi_in_savr,29
2,2025,tavi_in_tavi,6
2,2026,tavi_in_savr,72
2,2026,tavi_in_tavi,28
2,2027,tavi_in_savr,114
2,2027,tavi_in_tavi,38
2,2028,tavi_in_savr,136
2,2028,tavi_in_tavi,109
2,2029,tavi_in_savr,147
2,2029,tavi_in_tavi,167
2,2030,tavi_in_savr,151
2,2030,tavi_in_tavi,217
2,2031,tavi_in_savr,187
2,2031,tavi_in_tavi,294
2,2032,tavi_in_savr,176
2,2032,tavi_in_tavi,361
2,2033,tavi_in_savr,184
