year,tavi_in_savr,tavi_in_tavi,total
2022,28.86,22.05,50.91
2023,34.08,25.94,60.019999999999996
2024,40.39,29.26,69.65
2025,45.24,31.87,77.11
2026,120.9,83.34,204.24
2027,151.1,170.76,321.86
2028,182.28,301.11,483.39
2029,202.37,416.93,619.3
2030,216.11,517.03,733.14
2031,218.2,607.33,825.53
2032,219.23,695.65,914.88
2033,209.0,779.91,988.91
2034,198.57,863.59,1062.16
2035,190.28,949.55,1139.83
2036,172.73,1034.85,1207.58
2037,162.81,1117.98,1280.79
2038,150.36,1200.05,1350.4099999999999
2039,138.42,1285.55,1423.97
2040,132.23,1361.64,1493.8700000000001
2041,127.33,1442.09,1569.4199999999998
2042,120.44,1526.44,1646.88
2043,116.81,1597.71,1714.52
2044,111.44,1681.01,1792.45
2045,110.94,1769.05,1879.99
2046,110.79,1842.33,1953.12
2047,111.4,1917.6,2029.0
2048,109.56,1997.79,2107.35
2049,111.23,2073.21,2184.44
2050,113.13,2140.37,2253.5
