year,viv_type,mean,sd
2022,tavi_in_savr,28.86,5.314398205143108
2022,tavi_in_tavi,22.05,4.374801582802228
2023,tavi_in_savr,34.08,5.452605715702272
2023,tavi_in_tavi,25.94,5.3726204504925255
2024,tavi_in_savr,40.39,5.33124011953328
2024,tavi_in_tavi,29.26,5.537056067892928
2025,tavi_in_savr,45.24,6.045484164885291
2025,tavi_in_tavi,31.87,4.663754502609036
2026,tavi_in_savr,120.9,9.941749536091919
2026,tavi_in_tavi,83.34,9.017625838189103
2027,tavi_in_savr,151.1,11.788112485024733
2027,tavi_in_tavi,170.76,11.356589330081507
2028,tavi_in_savr,182.28,12.425194346385677
2028,tavi_in_tavi,301.11,17.452906330864767
2029,tavi_in_savr,202.37,13.862714326020305
2029,tavi_in_tavi,416.93,16.507883026608894
2030,tavi_in_savr,216.11,16.094352482103208
2030,tavi_in_tavi,517.03,23.90023667521544
2031,tavi_in_savr,218.2,14.471846579975317
2031,tavi_in_tavi,607.33,24.083212225762395
2032,tavi_in_savr,219.23,14.570521645092219
2032,tavi_in_tavi,695.65,29.780806984473475
2033,tavi_in_savr,209.0,16.48997246568931
2033,tavi_in_tavi,779.91,29.596647025491176
2034,tavi_in_savr,198.57,13.988635358458636
2034,tavi_in_tavi,863.59,26.64055350230342
2035,tavi_in_savr,190.28,14.216280324424748
2035,tavi_in_tavi,949.55,31.20650508461273
2036,tavi_in_savr,172.73,12.450187617749853
2036,tavi_in_tavi,1034.85,26.25568721460397
2037,tavi_in_savr,162.81,12.93393859877059
2037,tavi_in_tavi,1117.98,33.089099184602865
2038,tavi_in_savr,150.36,10.981637566245018
2038,tavi_in_tavi,1200.05,34.628001456169635
2039,tavi_in_savr,138.42,10.503659775852823
2039,tavi_in_tavi,1285.55,33.02596927365869
2040,tavi_in_savr,132.23,13.06073999790706
2040,tavi_in_tavi,1361.64,33.90882606119658
2041,tavi_in_savr,127.33,11.07281227679634
2041,tavi_in_tavi,1442.09,35.52409766836465
2042,tavi_in_savr,120.44,11.652649588151288
2042,tavi_in_tavi,1526.44,35.69266115892818
2043,tavi_in_savr,116.81,10.290424106072027
2043,tavi_in_tavi,1597.71,35.96948622643833
2044,tavi_in_savr,111.44,10.429484235288978
2044,tavi_in_tavi,1681.01,39.48059106329425
2045,tavi_in_savr,110.94,10.396017108353165
2045,tavi_in_tavi,1769.05,39.1756920613389
2046,tavi_in_savr,110.79,10.663157566730844
2046,tavi_in_tavi,1842.33,45.71763468522973
2047,tavi_in_savr,111.4,9.408785921958929
2047,tavi_in_tavi,1917.6,41.5675183990888
2048,tavi_in_savr,109.56,9.770415042412997
2048,tavi_in_tavi,1997.79,46.21585171231776
2049,tavi_in_savr,111.23,10.813249448540597
2049,tavi_in_tavi,2073.21,45.15725497378771
2050,tavi_in_savr,113.13,9.707494761546593
2050,tavi_in_tavi,2140.37,47.07798280137397
