year,viv_type,mean,sd
2022,tavi_in_savr,4.013908205841447,3.8851658668954046
2022,tavi_in_tavi,2.068480300187617,1.2869883095821912
2023,tavi_in_savr,4.135922330097087,4.101503250932621
2023,tavi_in_tavi,2.1725293132328307,1.3300508159733138
2024,tavi_in_savr,4.198544698544699,4.458745800444826
2024,tavi_in_tavi,2.335195530726257,1.410033046622621
2025,tavi_in_savr,4.514970059880239,4.669311831108056
2025,tavi_in_tavi,2.461003861003861,1.593015254305106
2026,tavi_in_savr,10.699115044247788,18.886160737908288
2026,tavi_in_tavi,5.094132029339853,6.255395404134602
2027,tavi_in_savr,12.837723024638912,24.23404877400891
2027,tavi_in_tavi,10.003514938488577,17.034789224112714
2028,tavi_in_savr,15.064462809917355,29.583977454060125
2028,tavi_in_tavi,17.245704467353953,32.772320356328535
2029,tavi_in_savr,16.52,32.303475197011274
2029,tavi_in_tavi,23.608720271800678,45.446096238186904
2030,tavi_in_savr,17.512965964343596,34.49717941082977
2030,tavi_in_tavi,29.11204954954955,55.69541262187513
2031,tavi_in_savr,17.725426482534523,33.45334324259063
2031,tavi_in_tavi,34.08136924803591,64.47840739713651
2032,tavi_in_savr,17.780210867802108,32.65568899375416
2032,tavi_in_tavi,38.8848518725545,71.91047550536807
2033,tavi_in_savr,17.173377156943303,30.064136723963024
2033,tavi_in_tavi,43.42483296213808,78.41588596248391
2034,tavi_in_savr,16.370156636438583,27.824900399393513
2034,tavi_in_tavi,47.977222222222224,84.83966523490797
2035,tavi_in_savr,15.6996699669967,25.908252654898345
2035,tavi_in_tavi,52.75277777777778,91.4290321446397
2036,tavi_in_savr,14.45439330543933,22.96279607788494
2036,tavi_in_tavi,57.49166666666667,97.73808710776038
2037,tavi_in_savr,13.5675,21.270734524364823
2037,tavi_in_tavi,62.11,103.59923589829422
2038,tavi_in_savr,12.81841432225064,19.430376324318605
2038,tavi_in_tavi,66.66944444444445,108.84630815523393
2039,tavi_in_savr,11.830769230769231,18.000677021477784
2039,tavi_in_tavi,71.41944444444445,114.66511241061109
2040,tavi_in_savr,11.44848484848485,17.708884199503025
2040,tavi_in_tavi,75.64666666666666,119.46295724838856
2041,tavi_in_savr,10.995682210708118,16.952803935889893
2041,tavi_in_tavi,80.11611111111111,124.31356544223762
2042,tavi_in_savr,10.537182852143482,16.738437202220087
2042,tavi_in_tavi,84.80222222222223,129.02608117210193
2043,tavi_in_savr,10.183958151700088,16.112989590204037
2043,tavi_in_tavi,88.76166666666667,132.8931762969087
2044,tavi_in_savr,9.861946902654868,15.888630997231232
2044,tavi_in_tavi,93.38944444444445,136.7970423458681
2045,tavi_in_savr,9.931960608773501,16.150358391394594
2045,tavi_in_tavi,98.28055555555555,142.59551340902257
2046,tavi_in_savr,9.936322869955157,15.948426725302975
2046,tavi_in_tavi,102.35166666666667,144.97560392611226
2047,tavi_in_savr,9.973142345568487,16.479029637845443
2047,tavi_in_tavi,106.53333333333333,148.31475776456486
2048,tavi_in_savr,9.678445229681978,15.962127870035046
2048,tavi_in_tavi,110.98833333333333,151.8285448605221
2049,tavi_in_savr,9.8,16.315982577765705
2049,tavi_in_tavi,115.17833333333333,153.44981916285099
2050,tavi_in_savr,10.091882247992864,16.55638461570838
2050,tavi_in_tavi,118.90944444444445,155.82998075243174
