year,viv_type,mean,sd
2022,tavi_in_savr,16.82,4.7019875445057115
2022,tavi_in_tavi,2.3255813953488373,1.1421533889478632
2023,tavi_in_savr,20.35,4.144791059787324
2023,tavi_in_tavi,3.4842105263157896,1.596959597236939
2024,tavi_in_savr,25.05,5.433482057826939
2024,tavi_in_tavi,5.36734693877551,2.5541062758004642
2025,tavi_in_savr,28.52,5.864600187014912
2025,tavi_in_tavi,6.61,2.7187898377436577
2026,tavi_in_savr,77.28,10.927751716421707
2026,tavi_in_tavi,20.42,5.3732972402727945
2027,tavi_in_savr,98.43,14.865222786250074
2027,tavi_in_tavi,48.29,8.28933231949536
2028,tavi_in_savr,122.85,17.24416165289316
2028,tavi_in_tavi,97.21,13.95685632167353
2029,tavi_in_savr,139.84,19.83249043281445
2029,tavi_in_tavi,150.18,19.676874597846933
2030,tavi_in_savr,151.09,20.42136680592713
2030,tavi_in_tavi,204.0,24.88316131788156
2031,tavi_in_savr,156.65,21.159984628892087
2031,tavi_in_tavi,261.54,33.100221244950106
2032,tavi_in_savr,159.87,22.402946685693383
2032,tavi_in_tavi,326.66,38.17641664534254
2033,tavi_in_savr,155.87,22.56826009324519
2033,tavi_in_tavi,398.12,45.68386758556851
2034,tavi_in_savr,151.4,18.773503787104957
2034,tavi_in_tavi,469.87,50.6723790639437
2035,tavi_in_savr,147.48,19.5641808342995
2035,tavi_in_tavi,554.18,60.96503054616596
2036,tavi_in_savr,133.27,17.565378596902637
2036,tavi_in_tavi,600.56,67.83660106789286
2037,tavi_in_savr,126.22,17.206752256957827
2037,tavi_in_tavi,652.87,72.6408982668173
2038,tavi_in_savr,117.19,14.580113064366026
2038,tavi_in_tavi,701.09,76.56846081722679
2039,tavi_in_savr,108.1,13.919320197030986
2039,tavi_in_tavi,750.07,85.02753624086681
2040,tavi_in_savr,102.95,14.590972025415741
2040,tavi_in_tavi,791.64,84.21899303529331
2041,tavi_in_savr,98.77,15.470960088520881
2041,tavi_in_tavi,838.35,87.5485867990172
2042,tavi_in_savr,92.71,14.106589190369819
2042,tavi_in_tavi,890.05,95.83417654438001
2043,tavi_in_savr,90.38,12.057756630049179
2043,tavi_in_tavi,931.21,105.01354361907013
2044,tavi_in_savr,86.09,12.232672758979653
2044,tavi_in_tavi,975.71,105.65326317820013
2045,tavi_in_savr,85.73,12.626615308205684
2045,tavi_in_tavi,1030.41,111.99504814089242
2046,tavi_in_savr,85.97,12.694908706670837
2046,tavi_in_tavi,1072.78,110.51976193322972
2047,tavi_in_savr,87.06,13.132441132592598
2047,tavi_in_tavi,1116.17,117.01834916116375
2048,tavi_in_savr,85.19,13.270834582084523
2048,tavi_in_tavi,1164.46,124.92950901297192
2049,tavi_in_savr,86.59,12.54252966929122
2049,tavi_in_tavi,1205.11,127.06507479367895
2050,tavi_in_savr,87.84,12.853266691641648
2050,tavi_in_tavi,1241.74,129.62039526512353
