year,tavi_in_savr,tavi_in_tavi,total
2022,29.63,21.85,51.480000000000004
2023,35.07,24.82,59.89
2024,40.89,27.88,68.77
2025,46.17,31.94,78.11
2026,56.06,35.6,91.66
2027,64.71,37.53,102.24
2028,73.2,38.8,112.0
2029,79.98,40.69,120.67
2030,87.77,41.57,129.34
2031,91.53,43.19,134.72
2032,95.88,41.93,137.81
2033,95.11,44.03,139.14
2034,99.19,43.68,142.87
2035,97.92,43.73,141.65
2036,99.73,44.76,144.49
2037,101.81,45.39,147.2
2038,100.63,45.41,146.04
2039,98.39,47.77,146.16
2040,101.6,49.33,150.93
2041,101.99,51.87,153.85999999999999
2042,103.97,53.17,157.14
2043,107.16,55.55,162.70999999999998
2044,107.88,57.46,165.34
2045,113.21,60.52,173.73
2046,116.01,62.73,178.74
2047,121.02,65.3,186.32
2048,125.44,67.35,192.79
2049,129.51,70.01,199.51999999999998
2050,137.14,72.84,209.98
