year,tavi_in_savr,tavi_in_tavi,total
2022,16.79,2.395348837209302,19.1853488372093
2023,20.55,3.336734693877551,23.88673469387755
2024,24.97,4.81,29.779999999999998
2025,27.91,7.01,34.92
2026,35.8,8.88,44.68
2027,43.07,10.67,53.74
2028,49.12,12.9,62.019999999999996
2029,54.8,14.75,69.55
2030,62.28,16.33,78.61
2031,66.38,19.07,85.44999999999999
2032,70.06,19.91,89.97
2033,70.32,22.4,92.72
2034,75.46,24.44,99.89999999999999
2035,76.35,25.81,102.16
2036,77.32,26.18,103.5
2037,79.17,27.41,106.58
2038,78.69,27.11,105.8
2039,76.26,28.31,104.57000000000001
2040,78.26,29.26,107.52000000000001
2041,78.79,31.07,109.86000000000001
2042,80.02,31.51,111.53
2043,82.89,33.33,116.22
2044,83.83,34.04,117.87
2045,87.88,35.66,123.53999999999999
2046,90.0,37.11,127.11
2047,94.19,38.94,133.13
2048,97.59,39.8,137.39
2049,100.61,41.57,142.18
2050,107.51,43.49,151.0
