year,TAM,pred_TAVI,pred_SAVR
2016,255.3696762065182,80.40977391584752,174.95990229067067
2017,270.8227128694105,85.05702470201645,185.76568816739405
2018,287.3193119277658,89.56804745860799,197.7512644691578
2019,303.92416446744573,93.85461955702466,210.0695449104211
2020,320.9777095466867,98.26566667668929,222.7120428699974
2021,335.2140954394026,102.62108466285183,232.59301077655078
2022,350.82551545319956,108.90475840555114,241.9207570476484
2023,371.7143447619732,116.97086254822351,254.7434822137497
2024,389.3740587037564,124.26186367934949,265.1121950244069
2025,406.6907215242192,131.4808669927859,275.2098545314333
2026,425.90842903095006,138.95410174247087,286.9543272884792
2027,450.5025382513394,147.02594204916952,303.47659620216984
2028,474.32379579159374,154.95454948919405,319.3692463023997
2029,497.28189586400816,162.7295330739217,334.5523627900865
2030,523.3375736950584,171.49423483874386,351.8433388563145
2031,549.1418674007883,180.3807003013645,368.7611670994238
2032,572.8596341648976,188.5681303863986,384.29150377849896
2033,597.4323191243379,197.06588828903358,400.36643083530436
2034,622.9337023002934,205.71749530621557,417.21620699407777
2035,649.0981237033916,214.34437263275657,434.753751070635
2036,676.4424803000802,223.600975072158,452.8415052279222
2037,700.0149399612555,231.48842565037495,468.5265143108806
2038,725.1217340357061,239.64870564773395,485.4730283879722
2039,751.7434813641779,248.24427331694343,503.49920804723445
2040,775.9869182512683,256.18526415161057,519.8016540996578
2041,801.3609126716324,264.3737332521381,536.9871794194943
2042,824.1518076164946,271.89821211351807,552.2535955029765
2043,846.2117315631073,279.0894756423302,567.122255920777
2044,869.3950384245179,286.54447793153884,582.8505604929791
2045,889.348433755722,293.21264599623663,596.1357877594853
2046,910.730612163238,300.76100892438916,609.9696032388488
2047,932.5624580808219,308.93350226923087,623.628955811591
2048,953.1249281063035,317.072782870842,636.0521452354615
2049,975.1502957042358,325.8052907585305,649.3450049457053
2050,994.0784489274511,333.2431909638977,660.8352579635534
