year,viv_type,mean,sd,realized
2022,tavi_in_savr,17.79,4.406824367966235,16.79
2022,tavi_in_tavi,2.395348837209302,1.285933579543917,2.395348837209302
2023,tavi_in_savr,21.55,4.942855266120805,20.55
2023,tavi_in_tavi,3.336734693877551,1.8216559677857649,3.336734693877551
2024,tavi_in_savr,25.97,5.461444290421146,24.97
2024,tavi_in_tavi,4.81,1.9781380899801464,4.81
2025,tavi_in_savr,28.91,5.680188857295632,27.91
2025,tavi_in_tavi,7.01,2.552459697047243,7.01
2026,tavi_in_savr,36.8,7.049607769015928,35.8
2026,tavi_in_tavi,8.88,3.009345712303858,8.88
2027,tavi_in_savr,44.07,7.899948855479503,43.07
2027,tavi_in_tavi,10.67,3.7552791124124463,10.67
2028,tavi_in_savr,50.12,8.87543426167606,49.12
2028,tavi_in_tavi,12.9,3.48010216963685,12.9
2029,tavi_in_savr,55.8,9.17286291958046,54.8
2029,tavi_in_tavi,14.75,4.190838974851135,14.75
2030,tavi_in_savr,63.28,8.532859835348109,62.28
2030,tavi_in_tavi,16.33,4.610166630788562,16.33
2031,tavi_in_savr,67.38,9.613521622163134,66.38
2031,tavi_in_tavi,19.07,4.030828172668213,19.07
2032,tavi_in_savr,71.06,11.240097774476784,70.06
2032,tavi_in_tavi,19.91,4.656037679045012,19.91
2033,tavi_in_savr,72.32,11.679975093373198,70.32
2033,tavi_in_tavi,22.4,4.69041575982343,22.4
2034,tavi_in_savr,77.46,11.49301061207606,75.46
2034,tavi_in_tavi,24.44,5.763556702122905,24.44
2035,tavi_in_savr,78.35,11.136775914858736,76.35
2035,tavi_in_tavi,25.81,6.129404209186727,25.81
2036,tavi_in_savr,79.32,11.649667268842812,77.32
2036,tavi_in_tavi,26.18,4.827070132140826,26.18
2037,tavi_in_savr,81.17,11.060946860669095,79.17
2037,tavi_in_tavi,27.41,6.631871317487786,27.41
2038,tavi_in_savr,80.69,12.689528809776247,78.69
2038,tavi_in_tavi,27.11,5.9235789754833075,27.11
2039,tavi_in_savr,78.26,12.418314920090628,76.26
2039,tavi_in_tavi,28.31,5.991062366795083,28.31
2040,tavi_in_savr,80.26,12.758534477760447,78.26
2040,tavi_in_tavi,29.26,5.657961227555845,29.26
2041,tavi_in_savr,80.79,11.695889807271541,78.79
2041,tavi_in_tavi,31.07,6.922741034759527,31.07
2042,tavi_in_savr,82.02,11.515452946612939,80.02
2042,tavi_in_tavi,31.51,6.78753313513872,31.51
2043,tavi_in_savr,84.89,12.633045491243923,82.89
2043,tavi_in_tavi,33.33,7.167625024012382,33.33
2044,tavi_in_savr,85.83,12.855887304415763,83.83
2044,tavi_in_tavi,34.04,7.007816703474409,34.04
2045,tavi_in_savr,89.88,13.502921494583642,87.88
2045,tavi_in_tavi,35.66,7.369360538572853,35.66
2046,tavi_in_savr,92.0,13.625584965665354,90.0
2046,tavi_in_tavi,37.11,5.982964030132439,37.11
2047,tavi_in_savr,96.19,14.027170603921347,94.19
2047,tavi_in_tavi,38.94,6.804365799940059,38.94
2048,tavi_in_savr,99.59,13.567708991304588,97.59
2048,tavi_in_tavi,39.8,7.681803239481016,39.8
2049,tavi_in_savr,102.61,14.34558672853288,100.61
2049,tavi_in_tavi,41.57,8.485584924750414,41.57
2050,tavi_in_savr,109.51,16.444270747103392,107.51
2050,tavi_in_tavi,43.49,8.36236760249105,43.49
