year,tavi_in_savr,tavi_in_tavi,total
2022,17.79,2.395348837209302,20.1853488372093
2023,21.55,3.336734693877551,24.88673469387755
2024,25.97,4.81,30.779999999999998
2025,28.91,7.01,35.92
2026,36.8,8.88,45.68
2027,44.07,10.67,54.74
2028,50.12,12.9,63.019999999999996
2029,55.8,14.75,70.55
2030,63.28,16.33,79.61
2031,67.38,19.07,86.44999999999999
2032,71.06,19.91,90.97
2033,72.32,22.4,94.72
2034,77.46,24.44,101.89999999999999
2035,78.35,25.81,104.16
2036,79.32,26.18,105.5
2037,81.17,27.41,108.58
2038,80.69,27.11,107.8
2039,78.26,28.31,106.57000000000001
2040,80.26,29.26,109.52000000000001
2041,80.79,31.07,111.86000000000001
2042,82.02,31.51,113.53
2043,84.89,33.33,118.22
2044,85.83,34.04,119.87
2045,89.88,35.66,125.53999999999999
2046,92.0,37.11,129.11
2047,96.19,38.94,135.13
2048,99.59,39.8,139.39
2049,102.61,41.57,144.18
2050,109.51,43.49,153.0
