year,age,population
2022,0,45000
2022,1,45000
2022,2,45000
2022,3,45000
2022,4,45000
2022,5,44600
2022,6,44600
2022,7,44600
2022,8,44600
2022,9,44600
2022,10,46200
2022,11,46200
2022,12,46200
2022,13,46200
2022,14,46200
2022,15,77000
2022,16,77000
2022,17,77000
2022,18,77000
2022,19,77000
2022,20,110000
2022,21,110000
2022,22,110000
2022,23,110000
2022,24,110000
2022,25,117000
2022,26,117000
2022,27,117000
2022,28,117000
2022,29,117000
2022,30,108800
2022,31,108800
2022,32,108800
2022,33,108800
2022,34,108800
2022,35,89600
2022,36,89600
2022,37,89600
2022,38,89600
2022,39,89600
2022,40,80400
2022,41,80400
2022,42,80400
2022,43,80400
2022,44,80400
2022,45,73800
2022,46,73800
2022,47,73800
2022,48,73800
2022,49,73800
2022,50,67400
2022,51,67400
2022,52,67400
2022,53,67400
2022,54,67400
2022,55,65600
2022,56,65600
2022,57,65600
2022,58,65600
2022,59,65600
2022,60,61400
2022,61,61400
2022,62,61400
2022,63,61400
2022,64,61400
2022,65,52000
2022,66,52000
2022,67,52000
2022,68,52000
2022,69,52000
2022,70,39600
2022,71,39600
2022,72,39600
2022,73,39600
2022,74,39600
2022,75,22600
2022,76,22600
2022,77,22600
2022,78,22600
2022,79,22600
2022,80,15800
2022,81,15800
2022,82,15800
2022,83,15800
2022,84,15800
2022,85,8400
2022,86,8400
2022,87,8400
2022,88,8400
2022,89,8400
2022,90,3800
2022,91,3800
2022,92,3800
2022,93,3800
2022,94,3800
2022,95,1000
2022,96,1000
2022,97,1000
2022,98,1000
2022,99,1000
2022,100,200
2022,101,200
2022,102,200
2022,103,200
2022,104,200
2023,0,45600
2023,1,45600
2023,2,45600
2023,3,45600
2023,4,45600
2023,5,45000
2023,6,45000
2023,7,45000
2023,8,45000
2023,9,45000
2023,10,45600
2023,11,45600
2023,12,45600
2023,13,45600
2023,14,45600
2023,15,75200
2023,16,75200
2023,17,75200
2023,18,75200
2023,19,75200
2023,20,111000
2023,21,111000
2023,22,111000
2023,23,111000
2023,24,111000
2023,25,120200
2023,26,120200
2023,27,120200
2023,28,120200
2023,29,120200
2023,30,113400
2023,31,113400
2023,32,113400
2023,33,113400
2023,34,113400
2023,35,93800
2023,36,93800
2023,37,93800
2023,38,93800
2023,39,93800
2023,40,83400
2023,41,83400
2023,42,83400
2023,43,83400
2023,44,83400
2023,45,74800
2023,46,74800
2023,47,74800
2023,48,74800
2023,49,74800
2023,50,69400
2023,51,69400
2023,52,69400
2023,53,69400
2023,54,69400
2023,55,65600
2023,56,65600
2023,57,65600
2023,58,65600
2023,59,65600
2023,60,62400
2023,61,62400
2023,62,62400
2023,63,62400
2023,64,62400
2023,65,54000
2023,66,54000
2023,67,54000
2023,68,54000
2023,69,54000
2023,70,41400
2023,71,41400
2023,72,41400
2023,73,41400
2023,74,41400
2023,75,25600
2023,76,25600
2023,77,25600
2023,78,25600
2023,79,25600
2023,80,16200
2023,81,16200
2023,82,16200
2023,83,16200
2023,84,16200
2023,85,9000
2023,86,9000
2023,87,9000
2023,88,9000
2023,89,9000
2023,90,4200
2023,91,4200
2023,92,4200
2023,93,4200
2023,94,4200
2023,95,1200
2023,96,1200
2023,97,1200
2023,98,1200
2023,99,1200
2023,100,200
2023,101,200
2023,102,200
2023,103,200
2023,104,200
2024,0,46600
2024,1,46600
2024,2,46600
2024,3,46600
2024,4,46600
2024,5,45400
2024,6,45400
2024,7,45400
2024,8,45400
2024,9,45400
2024,10,44600
2024,11,44600
2024,12,44600
2024,13,44600
2024,14,44600
2024,15,67800
2024,16,67800
2024,17,67800
2024,18,67800
2024,19,67800
2024,20,107200
2024,21,107200
2024,22,107200
2024,23,107200
2024,24,107200
2024,25,120400
2024,26,120400
2024,27,120400
2024,28,120400
2024,29,120400
2024,30,116000
2024,31,116000
2024,32,116000
2024,33,116000
2024,34,116000
2024,35,98200
2024,36,98200
2024,37,98200
2024,38,98200
2024,39,98200
2024,40,85600
2024,41,85600
2024,42,85600
2024,43,85600
2024,44,85600
2024,45,75800
2024,46,75800
2024,47,75800
2024,48,75800
2024,49,75800
2024,50,71200
2024,51,71200
2024,52,71200
2024,53,71200
2024,54,71200
2024,55,65400
2024,56,65400
2024,57,65400
2024,58,65400
2024,59,65400
2024,60,63200
2024,61,63200
2024,62,63200
2024,63,63200
2024,64,63200
2024,65,55800
2024,66,55800
2024,67,55800
2024,68,55800
2024,69,55800
2024,70,43200
2024,71,43200
2024,72,43200
2024,73,43200
2024,74,43200
2024,75,28600
2024,76,28600
2024,77,28600
2024,78,28600
2024,79,28600
2024,80,16200
2024,81,16200
2024,82,16200
2024,83,16200
2024,84,16200
2024,85,9600
2024,86,9600
2024,87,9600
2024,88,9600
2024,89,9600
2024,90,4400
2024,91,4400
2024,92,4400
2024,93,4400
2024,94,4400
2024,95,1400
2024,96,1400
2024,97,1400
2024,98,1400
2024,99,1400
2024,100,200
