year,proc,index_cnt,deaths,failures,viable,run
2012,savr,14.0,0.03,0.0,0.0,49.5
2012,tavi,30.0,0.12,0.0,0.0,49.5
2013,savr,16.0,0.08,0.66,0.0,49.5
2013,tavi,41.0,0.36,0.85,0.0,49.5
2014,savr,13.0,0.39,0.89,0.0,49.5
2014,tavi,43.0,1.13,1.92,0.0,49.5
2015,savr,18.0,1.25,1.23,0.0,49.5
2015,tavi,44.0,3.27,3.83,0.0,49.5
2016,savr,216.0,2.33,1.88,0.0,49.5
2016,tavi,52.0,7.13,6.48,0.0,49.5
2017,savr,237.0,5.24,7.18,0.0,49.5
2017,tavi,67.0,13.06,8.72,0.0,49.5
2018,savr,254.0,11.17,10.69,0.0,49.5
2018,tavi,76.0,19.86,11.84,0.0,49.5
2019,savr,245.0,20.88,15.21,0.0,49.5
2019,tavi,70.0,30.03,15.46,0.0,49.5
2020,savr,208.0,35.14,21.21,0.0,49.5
2020,tavi,95.0,37.84,20.04,0.0,49.5
2021,savr,230.0,55.35,27.87,0.0,49.5
2021,tavi,119.0,47.31,24.93,0.0,49.5
2022,savr,245.0,77.28,36.98,30.22,49.5
2022,tavi,121.0,53.04,31.87,22.0,49.5
2023,savr,264.0,100.06,46.15,34.75,49.5
2023,tavi,128.0,60.61,39.06,24.81,49.5
2024,savr,326.0,119.29,58.57,41.59,49.5
2024,tavi,143.0,66.61,47.31,28.13,49.5
2025,savr,249.0,136.64,70.12,45.36,49.5
2025,tavi,157.0,73.85,56.37,32.03,49.5
2026,savr,254.0,160.26,91.27,56.55,49.5
2026,tavi,171.0,84.64,64.37,35.6,49.5
2027,savr,263.0,207.35,106.33,63.4,49.5
2027,tavi,186.0,114.92,74.04,39.67,49.5
2028,savr,272.0,258.81,125.71,70.38,49.5
2028,tavi,202.0,148.66,86.05,44.47,49.5
2029,savr,280.0,299.16,145.92,75.6,49.5
2029,tavi,216.0,180.59,95.9,46.28,49.5
2030,savr,290.0,326.75,168.38,81.6,49.5
2030,tavi,233.0,195.54,106.91,47.64,49.5
2031,savr,300.0,338.92,191.83,85.05,49.5
2031,tavi,248.0,208.58,117.86,50.48,49.5
2032,savr,309.0,350.11,209.59,83.96,49.5
2032,tavi,263.0,216.1,128.85,51.88,49.5
2033,savr,319.0,349.73,233.97,85.59,49.5
2033,tavi,278.0,226.73,140.89,54.48,49.5
2034,savr,329.0,350.43,258.44,87.18,49.5
2034,tavi,293.0,236.35,155.46,56.22,49.5
2035,savr,340.0,345.42,273.66,84.78,49.5
2035,tavi,308.0,247.36,167.66,55.64,49.5
2036,savr,352.0,347.73,290.12,83.84,49.5
2036,tavi,323.0,259.07,181.97,58.76,49.5
2037,savr,362.0,349.36,305.55,83.43,49.5
2037,tavi,337.0,268.47,199.19,63.21,49.5
2038,savr,373.0,348.72,316.42,82.5,49.5
2038,tavi,351.0,277.79,212.02,64.1,49.5
2039,savr,385.0,350.55,326.57,81.21,49.5
2039,tavi,366.0,294.43,225.45,67.79,49.5
2040,savr,396.0,352.92,335.71,82.29,49.5
2040,tavi,379.0,306.22,241.14,71.02,49.5
2041,savr,408.0,355.87,338.41,80.68,49.5
2041,tavi,393.0,319.23,257.6,76.04,49.5
2042,savr,418.0,362.34,345.52,81.98,49.5
2042,tavi,405.0,331.58,267.61,77.24,49.5
2043,savr,428.0,367.62,348.16,83.31,49.5
2043,tavi,417.0,342.99,286.86,82.3,49.5
2044,savr,439.0,369.79,351.67,86.45,49.5
2044,tavi,429.0,352.9,298.87,86.44,49.5
2045,savr,448.0,376.43,356.14,89.09,49.5
2045,tavi,440.0,364.34,311.47,90.26,49.5
2046,savr,458.0,383.93,357.52,89.51,49.5
2046,tavi,451.0,379.57,328.03,93.24,49.5
2047,savr,469.0,393.45,363.16,91.2,49.5
2047,tavi,463.0,387.61,338.34,96.83,49.5
2048,savr,479.0,401.1,368.0,95.17,49.5
2048,tavi,473.0,401.2,358.18,102.09,49.5
2049,savr,489.0,409.13,377.53,97.04,49.5
2049,tavi,485.0,408.83,364.61,102.05,49.5
2050,savr,499.0,418.43,382.56,100.31,49.5
2050,tavi,495.0,422.21,381.17,108.19,49.5
