run,year,viv_type,count
0,2022,tavi_in_savr,30
0,2022,tavi_in_tavi,25
0,2023,tavi_in_savr,44
0,2023,tavi_in_tavi,25
0,2024,tavi_in_savr,37
0,2024,tavi_in_tavi,24
0,2025,tavi_in_savr,48
0,2025,tavi_in_tavi,30
0,2026,tavi_in_savr,49
0,2026,tavi_in_tavi,29
0,2027,tavi_in_savr,64
0,2027,tavi_in_tavi,37
0,2028,tavi_in_savr,50
0,2028,tavi_in_tavi,44
0,2029,tavi_in_savr,90
0,2029,tavi_in_tavi,60
0,2030,tavi_in_savr,76
0,2030,tavi_in_tavi,64
0,2031,tavi_in_savr,75
0,2031,tavi_in_tavi,58
0,2032,tavi_in_savr,102
0,2032,tavi_in_tavi,43
0,2033,tavi_in_savr,82
0,2033,tavi_in_tavi,38
0,2034,tavi_in_savr,82
0,2034,tavi_in_tavi,62
0,2035,tavi_in_savr,81
0,2035,tavi_in_tavi,56
0,2036,tavi_in_savr,83
0,2036,tavi_in_tavi,50
0,2037,tavi_in_savr,96
0,2037,tavi_in_tavi,74
0,2038,tavi_in_savr,104
0,2038,tavi_in_tavi,67
0,2039,tavi_in_savr,78
0,2039,tavi_in_tavi,72
0,2040,tavi_in_savr,75
0,2040,tavi_in_tavi,70
0,2041,tavi_in_savr,94
0,2041,tavi_in_tavi,86
0,2042,tavi_in_savr,84
0,2042,tavi_in_tavi,77
0,2043,tavi_in_savr,90
0,2043,tavi_in_tavi,70
0,2044,tavi_in_savr,89
0,2044,tavi_in_tavi,99
0,2045,tavi_in_savr,77
0,2045,tavi_in_tavi,96
0,2046,tavi_in_savr,95
0,2046,tavi_in_tavi,117
0,2047,tavi_in_savr,99
0,2047,tavi_in_tavi,103
0,2048,tavi_in_savr,86
0,2048,tavi_in_tavi,116
0,2049,tavi_in_savr,87
0,2049,tavi_in_tavi,111
0,2050,tavi_in_savr,103
0,2050,tavi_in_tavi,105
1,2022,tavi_in_savr,30
1,2022,tavi_in_tavi,25
1,2023,tavi_in_savr,43
1,2023,tavi_in_tavi,26
1,2024,tavi_in_savr,37
1,2024,tavi_in_tavi,25
1,2025,tavi_in_savr,49
1,2025,tavi_in_tavi,41
1,2026,tavi_in_savr,52
1,2026,tavi_in_tavi,35
1,2027,tavi_in_savr,66
1,2027,tavi_in_tavi,40
1,2028,tavi_in_savr,71
1,2028,tavi_in_tavi,32
1,2029,tavi_in_savr,66
1,2029,tavi_in_tavi,53
1,2030,tavi_in_savr,87
1,2030,tavi_in_tavi,45
1,2031,tavi_in_savr,89
1,2031,tavi_in_tavi,51
1,2032,tavi_in_savr,94
1,2032,tavi_in_tavi,50
1,2033,tavi_in_savr,81
1,2033,tavi_in_tavi,55
1,2034,tavi_in_savr,84
1,2034,tavi_in_tavi,59
1,2035,tavi_in_savr,96
1,2035,tavi_in_tavi,51
1,2036,tavi_in_savr,69
1,2036,tavi_in_tavi,57
1,2037,tavi_in_savr,71
1,2037,tavi_in_tavi,57
1,2038,tavi_in_savr,95
1,2038,tavi_in_tavi,60
1,2039,tavi_in_savr,78
1,2039,tavi_in_tavi,82
1,2040,tavi_in_savr,70
1,2040,tavi_in_tavi,69
1,2041,tavi_in_savr,86
1,2041,tavi_in_tavi,77
1,2042,tavi_in_savr,83
1,2042,tavi_in_tavi,69
1,2043,tavi_in_savr,73
1,2043,tavi_in_tavi,84
1,2044,tavi_in_savr,88
1,2044,tavi_in_tavi,91
1,2045,tavi_in_savr,72
1,2045,tavi_in_tavi,80
1,2046,tavi_in_savr,92
1,2046,tavi_in_tavi,94
1,2047,tavi_in_savr,106
1,2047,tavi_in_tavi,93
1,2048,tavi_in_savr,109
1,2048,tavi_in_tavi,92
1,2049,tavi_in_savr,115
1,2049,tavi_in_tavi,103
1,2050,tavi_in_savr,111
1,2050,tavi_in_tavi,114
2,2022,tavi_in_savr,40
2,2022,tavi_in_tavi,17
2,2023,tavi_in_savr,31
2,2023,tavi_in_tavi,16
2,2024,tavi_in_savr,47
2,2024,tavi_in_tavi,29
2,2025,tavi_in_savr,44
2,2025,tavi_in_tavi,36
2,2026,tavi_in_savr,60
2,2026,tavi_in_tavi,36
2,2027,tavi_in_savr,70
2,2027,tavi_in_tavi,34
2,2028,tavi_in_savr,82
2,2028,tavi_in_tavi,46
2,2029,tavi_in_savr,80
2,2029,tavi_in_tavi,42
2,2030,tavi_in_savr,74
2,2030,tavi_in_tavi,59
2,2031,tavi_in_savr,69
2,2031,tavi_in_tavi,60
2,2032,tavi_in_savr,76
2,2032,tavi_in_tavi,51
2,2033,tavi_in_savr,93
2,2033,tavi_in_tavi,68
2,2034,tavi_in_savr,89
2,2034,tavi_in_tavi,67
2,2035,tavi_in_savr,83
2,2035,tavi_in_tavi,62
2,2036,tavi_in_savr,91
2,2036,tavi_in_tavi,55
2,2037,tavi_in_savr,88
2,2037,tavi_in_tavi,60
2,2038,tavi_in_savr,85
2,2038,tavi_in_tavi,51
2,2039,tavi_in_savr,88
2,2039,tavi_in_tavi,65
2,2040,tavi_in_savr,78
2,2040,tavi_in_tavi,79
2,2041,tavi_in_savr,80
2,2041,tavi_in_tavi,66
2,2042,tavi_in_savr,82
2,2042,tavi_in_tavi,78
2,2043,tavi_in_savr,91
2,2043,tavi_in_tavi,97
2,2044,tavi_in_savr,93
2,2044,tavi_in_tavi,82
2,2045,tavi_in_savr,86
2,2045,tavi_in_tavi,90
2,2046,tavi_in_savr,89
2,2046,tavi_in_tavi,94
2,2047,tavi_in_savr,76
2,2047,tavi_in_tavi,99
2,2048,tavi_in_savr,93
2,2048,tavi_in_tavi,96
2,2049,tavi_in_savr,103
2,2049,tavi_in_tavi,103
2,2050,tavi_in_savr,102
2,2050,tavi_in_tavi,97
3,2022,tavi_in_savr,38
3,2022,tavi_in_tavi,26
3,2023,tavi_in_savr,34
3,2023,tavi_in_tavi,30
3,2024,tavi_in_savr,37
3,2024,tavi_in_tavi,29
3,2025,tavi_in_savr,58
3,2025,tavi_in_tavi,27
3,2026,tavi_in_savr,52
3,2026,tavi_in_tavi,36
3,2027,tavi_in_savr,56
3,2027,tavi_in_tavi,39
3,2028,tavi_in_savr,65
3,2028,tavi_in_tavi,44
3,2029,tavi_in_savr,78
3,2029,tavi_in_tavi,52
3,2030,tavi_in_savr,74
3,2030,tavi_in_tavi,44
3,2031,tavi_in_savr,86
3,2031,tavi_in_tavi,56
3,2032,tavi_in_savr,76
3,2032,tavi_in_tavi,53
3,2033,tavi_in_savr,92
3,2033,tavi_in_tavi,63
3,2034,tavi_in_savr,76
3,2034,tavi_in_tavi,51
3,2035,tavi_in_savr,73
3,2035,tavi_in_tavi,59
3,2036,tavi_in_savr,66
3,2036,tavi_in_tavi,53
3,2037,tavi_in_savr,77
3,2037,tavi_in_tavi,68
3,2038,tavi_in_savr,73
3,2038,tavi_in_tavi,77
3,2039,tavi_in_savr,70
3,2039,tavi_in_tavi,63
3,2040,tavi_in_savr,80
3,2040,tavi_in_tavi,71
3,2041,tavi_in_savr,71
3,2041,tavi_in_tavi,77
3,2042,tavi_in_savr,74
3,2042,tavi_in_tavi,74
3,2043,tavi_in_savr,100
3,2043,tavi_in_tavi,96
3,2044,tavi_in_savr,83
3,2044,tavi_in_tavi,82
3,2045,tavi_in_savr,92
3,2045,tavi_in_tavi,74
3,2046,tavi_in_savr,97
3,2046,tavi_in_tavi,102
3,2047,tavi_in_savr,106
3,2047,tavi_in_tavi,103
3,2048,tavi_in_savr,110
3,2048,tavi_in_tavi,108
3,2049,tavi_in_savr,97
3,2049,tavi_in_tavi,114
3,2050,tavi_in_savr,112
3,2050,tavi_in_tavi,98
4,2022,tavi_in_savr,25
4,2022,tavi_in_tavi,23
4,2023,tavi_in_savr,33
4,2023,tavi_in_tavi,23
4,2024,tavi_in_savr,46
4,2024,tavi_in_tavi,20
4,2025,tavi_in_savr,52
4,2025,tavi_in_tavi,32
4,2026,tavi_in_savr,64
4,2026,tavi_in_tavi,39
4,2027,tavi_in_savr,62
4,2027,tavi_in_tavi,50
4,2028,tavi_in_savr,86
4,2028,tavi_in_tavi,54
4,2029,tavi_in_savr,73
4,2029,tavi_in_tavi,44
4,2030,tavi_in_savr,69
4,2030,tavi_in_tavi,34
4,2031,tavi_in_savr,90
4,2031,tavi_in_tavi,47
4,2032,tavi_in_savr,80
4,2032,tavi_in_tavi,62
4,2033,tavi_in_savr,85
4,2033,tavi_in_tavi,56
4,2034,tavi_in_savr,100
4,2034,tavi_in_tavi,61
4,2035,tavi_in_savr,93
4,2035,tavi_in_tavi,48
4,2036,tavi_in_savr,65
4,2036,tavi_in_tavi,74
4,2037,tavi_in_savr,80
4,2037,tavi_in_tavi,53
4,2038,tavi_in_savr,76
4,2038,tavi_in_tavi,62
