run,year,viv_type,count
0,2022,tavi_in_savr,15
0,2022,tavi_in_tavi,1
0,2023,tavi_in_savr,28
0,2023,tavi_in_tavi,3
0,2024,tavi_in_savr,14
0,2024,tavi_in_tavi,2
0,2025,tavi_in_savr,20
0,2025,tavi_in_tavi,5
0,2026,tavi_in_savr,30
0,2026,tavi_in_tavi,3
0,2027,tavi_in_savr,36
0,2027,tavi_in_tavi,9
0,2028,tavi_in_savr,30
0,2028,tavi_in_tavi,11
0,2029,tavi_in_savr,48
0,2029,tavi_in_tavi,16
0,2030,tavi_in_savr,44
0,2030,tavi_in_tavi,20
0,2031,tavi_in_savr,48
0,2031,tavi_in_tavi,19
0,2032,tavi_in_savr,67
0,2032,tavi_in_tavi,16
0,2033,tavi_in_savr,54
0,2033,tavi_in_tavi,16
0,2034,tavi_in_savr,55
0,2034,tavi_in_tavi,31
0,2035,tavi_in_savr,47
0,2035,tavi_in_tavi,25
0,2036,tavi_in_savr,56
0,2036,tavi_in_tavi,27
0,2037,tavi_in_savr,58
0,2037,tavi_in_tavi,32
0,2038,tavi_in_savr,62
0,2038,tavi_in_tavi,25
0,2039,tavi_in_savr,55
0,2039,tavi_in_tavi,29
0,2040,tavi_in_savr,51
0,2040,tavi_in_tavi,26
0,2041,tavi_in_savr,62
0,2041,tavi_in_tavi,47
0,2042,tavi_in_savr,49
0,2042,tavi_in_tavi,38
0,2043,tavi_in_savr,55
0,2043,tavi_in_tavi,34
0,2044,tavi_in_savr,56
0,2044,tavi_in_tavi,47
0,2045,tavi_in_savr,50
0,2045,tavi_in_tavi,43
0,2046,tavi_in_savr,64
0,2046,tavi_in_tavi,63
0,2047,tavi_in_savr,65
0,2047,tavi_in_tavi,51
0,2048,tavi_in_savr,54
0,2048,tavi_in_tavi,51
0,2049,tavi_in_savr,52
0,2049,tavi_in_tavi,59
0,2050,tavi_in_savr,61
0,2050,tavi_in_tavi,37
1,2022,tavi_in_savr,18
1,2022,tavi_in_tavi,4
1,2023,tavi_in_savr,28
1,2023,tavi_in_tavi,3
1,2024,tavi_in_savr,24
1,2024,tavi_in_tavi,4
1,2025,tavi_in_savr,34
1,2025,tavi_in_tavi,8
1,2026,tavi_in_savr,35
1,2026,tavi_in_tavi,11
1,2027,tavi_in_savr,45
1,2027,tavi_in_tavi,10
1,2028,tavi_in_savr,46
1,2028,tavi_in_tavi,10
1,2029,tavi_in_savr,38
1,2029,tavi_in_tavi,21
1,2030,tavi_in_savr,66
1,2030,tavi_in_tavi,17
1,2031,tavi_in_savr,67
1,2031,tavi_in_tavi,19
1,2032,tavi_in_savr,72
1,2032,tavi_in_tavi,26
1,2033,tavi_in_savr,64
1,2033,tavi_in_tavi,29
1,2034,tavi_in_savr,61
1,2034,tavi_in_tavi,30
1,2035,tavi_in_savr,69
1,2035,tavi_in_tavi,28
1,2036,tavi_in_savr,58
1,2036,tavi_in_tavi,32
1,2037,tavi_in_savr,53
1,2037,tavi_in_tavi,35
1,2038,tavi_in_savr,76
