year,viv_type,mean,sd
2022,tavi_in_savr,30.22,5.377806995496219
2022,tavi_in_tavi,22.0,4.521553322083512
2023,tavi_in_savr,34.75,5.143152749240507
2023,tavi_in_tavi,24.81,5.357322940696137
2024,tavi_in_savr,41.59,5.949441871794243
2024,tavi_in_tavi,28.13,4.910625461613056
2025,tavi_in_savr,45.36,6.572855105844357
2025,tavi_in_tavi,32.03,5.866279257181021
2026,tavi_in_savr,56.55,7.299335793776241
2026,tavi_in_tavi,35.6,5.624621199366552
2027,tavi_in_savr,63.4,7.36082999272624
2027,tavi_in_tavi,39.67,6.255591438259394
2028,tavi_in_savr,70.38,8.147355027209377
2028,tavi_in_tavi,44.47,6.000765944376762
2029,tavi_in_savr,75.6,9.091010100448939
2029,tavi_in_tavi,46.28,7.092576856449739
2030,tavi_in_savr,81.6,9.194860224356567
2030,tavi_in_tavi,47.64,6.272466690532391
2031,tavi_in_savr,85.05,8.94356605260864
2031,tavi_in_tavi,50.48,6.997084529944734
2032,tavi_in_savr,83.96,9.002715639677222
2032,tavi_in_tavi,51.88,7.285352677555398
2033,tavi_in_savr,85.59,9.368003786799777
2033,tavi_in_tavi,54.48,6.638546755902458
2034,tavi_in_savr,87.18,9.520185890723953
2034,tavi_in_tavi,56.22,7.9309902320332
2035,tavi_in_savr,84.78,8.482400079642028
2035,tavi_in_tavi,55.64,6.543591205033048
2036,tavi_in_savr,83.84,9.481209486839395
2036,tavi_in_tavi,58.76,7.647697217285263
2037,tavi_in_savr,83.43,8.715775781578335
2037,tavi_in_tavi,63.21,7.299225086862773
2038,tavi_in_savr,82.5,9.796412454041374
2038,tavi_in_tavi,64.1,7.256484386847784
2039,tavi_in_savr,81.21,8.708865794943879
2039,tavi_in_tavi,67.79,7.32822825060255
2040,tavi_in_savr,82.29,8.805754546392555
2040,tavi_in_tavi,71.02,7.341565627206903
2041,tavi_in_savr,80.68,8.687480833493865
2041,tavi_in_tavi,76.04,8.794993984757426
2042,tavi_in_savr,81.98,10.096484036484679
2042,tavi_in_tavi,77.24,8.868420879101807
2043,tavi_in_savr,83.31,9.296132572639053
2043,tavi_in_tavi,82.3,9.638412208397703
2044,tavi_in_savr,86.45,9.081421817216855
2044,tavi_in_tavi,86.44,8.88344277606129
2045,tavi_in_savr,89.09,9.34425227105147
2045,tavi_in_tavi,90.26,9.748991141796582
2046,tavi_in_savr,89.51,9.526671756047588
2046,tavi_in_tavi,93.24,10.242632237443416
2047,tavi_in_savr,91.2,10.025220721014103
2047,tavi_in_tavi,96.83,9.48263165109259
2048,tavi_in_savr,95.17,10.475613817265545
2048,tavi_in_tavi,102.09,9.477346728388747
2049,tavi_in_savr,97.04,8.750088022645283
2049,tavi_in_tavi,102.05,10.143789461856187
2050,tavi_in_savr,100.31,11.025860327411918
2050,tavi_in_tavi,108.19,10.26585494626618
