year,viv_type,mean,sd
2022,tavi_in_savr,3.9868073878627968,4.008555591624925
2022,tavi_in_tavi,2.0351526364477337,1.3196043879017048
2023,tavi_in_savr,4.1566985645933014,4.244118507045045
2023,tavi_in_tavi,2.1536458333333335,1.3506778835104785
2024,tavi_in_savr,4.287628865979381,4.690058381587087
2024,tavi_in_tavi,2.237867939538584,1.3631517567187854
2025,tavi_in_savr,4.315889628924833,4.5754130329504
2025,tavi_in_tavi,2.4506503442999237,1.60100632289427
2026,tavi_in_savr,5.1596715328467155,5.919016446260101
2026,tavi_in_tavi,2.460262612301313,1.5445135801648064
2027,tavi_in_savr,5.576077396657872,6.543843824084168
2027,tavi_in_tavi,2.641145139813582,1.6449663251160611
2028,tavi_in_savr,6.15748031496063,7.464196709947246
2028,tavi_in_tavi,2.9103403141361257,2.228398690170897
2029,tavi_in_savr,6.6374012291483755,8.169623464166209
2029,tavi_in_tavi,3.2116585704371965,2.9686374699160107
2030,tavi_in_savr,7.2727272727272725,8.87370728882612
2030,tavi_in_tavi,3.2946058091286305,3.4840713094724003
2031,tavi_in_savr,7.546583850931677,8.926943686229352
2031,tavi_in_tavi,3.559943582510578,3.9545231327966706
2032,tavi_in_savr,7.618874773139746,9.385183958423047
2032,tavi_in_tavi,3.795171909290417,4.360800373046076
2033,tavi_in_savr,7.888479262672811,9.492155723896472
2033,tavi_in_tavi,4.032568467801628,4.820985529138264
2034,tavi_in_savr,8.027624309392266,9.953401626386121
2034,tavi_in_tavi,4.149077490774908,5.191451781567684
2035,tavi_in_savr,7.8645640074211505,10.364849638417533
2035,tavi_in_tavi,4.146050670640834,5.108325008372764
2036,tavi_in_savr,7.842843779232928,10.582633544128685
2036,tavi_in_tavi,4.424698795180723,5.795072997565462
2037,tavi_in_savr,7.804490177736202,10.830587599918148
2037,tavi_in_tavi,4.741935483870968,6.288319514556802
2038,tavi_in_savr,7.805108798486282,11.598223986155723
2038,tavi_in_tavi,4.7907324364723465,6.489702163250482
2039,tavi_in_savr,7.646892655367232,11.880515128675162
2039,tavi_in_tavi,4.891053391053391,6.708825431695147
2040,tavi_in_savr,8.075564278704613,12.854374835331743
2040,tavi_in_tavi,5.0548042704626335,6.909198422589757
2041,tavi_in_savr,7.742802303262956,12.685627310714834
2041,tavi_in_tavi,5.23331039229181,7.253853719632181
2042,tavi_in_savr,8.076847290640394,13.75439703448962
2042,tavi_in_tavi,5.2259810554803785,7.14045766259605
2043,tavi_in_savr,8.232213438735178,13.75612191176469
2043,tavi_in_tavi,5.407358738501971,7.37015310958533
2044,tavi_in_savr,8.75886524822695,14.59120473114418
2044,tavi_in_tavi,5.612987012987013,7.547180612090455
2045,tavi_in_savr,8.717221135029353,14.867000212100134
2045,tavi_in_tavi,5.785897435897436,7.959587219208412
2046,tavi_in_savr,8.707198443579767,14.771906371541176
2046,tavi_in_tavi,5.831144465290807,7.610364820058615
2047,tavi_in_savr,8.660968660968662,14.802757868237636
2047,tavi_in_tavi,6.0068238213399505,7.966134283963963
2048,tavi_in_savr,9.02085308056872,15.426927013194318
2048,tavi_in_tavi,6.27859778597786,8.180607282439913
2049,tavi_in_savr,9.111737089201878,15.483914260711622
2049,tavi_in_tavi,6.158720579360289,8.038977228717181
2050,tavi_in_savr,9.357276119402986,16.029797278511253
2050,tavi_in_tavi,6.46682606096832,8.291576721308749
