year,viv_type,mean,sd
2025,tavi_in_savr,796.9724987430869,88.16564595076916
2025,tavi_in_tavi,159.6796052631579,10.87910154452049
2026,tavi_in_savr,825.6706140350877,93.34957732286817
2026,tavi_in_tavi,190.02010233918128,15.625455457796113
2027,tavi_in_savr,835.7716117216116,94.0760806486415
2027,tavi_in_tavi,226.31537270778756,25.230705497817
2028,tavi_in_savr,820.334962406015,92.20312980330672
2028,tavi_in_tavi,271.85844943240454,37.3026241318128
2029,tavi_in_savr,818.4547619047619,91.64821546668028
2029,tavi_in_tavi,320.4171052631579,49.49810259248102
2030,tavi_in_savr,772.2131016042781,85.44964299252675
2030,tavi_in_tavi,370.7525159051475,60.306424223740834
2031,tavi_in_savr,721.1255639097744,81.42750334994743
2031,tavi_in_tavi,420.04079656153954,70.78714020892792
2032,tavi_in_savr,673.5339285714285,73.67260807351585
2032,tavi_in_tavi,484.66798245614035,83.9325036810069
2033,tavi_in_savr,633.5282828282828,68.66183106191053
2033,tavi_in_tavi,567.262447786132,99.91454135253964
2034,tavi_in_savr,588.7428571428571,65.99963260987305
2034,tavi_in_tavi,617.709649122807,123.92717261734754
2035,tavi_in_savr,535.6555555555556,65.38604364620713
2035,tavi_in_tavi,667.8940789473684,141.89565230780246
