year,viv_type,risk,age_bin,mean,sd
2025,tavi_in_savr,ih,60-64,26.55,5.548589199541011
2025,tavi_in_savr,ih,65-69,24.3,5.439620729812927
2025,tavi_in_savr,ih,70-74,2.611111111111111,1.2897281468629185
2025,tavi_in_savr,ih,75-79,4.0588235294117645,2.0757705868933987
2025,tavi_in_savr,ih,80-84,1.0,0.0
2025,tavi_in_savr,ih,85-99,1.6,0.6992058987801011
2025,tavi_in_savr,ih,<60,58.35,5.274317117185085
2025,tavi_in_savr,low,60-64,144.15,11.93083135586558
2025,tavi_in_savr,low,65-69,157.15,13.700845152571308
2025,tavi_in_savr,low,70-74,44.05,6.295152688253165
2025,tavi_in_savr,low,75-79,23.3,5.302432411043465
2025,tavi_in_savr,low,80-84,1.9333333333333333,1.0327955589886444
2025,tavi_in_savr,low,85-99,1.7692307692307692,0.7250110520819841
2025,tavi_in_savr,low,<60,306.15,16.102549651007383
2025,tavi_in_tavi,ih,60-64,3.4,1.7888543819998315
2025,tavi_in_tavi,ih,65-69,6.2,2.3973669767168797
2025,tavi_in_tavi,ih,70-74,11.65,3.453068810569276
2025,tavi_in_tavi,ih,75-79,32.75,5.3790529395345965
2025,tavi_in_tavi,ih,80-84,14.15,3.328900561351814
2025,tavi_in_tavi,ih,85-99,35.35,5.518151864528557
2025,tavi_in_tavi,ih,<60,9.15,3.09966042282733
2025,tavi_in_tavi,low,60-64,1.8421052631578947,1.2588865404147536
2025,tavi_in_tavi,low,65-69,2.05,0.887041208323017
2025,tavi_in_tavi,low,70-74,3.95,1.9324105480761042
2025,tavi_in_tavi,low,75-79,18.75,4.050665962140314
2025,tavi_in_tavi,low,80-84,5.1,2.221900561515559
2025,tavi_in_tavi,low,85-99,12.65,3.2488864489074927
2025,tavi_in_tavi,low,<60,2.6875,1.8154430129677255
2026,tavi_in_savr,ih,60-64,23.3,3.6577243428696287
2026,tavi_in_savr,ih,65-69,25.65,6.8692679453682075
2026,tavi_in_savr,ih,70-74,2.7,1.3803127029389888
2026,tavi_in_savr,ih,75-79,4.578947368421052,1.8353258709644944
2026,tavi_in_savr,ih,80-84,1.0,0.0
2026,tavi_in_savr,ih,85-99,1.125,0.3535533905932738
2026,tavi_in_savr,ih,<60,48.5,7.970339753703958
2026,tavi_in_savr,low,60-64,152.05,11.118855488242529
2026,tavi_in_savr,low,65-69,161.05,11.380847253633027
2026,tavi_in_savr,low,70-74,49.1,6.2903434765226915
2026,tavi_in_savr,low,75-79,27.9,5.552619106995222
2026,tavi_in_savr,low,80-84,1.5,0.9660917830792959
2026,tavi_in_savr,low,85-99,1.4166666666666667,0.6685579234215215
2026,tavi_in_savr,low,<60,325.8,19.381488726698926
2026,tavi_in_tavi,ih,60-64,3.0555555555555554,1.6617574758359694
2026,tavi_in_tavi,ih,65-69,5.6,1.9303667499917434
2026,tavi_in_tavi,ih,70-74,8.75,2.173403830521681
2026,tavi_in_tavi,ih,75-79,53.1,7.159094326725089
2026,tavi_in_tavi,ih,80-84,12.95,2.2354794611117836
2026,tavi_in_tavi,ih,85-99,32.55,5.041668479048536
2026,tavi_in_tavi,ih,<60,6.9,2.1980852911951394
2026,tavi_in_tavi,low,60-64,1.8125,0.9810708435174291
2026,tavi_in_tavi,low,65-69,2.263157894736842,1.55785127171862
2026,tavi_in_tavi,low,70-74,4.95,2.459674775249769
2026,tavi_in_tavi,low,75-79,35.9,6.695638800545353
2026,tavi_in_tavi,low,80-84,6.9,3.110254685797662
2026,tavi_in_tavi,low,85-99,12.9,2.918182563460383
2026,tavi_in_tavi,low,<60,2.388888888888889,1.4608172124206968
2027,tavi_in_savr,ih,60-64,20.05,4.706937768644784
2027,tavi_in_savr,ih,65-69,20.9,3.6113855046447054
