year,tavi_in_savr,tavi_in_tavi,total
2025,796.9724987430869,159.6796052631579,956.6521040062448
2026,825.6706140350877,190.02010233918128,1015.690716374269
2027,835.7716117216116,226.31537270778756,1062.0869844293993
2028,820.334962406015,271.85844943240454,1092.1934118384197
2029,818.4547619047619,320.4171052631579,1138.8718671679198
2030,772.2131016042781,370.7525159051475,1142.9656175094256
2031,721.1255639097744,420.04079656153954,1141.166360471314
2032,673.5339285714285,484.66798245614035,1158.201911027569
2033,633.5282828282828,567.262447786132,1200.7907306144148
2034,588.7428571428571,617.709649122807,1206.4525062656642
2035,535.6555555555556,667.8940789473684,1203.549634502924
