year,proc,index_cnt,deaths,failures,viable,run
2024,savr,2505.0,1036.35,879.3,698.15,9.5
2024,tavi,1034.0,355.95,144.7,97.35,9.5
2025,savr,2588.0,1151.4,969.1,728.95,9.5
2025,tavi,1173.0,431.9,190.7,120.35,9.5
2026,savr,2671.0,1212.15,1063.3,761.85,9.5
2026,tavi,1311.0,486.3,239.75,141.15,9.5
2027,savr,2755.0,1296.4,1180.2,795.35,9.5
2027,tavi,1450.0,542.25,302.2,171.1,9.5
2028,savr,2838.0,1381.2,1265.95,806.95,9.5
2028,tavi,1589.0,593.95,387.45,214.5,9.5
2029,savr,2921.0,1534.9,1318.15,783.45,9.5
2029,tavi,1727.0,643.1,476.35,264.85,9.5
2030,savr,3004.0,1731.3,1385.1,772.0,9.5
2030,tavi,1866.0,719.35,555.7,300.45,9.5
2031,savr,3087.0,1955.05,1419.2,737.7,9.5
2031,tavi,2004.0,813.85,649.85,347.9,9.5
2032,savr,3171.0,2209.9,1430.25,675.35,9.5
2032,tavi,2143.0,940.85,752.15,396.7,9.5
2033,savr,3254.0,2460.15,1441.4,637.05,9.5
2033,tavi,2282.0,1083.35,880.45,458.6,9.5
2034,savr,3337.0,2724.75,1471.55,587.9,9.5
2034,tavi,2420.0,1230.95,981.0,503.55,9.5
2035,savr,3420.0,2942.65,1463.4,526.15,9.5
2035,tavi,2559.0,1399.55,1113.1,566.8,9.5
2036,savr,3503.0,3108.95,1496.75,474.1,9.5
2036,tavi,2697.0,1565.3,1271.05,622.25,9.5
2037,savr,3587.0,3251.45,1522.9,421.35,9.5
2037,tavi,2836.0,1727.5,1376.2,666.9,9.5
2038,savr,3670.0,3368.05,1593.35,376.25,9.5
2038,tavi,2975.0,1897.0,1517.1,719.75,9.5
2039,savr,3753.0,3458.2,1699.9,335.9,9.5
2039,tavi,3113.0,2041.3,1661.5,762.45,9.5
2040,savr,3836.0,3538.2,1786.1,305.8,9.5
2040,tavi,3252.0,2186.2,1779.65,807.7,9.5
2041,savr,3919.0,3574.25,1924.8,270.85,9.5
2041,tavi,3390.0,2314.65,1937.05,852.8,9.5
2042,savr,4003.0,3661.0,2075.75,269.6,9.5
2042,tavi,3529.0,2441.65,2081.4,913.95,9.5
2043,savr,4086.0,3695.8,2216.6,261.25,9.5
2043,tavi,3668.0,2595.35,2222.35,954.35,9.5
2044,savr,4169.0,3749.2,2372.5,259.85,9.5
2044,tavi,3806.0,2725.7,2351.0,991.6,9.5
2045,savr,4252.0,3841.5,2519.2,253.6,9.5
2045,tavi,3945.0,2884.7,2486.75,1044.95,9.5
2046,savr,4335.0,3894.75,2670.0,261.05,9.5
2046,tavi,4083.0,3010.45,2622.45,1092.65,9.5
2047,savr,4419.0,3935.35,2803.85,251.2,9.5
2047,tavi,4222.0,3144.1,2745.2,1136.95,9.5
2048,savr,4502.0,3984.4,2955.65,270.15,9.5
2048,tavi,4361.0,3277.4,2908.65,1191.05,9.5
2049,savr,4585.0,4090.85,3054.55,275.7,9.5
2049,tavi,4499.0,3408.05,3045.3,1231.65,9.5
2050,savr,4668.0,4151.65,3157.55,277.9,9.5
2050,tavi,4638.0,3573.85,3187.65,1288.85,9.5
