year,tavi_in_savr,tavi_in_tavi,total
2024,45.48208469055375,5.2198391420911525,50.7019238326449
2025,48.115511551155116,6.301047120418848,54.416558671573966
2026,49.63192182410423,7.25706940874036,56.88899123284459
2027,51.31290322580645,8.888311688311688,60.20121491411814
2028,52.39935064935065,11.594594594594595,63.99394524394525
2029,52.23,15.353623188405797,67.5836231884058
2030,52.33898305084746,19.136942675159236,71.4759257260067
2031,55.05223880597015,24.939068100358423,79.99130690632857
2032,55.35655737704918,35.26222222222222,90.61877959927139
2033,62.455882352941174,48.27368421052632,110.7295665634675
2034,63.215053763440864,62.94375,126.15880376344086
2035,66.18238993710692,76.08053691275168,142.26292684985862
2036,61.97385620915033,92.18518518518519,154.15904139433553
2037,57.326530612244895,105.85714285714286,163.18367346938777
2038,52.99295774647887,129.6846846846847,182.67764243116358
2039,47.98571428571429,158.84375,206.8294642857143
2040,43.68571428571428,173.69892473118279,217.38463901689707
2041,38.69285714285714,243.65714285714284,282.34999999999997
2042,39.35766423357664,268.80882352941177,308.1664877629884
2043,40.8203125,298.234375,339.0546875
2044,44.41880341880342,325.11475409836066,369.53355751716407
2045,47.84905660377358,342.60655737704917,390.45561398082276
2046,54.95789473684211,364.21666666666664,419.17456140350873
2047,58.41860465116279,378.98333333333335,437.40193798449616
2048,69.26923076923077,397.01666666666665,466.2858974358974
2049,82.29850746268657,410.55,492.8485074626866
2050,84.21212121212122,429.6166666666667,513.8287878787879
